author	inferreddate	shorttitle	place	genres	first_name	estimated_gender
A. L. O. E	1871.0	The golden fleece	enk		A	unknown
Baron, Redesdale, Algernon Bertram Freeman-Mitford	1871.0	Tales of old Japan	enk		Algernon	unknown
Keddie, Henrietta	1871.0	The songstresses of Scotland	enk		Henrietta	f
Swift, Jonathan	1871.0	The works of Jonathan Swift ... Carefully selected: with a biography of the author	stk		Jonathan	m
	1871.0	Pleasure: a holiday book of prose and verse	enk			unknown
Pullen, H. W. (Henry William)	1871.0	The fight at Dame Europa's school : showing how the German boy thrashed the French boy, and how the English boy looked on	enk		Henry	m
	1871.0	John's governor visits Dame Europa's school	stk			unknown
Surtees, Robert Smith	1871.0	Jorrocks's jaunts and jollities : the hunting, shooting, racing, driving, sailing, eccentric, and extravagant exploits of that renowned sporting citizen, Mr. John Jorrocks	enk		Robert	m
Tabor, Eliza	1871.0	Diary of a novelist	enk		Eliza	f
Carlyle, Thomas	1871.0	General index	enk		Thomas	m
Carlyle, Thomas	1871.0	Goethe's Wilhelm Meister's apprenticeship and travels, tr. from the German by Carlyle	enk		Thomas	m
Kingsley, Henry	1871.0	Old Margaret	enk		Henry	m
Tytler, Sarah	1871.0	The songstresses of Scotland	stk		Sarah	f
Doudney, Sarah	1871.0	Under gray walls	enk		Sarah	f
Field, Kate	1871.0	Pen photographs of Charles Dicken's readings : taken from life	enk		Kate	f
Henty, G. A. (George Alfred)	1871.0	Out on the pampas	enk		George	m
Howitt, Mary Botham	1871.0	Tales in prose for young people	enk		Mary	f
Lucas, John Templeton	1871.0	Prince Ubbely Bubble's new story book	enk		John	m
Farjeon, B. L. (Benjamin Leopold)	1871.0	Joshua Marvel	enk		Benjamin	m
Fielding, Henry	1871.0	The works of Henry Fielding, esq. With an essay on his life and genius	enk		Henry	m
Doudney, Sarah	1871.0	Faith Harrowby; or, The smugglers' cave	enk		Sarah	f
	1871.0	Episodes in an obscure life	enk			unknown
Gilbert, William	1871.0	The landlord of 'The Sun,'	enk		William	m
Holl, Henry	1871.0	The golden bait	enk		Henry	m
Jenkins, Edward	1871.0	Ginx's baby	enk		Edward	m
Kingsley, Henry	1871.0	Hetty, and other stories	enk		Henry	m
Le Fanu, Joseph Sheridan	1871.0	The rose and the key	enk		Joseph	m
Poynter, E. Frances (Eleanor Frances)	1871.0	My little lady	enk		Eleanor	f
Smart, Hawley	1871.0	Cecile; or, Modern idolaters	enk		Hawley	unknown
Smedley, Menella Bute	1871.0	Linnet's trial	enk		Menella	unknown
Pullen, Henry William	1871.0	The fight at Dame Europa's school	enk		Henry	m
Ouida	1871.0	Folle-Farine	enk		Ouida	unknown
Whyte-Melville, G. J. (George John)	1871.0	Sarchedon	enk		George	m
Black, William	1871.0	Mr. Pisistratus Brown, M.P., in the Highlands	enk		William	m
Kingston, William Henry Giles	1871.0	In the eastern seas; or, The regions of the bird of paradise	enk		William	m
Spilling, James	1871.0	Giles's trip to London: a farm labourer's first peep at the world	enk		James	m
	1871.0	Dame Europa pamphlets	enk			unknown
Kirton, John William	1871.0	One thousand temperance anecdotes, facts, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, recitations	enk		John	m
Earl of Beaconsfield, Disraeli, Benjamin	1871.0	Collected edition of the novels and tales	enk		Benjamin	m
Tytler, Sarah	1871.0	Noblesse oblige; an English story of to-day	enk		Sarah	f
Rice, James	1871.0	The Cambridge freshman; or, Memoirs of Mr. Golightly	enk		James	m
Turgenev, Ivan Sergi︠e︡evích	1871.0	On the eve; a tale	enk		Ivan	m
Fenn, George Manville	1871.0	By birth a lady	enk		George	m
Scott, Geo. G	1871.0	Clumber chase; or, Love's riddle solved by a royal sphinx	enk		Geo	m
Yates, Edmund Hodgson	1871.0	Dr. Wainwright's patient	enk		Edmund	m
Lockhart, Laurence W. M	1871.0	Fair to see	stk		Laurence	f
Braddon, M. E. (Mary Elizabeth)	1871.0	Fenton's quest	enk		Mary	f
Bell, Emily Ernst	1871.0	A first appearance	enk		Emily	f
Walmsley, Hugh Mulleneux	1871.0	The life guardsman	enk		Hugh	m
Reid, Mayne	1871.0	The lone ranche	enk		Mayne	unknown
Braddon, M. E. (Mary Elizabeth)	1871.0	The Lovels of Arden	enk		Mary	f
Collins, Mortimer	1871.0	Marquis and merchant	enk		Mortimer	m
Murray, Eustace Clare Grenville	1871.0	The member for Paris : a tale of the Second Empire	enk		Eustace	unknown
Murray, Eustace Clare Grenville	1871.0	The member for Paris	enk		Eustace	unknown
Marryat, Florence R. M. Church Lean	1871.0	The prey of the gods	enk		Florence	f
Fenn, George Manville	1871.0	The sapphire cross	enk		George	m
Pomeroy, John	1871.0	The Scandinavian ring. A novel	enk		John	m
Wood	1871.0	Seadrift	enk		Wood	unknown
Wood, Lady	1871.0	Seadrift : a novel	enk		Lady	unknown
Rands, William Brighty	1871.0	Shoemakers' village	enk		William	m
Wedmore, Fredrick	1871.0	A snapt gold ring	enk		Fredrick	m
Oliphant	1871.0	Squire Arden	enk		Oliphant	unknown
Reade, Charles	1871.0	A terrible temptation	enk		Charles	m
Erckmann, Émile	1871.0	The outbreak of the great French Revolution related by a peasant of Lorraine	enk		Mile	m
Twain, Mark	1871.0	Screamers; a gathering of scraps of humour, delicious bits, & short stories	enk		Mark	m
	1871.0	My Heroine; a story	enk			unknown
	1871.0	Red Riding Hood	enk			unknown
Scott, Walter, Sir	1871.0	Waverley novels	stk		Walter	m
Defoe, Daniel	1871.0	Moll Flanders, and History of the devil	enk		Daniel	m
Ross, Miriam	1871.0	Against tide : a story of a poor street arab	enk		Miriam	f
Lytton, Edward Bulwer Lytton, Baron	1871.0	The coming race	stk		Edward	m
O'Farrell, Burke	1871.0	Cold comfort; a novel	enk		Burke	unknown
Kent, Charles	1872.0	Charles Dickens as a reader	enk		Charles	m
Collins, Wilkie	1872.0	Poor Miss Finch	enk		Wilkie	unknown
Blackmore, R. D. (Richard Dooddridge)	1872.0	The maid of Sker	stk		Richard	m
Japp, Alexander H. (Alexander Hay)	1872.0	Memoir of Nathaniel Hawthorne : with stories now first published in this country	enk		Alexander	m
MacDonald, George	1872.0	The vicar's daughter	enk	Scottish authors|Christian fiction	George	m
Lear, Edward	1872.0	More nonsense, pictures, rhymes, botany, etc	enk		Edward	m
Buchanan, Robert Williams	1872.0	The fleshly school of poetry and other phenomena of the day	enk	Criticism, interpretation, etc	Robert	m
Gillmore, Parker	1872.0	Prairie farms and prairie folk	enk		Parker	m
	1872.0	The adventures of Prior Claime, relating chiefly to his residence on Crusoe's island after the departure of the distinguished traveller, Robinson Crusoe	enk			unknown
Oliphant, Mrs. (Margaret)	1872.0	A son of the soil	enk		Margaret	f
Kingsley, Henry	1872.0	The Harveys	enk		Henry	m
Doudney, Sarah	1872.0	Faith Harrowby	enk		Sarah	f
	1872.0	The School board readers	enk			unknown
Marryat, Florence R. M. Church Lean	1872.0	Life and letters of Captain Marryat	enk		Florence	f
Davies, Lucy Clementina Drummond, Lady	1872.0	Recollections of society in France and England	enk		Lucy	f
Cox, George W. (George William)	1872.0	Tales of the Teutonic lands	enk		George	m
Shand, Alexander Innes	1872.0	Shooting the rapids	enk		Alexander	m
Cupples, George	1872.0	The adventures of Mark Willis	enk		George	m
Kingston, William Henry Giles	1872.0	Ronald Morton; or, The fire-ships	enk		William	m
Ballantyne, R. M. (Robert Michael)	1872.0	The pioneers	enk		Robert	m
	1872.0	Deepdale end;	enk			unknown
Kingsley, Henry	1872.0	Valentin	enk		Henry	m
Lever, Charles James	1872.0	[Charles Lever's novels	enk		Charles	m
Lever, Charles James	1872.0	The knight of Gwynne	enk		Charles	m
Pollard, Eliza Frances	1872.0	Hope deferred	enk		Eliza	f
Whyte-Melville, G. J. (George John)	1872.0	Satanella	enk		George	m
Smollett, T. (Tobias)	1872.0	The works of Tobias Smollett, M.D	enk		Tobias	m
Smollett, T. (Tobias)	1872.0	The works of Tobias Smollett, M.D. With memoirs of his life; to which is prefixed A view of the commencement and progress of romance	enk		Tobias	m
Yonge, Charlotte M. (Charlotte Mary)	1872.0	A storehouse of stories	enk		Charlotte	f
Rowlands, Samuel	1872.0	Greenes ghost havnting conie-catchers / Wherein is set down, the arte of humouring. The arte of carrying stones. Will. St. lift. Ia. Fost. law. Ned Bro. catch. and Blacke Robins kindnesse. With the conceits of Doctor Pinch-backe a notable makeshift. Ten times more pleasant then anything yet published of this matter ... London, Printed for R. Iackson and I. North, 1602	enk		Samuel	m
Russell, William Clark	1872.0	Memoirs of Mrs. Lætitia Boothby	enk		William	m
Paull, M. A. (Mary Anna)	1872.0	My parish and what happened in it / Mary Anna (Paull) Ripley	stk		Mary	f
Wallace, Alexander	1872.0	Sketches of life and character	stk		Alexander	m
Edwards, Annie	1872.0	Ought we to visit her?	enk		Annie	f
Wood, Ellen	1872.0	Oswald Cray. A novel	enk		Ellen	f
Wood, Ellen	1872.0	Verner's pride	enk		Ellen	f
De Iongh, Anna M	1872.0	Mossdale; a tale	stk		Anna	f
Trueba y Cosío, Joaquín Telesforo de	1872.0	The romance of history. Spain	enk		Joaqun	unknown
Grant, James	1872.0	The secret dispatch; or, The adventure of Captain Balgonie	enk		James	m
English novelist. Lee, Mary	1872.0	The oak staircase; or, The stories of Lord and Lady Desmond. A narrative of the times of James II	enk		Mary	f
Kingsley, Henry	1872.0	Hornby Mills; and other stories	enk		Henry	m
Erckmann, Emile	1872.0	The story of the plébiscite	enk		Emile	m
Reid, Mayne	1872.0	The tiger-hunter	enk		Mayne	unknown
Tabor, Eliza	1872.0	Aston-Royal	enk		Eliza	f
Oliphant	1872.0	At his gates	enk		Oliphant	unknown
Ham, J. Panton	1872.0	The bridal bar	enk		J	unknown
Payn, James	1872.0	Cecil's tryst	enk		James	m
Lee, Holme	1872.0	Country stories, old and new	enk		Holme	unknown
Murray, Rhaynel	1872.0	Gerald's ordeal	enk		Rhaynel	unknown
Broughton, Rhoda	1872.0	"""Good-bye, Sweetheart!"""	enk		Rhoda	f
Cameron, Helen	1872.0	Helen Cameron: from grub to butterfly	enk		Helen	f
Palgrave, Willliam Gifford	1872.0	Hermann Agha	enk		Willliam	unknown
Le Fanu, Joseph Sheridan	1872.0	In a glass darkly	enk		Joseph	m
Phillpotts, Mary Charlotte	1872.0	Janet's choice	enk		Mary	f
Manning, Anne	1872.0	The lady of limited income	enk		Anne	f
Chatterton, Georgiana, Lady	1872.0	The lost bride	enk		Georgiana	f
	1872.0	Macalpine, or, On Scottish ground	enk			unknown
Tucker, Marwood	1872.0	Michael Tresidder	enk		Marwood	unknown
Mackarness, Matilda Anne	1872.0	A mingled yarn	enk		Matilda	f
Oliphant	1872.0	Ombra	enk		Oliphant	unknown
Baxter, Francis Willoughby	1872.0	Percy Lockhart, or, The hidden will	enk		Francis	m
Griffiths, Arthur	1872.0	The queen's shilling	enk		Arthur	m
Besant, Walter, Sir	1872.0	Ready-money Mortiboy	enk		Walter	m
Braddon, M. E. (Mary Elizabeth)	1872.0	Robert Ainsleigh	enk		Mary	f
Farebrother, A	1872.0	The Sedgeborough world	enk		A	unknown
	1872.0	Sons of Dives	enk			unknown
Black, William	1872.0	The strange adventures of a phaeton	enk		William	m
Strange, Calthorpe	1872.0	Two worlds of fashion	enk		Calthorpe	unknown
Grant, James	1872.0	Under the red dragon	enk		James	m
Dickens, Helen	1872.0	Wild wood;	enk		Helen	f
MacDonald, George	1872.0	Wilfrid Cumbermede	enk		George	m
Woman	1872.0	A woman's vengeance. A novel	enk		Woman	unknown
Robinson, F. W. (Frederick William)	1872.0	Wrayford's ward, and other tales	enk		Frederick	m
	1872.0	Yarndale	enk			unknown
Yates, Edmund Hodgson	1872.0	The yellow flag	enk		Edmund	m
Seymour, Robert	1872.0	Seymour's humorous sketches, comprising eighty-six caricature etchings. Illustrated in prose and verse	enk		Robert	m
Trollope, Thomas Adolphus	1872.0	The Stillwinches of Combe Mavis : a novel	enk		Thomas	m
Lever, Charles James	1872.0	Jack Hinton	enk		Charles	m
Jenkins, Edward	1872.0	Lord Bantam	enk		Edward	m
Kingsley, Henry	1872.0	Old Margaret; a novel	enk		Henry	m
	1872.0	Archie Armstrong's Banquet of jests;	stk			unknown
King of Thānesar and Kanauj, Harṣavardhana	1872.0	Nágánanda; or, the Joy of the snake-world: a Buddhist drama in five acts	enk		Haravardhana	unknown
Eiloart, Elizabeth	1872.0	Out of her sphere	enk		Elizabeth	f
Hooper, Henry	1872.0	Wash. Boltor, M.D.; or, The life of an orator	enk		Henry	m
Cervantes Saavedra, Miguel de	1872.0	The wonderful adventures of Don Quixote de la Mancha, and Sancho Panza, his esquire	enk	Spain|Juvenile literature	Miguel	m
Mayo, Isabella (Fyvie)	1872.0	Premiums paid to experience; incidents in my business life	enk		Fyvie	unknown
Butler, Samuel	1872.0	Erewhon, or, Over the range	enk		Samuel	m
[Hockley, William Browne]	1873.0	Pandurang Hàrì, or, Memoirs of a Hindoo [a novel]	enk		William	m
Dasent, George Webbe, Sir	1873.0	"Latham's ""Johnson's dictionary.""--The Greek and English quarrel.--The story of free trade.--How we were all vaccinated.--Magnus the Good and Harold Hardrada.--Harold Hardrada, king of Norway.--Pickings from Poggio"	enk		George	m
Le Fanu, Joseph Sheridan	1873.0	Morley Court: being a chronicle of Old Dublin City	enk		Joseph	m
Ralston, William Ralston Shedden	1873.0	Russian folk-tales	enk		William	m
	1873.0	The adventures of Robinson Playfellow, a young French marine	enk			unknown
Busk, Rachel Harriette	1873.0	Sagas from the Far East;	enk		Rachel	f
Braddon, M. E. (Mary Elizabeth)	1873.0	Milly Darrell, and other tales	enk		Mary	f
Le Fanu, Joseph Sheridan	1873.0	Willing to die	enk		Joseph	m
Broughton, Rhoda	1873.0	Nancy : a novel	enk		Rhoda	f
Marryat, Frederick	1873.0	Newton Forster	enk		Frederick	m
Bede, Cuthbert	1873.0	Little Mr. Bouncer and his friend, Verdant Green	enk		Cuthbert	m
Goethe, Johann Wolfgang von	1873.0	Novels and tales	enk		Johann	m
"""Old Calabar,"""	1873.0	Over turf and stubble	enk			unknown
Jones, C. A	1873.0	The life of S. Elizabeth of Hungary	enk		C	unknown
cit., Legrand	1873.0	The feudal period: illustrated by a series of tales romantic and humorous	enk		Legrand	unknown
[Rathbone, Hannah Mary Reynolds]	1873.0	So much of the diary of Lady Willoughby as relates to her domestic history, & to the eventful period of the reign of Charles the First, the Protectorate, and the Restoration	enk		Hannah	f
Daṇḍin	1873.0	Hindoo tales; or, The adventures of ten princes; freely translated from the Sanscrit of the Dasakumaracharitam	enk		Dain	unknown
Lynn, Ruth Nadelman	1873.0	City sparrows and who fed them	enk		Ruth	f
Trimmer	1873.0	The story of the robins	enk		Trimmer	unknown
Wilberforce, Samuel	1873.0	Agathos and other Sunday stories	enk		Samuel	m
Ballantyne, R. M. (Robert Michael)	1873.0	Tales of adventure on the sea	enk		Robert	m
Collins, Mortimer	1873.0	Squire Silchester's whim	enk		Mortimer	m
Ouida	1873.0	Pascarel	enk		Ouida	unknown
Sterne, Laurence	1873.0	The novels of Laurence Sterne	enk		Laurence	f
Wood, Ellen	1873.0	The master of Greylands	enk		Ellen	f
Gounter, George	1873.0	The last act in the miraculous story of His Majesty King Charles the Second's escape out of the reach of his tyrannical enemies	enk		George	m
	1873.0	A month at Gastein;	enk			unknown
Brown, Oliver Madox-	1873.0	Gabriel Denver	enk		Oliver	m
Burnand, F. C. (Francis Cowley), Sir	1873.0	Mokeanna!	enk		Francis	m
Frere, Alice M	1873.0	'Il??m-en-n??s	enk		Alice	f
Reade, William Winwood	1873.0	The African sketch-book	enk		William	m
Hely-Hutchinson, G. W	1873.0	Reminiscences of the Lews;	enk		G	unknown
	1873.0	Oakmote Hall; or, The adventures of Joe Rattler: with the extraordinary lives of Floss, Sharpwrit, and a policeman. Illustrated with fine steel engravings	enk			unknown
Itlīdī, Muḥammad Diyāb	1873.0	I'lâmên-nâs : historical tales and anecdotes of the time of the early Khalifahs. Translated from the Arabic and annotated by Mrs. Godfrey Clerk	enk		Muammad	unknown
Ritchie, Anne Thackeray	1873.0	Old Kensington	enk		Anne	f
Wilson, Theodore Percival	1873.0	Nearly last, but dearly won	enk		Theodore	m
Edwards, Annie	1873.0	Susan Fielding	enk		Annie	f
Rathbone, Hannah Mary Reynolds	1873.0	So much of the diary of Lady Willoughby as relates to her domestic history, & to the eventful period of the reign of Charles the First, the Protectorate, and the Restoration	enk		Hannah	f
Ward, Charlotte Bickersteth	1873.0	Life in the ghetto : or, The Jewish physician	enk		Charlotte	f
Barker, (Mary Anne), Lady	1873.0	Station amusements in New Zealand	enk		Mary	f
	1873.0	Lives of the most remarkable criminals, who have been condemned and executed for murder, highway robberies, housebreaking, street robberies, coining or other offences : from the year 1720 to the year 1735	enk			unknown
Kingsley, Charles	1873.0	Madame How and Lady Why; or, First lessons in earth lore for children	enk		Charles	m
Stoddard, Charles Warren	1873.0	Summer cruising in the South Seas	enk		Charles	m
Yonge, Charlotte M. (Charlotte Mary)	1873.0	P's and q's, or, The question of putting upon	enk		Charlotte	f
Sterne, Laurence	1873.0	The works of Lawrence Sterne : in four volumes, with a life of the author, written by himself	enk		Laurence	f
Hawtrey, Louisa	1873.0	Brave Dame Mary; or, The siege of Corfe Castle	enk		Louisa	f
Glass, Andrew	1873.0	Tales and traditions of Ayrshire and Galloway	stk		Andrew	m
Cooper, Katherine	1873.0	Margaret and Elizabeth; a story of the sea	enk		Katherine	f
Mac Kenna, Stephen J. (Stephen Joseph)	1873.0	King's beeches; stories of old chums	enk		Stephen	m
	1873.0	Not a success	enk			unknown
Gillmore, Parker	1873.0	Adventures afloat and ashore	enk		Parker	m
Charles, Elizabeth Rundle	1873.0	Against the stream	enk		Elizabeth	f
Warre Cornish, Blanche	1873.0	Alcestis	enk		Blanche	f
Nugent, Norman	1873.0	The amusements of a man of fashion	enk		Norman	m
Tabor, Eliza	1873.0	The blue ribbon	enk		Eliza	f
Fuller	1873.0	Crown-Harden	enk		Fuller	unknown
Reid, Mayne	1873.0	The death shot	enk		Mayne	unknown
Riddell, J. H., Mrs	1873.0	The Earl's promise	enk		J	unknown
Boyce, J. C	1873.0	Frost and thaw	enk		J	unknown
Robinson, F. W. (Frederick William)	1873.0	Her face was her fortune	enk		Frederick	m
Oliphant	1873.0	Innocent	enk		Oliphant	unknown
Turner, Edward	1873.0	The intriguers, or, Pevensel	enk		Edward	m
Mainwaring, Kate	1873.0	Is it for ever?	enk		Kate	f
Saunders, John	1873.0	Israel Mort, overman	enk		John	m
Tytler, Sarah	1873.0	Lady Bell	enk		Sarah	f
	1873.0	Laura Erle	enk			unknown
Fogerty, J	1873.0	Lauterdale	enk		J	unknown
Fogerty, J	1873.0	Lauterdale : a story of two generations	enk		J	unknown
Maunsell, Thomasine	1873.0	Legends of the Jacobite wars	enk		Thomasine	f
Robinson, F. W. (Frederick William)	1873.0	Little Kate Kirby	enk		Frederick	m
Braddon, M. E. (Mary Elizabeth)	1873.0	Lucius Davoren, or, Publican and sinners	enk		Mary	f
Oliphant	1873.0	May	enk		Oliphant	unknown
Fitzgerald, Percy Hetherington	1873.0	The middle-aged lover	enk		Percy	m
Collins, Mortimer	1873.0	Miranda	enk		Mortimer	m
Besant, Walter, Sir	1873.0	My little girl	enk		Walter	m
Ponsonby, Emily	1873.0	Oliver Beaumont	enk		Emily	f
Hardy, Thomas	1873.0	A pair of blue eyes	enk		Thomas	m
	1873.0	Ravensdale	enk			unknown
Richards, Alfred Bate	1873.0	So very human	enk		Alfred	m
Donelan, A. M	1873.0	What 'tis to love	enk		A	unknown
Freytag, Gustav	1873.0	Our forefathers : a novel	enk		Gustav	m
Hutcheson, John C. (John Conroy)	1873.0	She and I. A love story: a life history	enk		John	m
Aïdé, Hamilton	1873.0	Penruddocke	enk		Hamilton	m
Harte, Bret	1873.0	Condensed novels	enk		Bret	m
Lover, Samuel	1873.0	He would be a gentleman; or, Treasure trove, being a romantic Irish tale of the last century	enk		Samuel	m
Sala, George Augustus	1873.0	Terrible tales	enk		George	m
Stradling, Matthew	1873.0	The misadventures of Mr. Catlyne, Q.C. : an autobiography	enk		Matthew	m
Dickens, Charles	1873.0	Barnaby Rudge and Hard times	enk		Charles	m
Dickens, Charles	1873.0	The life and adventures of Martin Chuz	enk		Charles	m
Dickens, Charles	1873.0	[Works. Illustrated library edition]	enk		Charles	m
Johnston, William	1873.0	Under which king?	enk		William	m
Edwards, Amelia Ann Blanford	1873.0	In the days of my youth	enk		Amelia	f
Riddell, J. H., Mrs	1873.0	Home, sweet home	enk		J	unknown
Yonge, Charlotte M. (Charlotte Mary)	1874.0	Lady Hester; or, Ursula's narrative	enk		Charlotte	f
	1874.0	The Gothic and Anglo-Saxon Gospels in parallel columns : with the versions of Wycliffe and Tyndale	enk			unknown
Jefferies, Richard	1874.0	The scarlet shawl. A novel	enk		Richard	m
Burke, Edmund	1874.0	Burke, select works;	enk		Edmund	m
Jerrold, Douglas William	1874.0	The barber's chair, and the hedgehog letters	enk		Douglas	m
Trollope, Anthony	1874.0	Phineas redux	enk		Anthony	m
Verne, Jules	1874.0	Five weeks in a balloon; a voyage of exploration and discovery in Central Africa. From the French. With sixty-four illus	enk		Jules	m
Fitzgerald, Percy Hetherington	1874.0	The romance of the English stage	enk		Percy	m
baron, Brabourne, Edward Hugessen Knatchbull-Hugessen	1874.0	Queer folk. Seven stories	enk		Edward	m
Trollope, Anthony	1874.0	Harry Heathcote of Gangoil. A tale of Australian bush life	enk		Anthony	m
Volkmann, Richard von	1874.0	Fantastic stories	enk		Richard	m
Busk, Rachel Harriette	1874.0	The folk-lore of Rome; collected by word of mouth from the people	enk		Rachel	f
Mijatovich, Elodie Lawton	1874.0	Serbian folk-lore : popular tales : selected and translated	enk		Elodie	f
Day, Lal Behari	1874.0	Govinda Sámanta, or the history of a Bengal ráiyat	enk		Lal	m
Hollingshead, John	1874.0	Miscellanies : stories and essays	enk		John	m
Asbjørnsen, Peter Christen	1874.0	Tales from the fjeld. A second series of popular tales, from the Norse of P. Chr. Asbjörnsen	enk		Peter	m
	1874.0	The Tichborne trial, the summing-up by the lord chief justice of England. Together with the addresses of the judges, the verdict, and the sentence; the whole accompanied by a history of the case and copious alphabetical index	enk			unknown
	1874.0	Reminiscences of a canoness; anecdotes and sketches of court life in France during the reigns of Louis XIV and Louis XV	enk			unknown
Nordhoff, Charles	1874.0	The young Man-of-war's man	enk		Charles	m
Dilke, Charles Wentworth, Sir	1874.0	The fall of Prince Florestan of Monaco	enk		Charles	m
Dickens, Charles	1874.0	A tale of two cities	enk		Charles	m
Dickens, Charles	1874.0	C	enk		Charles	m
Dickens, Charles	1874.0	The works of Charles Dickens	enk		Charles	m
Payn, James	1874.0	The best of husbands	enk		James	m
Reade, Compton	1874.0	Rose and Rue	enk		Compton	unknown
R??voil, B??n??dict Henry	1874.0	The hunter and the trapper in North America;	enk		Bndict	unknown
Naaké, John Theophilus	1874.0	Slavonic fairy tales	enk		John	m
comtesse. Günther, Marie Alker	1874.0	Tales and legends of the Tyrol	enk		Marie	f
	1874.0	B??gh o bah??r;	enk			unknown
Baines, William Mortimer	1874.0	The narrative of Edward Crewe; or, Life in New Zealand	enk		William	m
Brown, Tom	1874.0	A year at school	enk		Tom	m
Gay, Susan E	1874.0	Harry's big boots	enk		Susan	f
	1874.0	Some time in Ireland	enk			unknown
Black, William	1874.0	The maid of Killeena	enk		William	m
Gray, M. C	1874.0	Lisette's venture	enk		M	unknown
Kingsley, Henry	1874.0	Reginald Hetherege	enk		Henry	m
Maxwell, Cecil	1874.0	A story of three sisters	enk		Cecil	m
Russell, William Clark	1874.0	The deceased wife's sister, and My beautiful neighbour	enk		William	m
Taylor, S. Howard	1874.0	Kate Byrne	enk		S	unknown
Whyte-Melville, G. J. (George John)	1874.0	Uncle John	enk		George	m
Willoughby, Eliza Mary	1874.0	On the North wind, thistledown	enk		Eliza	f
	1874.0	Legends of Westmorland and the Lake district	enk			unknown
Balzac, Honoré de	1874.0	Droll stories collected from the abbeys of Touraine	enk		Honor	f
MacDonald, George	1874.0	Phantastes	enk		George	m
Helps, Arthur, Sir	1874.0	Ivan de Biron;	enk		Arthur	m
Burnand, F. C. (Francis Cowley), Sir	1874.0	My time, and what I've done with it	enk		Francis	m
Lytton, Edward Bulwer Lytton, Baron	1874.0	[Works	enk		Edward	m
Gibbon, Charles	1874.0	The casquet of literature : being a selection in poetry and prose from the works of the most admired authors	enk		Charles	m
Alexander, Mrs	1874.0	The wooing o't. A novel	enk		Mrs	unknown
Wood, Ellen	1874.0	Lady Adelaide. A novel	enk		Ellen	f
Collins, Mortimer	1874.0	Transmigration	enk		Mortimer	m
Yates, Edmund Hodgson	1874.0	The impending sword	enk		Edmund	m
Davies, Gerald Stanley	1874.0	Gaudentius: a story of the Colosseum	enk		Gerald	m
White, John	1874.0	Te Rou; or, The Maori at home. A tale, exhibiting the social life, manners, habits, and customs of the Maori race in New Zealand prior to the introduction of civilisation amongst them	enk		John	m
Balzac, Honoré de	1874.0	Balzac's Contes drolatiques = Droll stories	enk		Honor	f
	1874.0	The Baital-Pachisi, or, The twenty-five tales of a demon	enk			unknown
Mercy	1874.0	At her mercy. A novel	enk		Mercy	unknown
Smart, Hawley	1874.0	Broken bonds	enk		Hawley	unknown
Douglas, Gertrude	1874.0	Brown as a berry	enk		Gertrude	f
Grant, James	1874.0	Fairer than a fairy	enk		James	m
Oliphant	1874.0	For love and life	enk		Oliphant	unknown
Riddell, J. H., Mrs	1874.0	Frank Sinclair's wife, and other stories	enk		J	unknown
Church, Luke Wesley	1874.0	From the plough to the pulpit, via Cambridge	enk		Luke	m
Collins, Wilkie	1874.0	The frozen deep	enk		Wilkie	unknown
Solly, Henry	1874.0	Gerald and his friend the doctor	enk		Henry	m
Beauchamp, Shelsley	1874.0	Grantley Grange	enk		Shelsley	unknown
Tabor, Eliza	1874.0	Hope Meredith	enk		Eliza	f
Hawthorne, Julian	1874.0	Idolatry	enk		Julian	m
Speight, T. W	1874.0	In the dead of night	enk		T	unknown
Gibbon, Charles	1874.0	In honour bound	enk		Charles	m
Griffiths, Robert Jones	1874.0	In secret places	enk		Robert	m
Farjeon, B. L. (Benjamin Leopold)	1874.0	Jessie Trim;	enk		Benjamin	m
Farjeon, B. L. (Benjamin Leopold)	1874.0	Jessie Trim; a novel ... $n: 1	enk		Benjamin	m
Wood, Ellen	1874.0	Johnny Ludlow	enk		Ellen	f
Grant, Maria M	1874.0	Lescar, the universalist	enk		Maria	f
Braddon, M. E. (Mary Elizabeth)	1874.0	Lost for love	enk		Mary	f
Dickens, Helen	1874.0	The mill wheel	enk		Helen	f
Riddell, J. H., Mrs	1874.0	Mortomley's estate	enk		J	unknown
Ursula	1874.0	Mrs. Greville	enk		Ursula	f
Walford, Lucy Bethia	1874.0	Mr. Smith	stk		Lucy	f
Oliphant	1874.0	A rose in June	enk		Oliphant	unknown
De Jongh, Bertha	1874.0	The sisters Lawless	enk		Bertha	f
Braddon, M. E. (Mary Elizabeth)	1874.0	Taken at the flood	enk		Mary	f
	1874.0	"""That little Frenchman"""	enk			unknown
Biggs, C. A	1874.0	Waiting for tidings	enk		C	unknown
Ancketill, William Robert	1874.0	The adventures of Mick Callighin, M. P. : a story of home rule ; and The De Burghos : a romance	enk		William	m
Farjeon, B. L. (Benjamin Leopold)	1874.0	Joshua Marvel : a novel	enk		Benjamin	m
Exiles	1874.0	The Exiles at St. Germains	enk		Exiles	unknown
Byrne, Mary	1874.0	Ingram Place. A novel : By a Cape colonist. In two volumes	enk		Mary	f
Harwood, John Berwick	1874.0	Lady Livingston's legacy : a novel	enk		John	m
Grant, James	1874.0	Shall I win her? The story of a wanderer	enk		James	m
