author	inferreddate	shorttitle	place	genres	first_name	estimated_gender
Mackenzie, Anna Maria	1800.0	Feudal events; or, Days of yore. An ancient story	enk		Anna	f
Hervey, Elizabeth	1800.0	The Mourtray family. A novel	enk		Elizabeth	f
Croffts	1800.0	Ankerwick Castle	enk		Croffts	unknown
Lever, Charles James	1800.0	The Martins of Cro' Martin	enk		Charles	m
Hamilton, Elizabeth	1800.0	Memoirs of modern philosophers	enk		Elizabeth	f
Fuller	1800.0	The son of Ethelwolf	enk		Fuller	unknown
Linley, W. (William)	1800.0	Forbidden apartments : a tale	enk		William	m
Trollope, Frances Milton	1800.0	The attractive man : a novel	enk		Frances	f
	1800.0	Tales, anecdotes, and letters	enk			unknown
Du Bois, Edward	1800.0	St. Godwin: a tale of the sixteenth, seventeenth, and eighteenth century	enk		Edward	m
	1800.0	The Governess, or, Evening amusements at a boarding school	enk			unknown
Smith, Thomas	1800.0	The shepherd's son, or, The wish accomplished : a moral tale. Interspersed with poetical effusions, designed for the improvement of youth	enk		Thomas	m
Surr, T. S. (Thomas Skinner)	1801.0	Splendid misery. A novel	enk		Thomas	m
Doubtful, David, pseud	1801.0	The reprobate, or, Voyages and singular adventures of David Doubtful	enk		David	m
Goldsmith, Oliver	1801.0	The miscellaneous works of Oliver Goldsmith	enk		Oliver	m
Swift, Jonathan	1801.0	The works of the Rev. Jonathan Swift	enk		Jonathan	m
Price, Uvedale	1801.0	A dialogue on the distinct characters of the picturesque and the beautiful	enk		Uvedale	unknown
	1801.0	Tuti-namah. The Tooti nameh, or Tales of a parrot	enk			unknown
More, Hannah	1801.0	The works of Hannah More ... including several pieces never before published	enk		Hannah	f
Edgeworth, Maria	1801.0	Castle Rackrent; an Hibernian tale. Taken from facts, and from the manners of the Irish squires, before the year 1782	enk		Maria	f
Disraeli, Isaac	1801.0	Romances	enk		Isaac	m
Summersett, Henry	1801.0	Martyn of Fenrose; or, The wizard and the sword. A romance	enk		Henry	m
	1801.0	Louisa, a narrative of facts : supposed to throw light on the mysterious history of 'The lady of the hay-stack'	enk			unknown
Damer, Anne Seymour Conway	1801.0	Belmour	enk		Anne	f
Moore, George	1801.0	Grasville Abbey	enk		George	m
Acton, Eugenia de	1801.0	The microcosm	enk		Eugenia	f
Du Bois, Edward	1801.0	Old Nick;	enk		Edward	m
Helme, Elizabeth	1801.0	St. Margaret's cave	enk		Elizabeth	f
marquise de, Sévigné, Marie de Rabutin-Chantal	1801.0	Letters from the Marchioness de Sévigné to her daughter the Countess de Grignan	enk		Marie	f
Dallas, Robert Charles	1801.0	Percival : or, Nature vindicted : a novel	enk		Robert	m
Williams, Helen Maria	1801.0	Sketches of the state of manners and opinions in the French republic, towards the close of the eighteenth century.  In a series of letters	enk		Helen	f
	1801.0	The Bakhtyar nameh; or, Story of Prince Bakhtyar and the ten viziers;	enk			unknown
	1801.0	Tūtī-namāh. The Tooti nameh, or Tales of a parrot: in the Persian language, with and English translation	enk			unknown
Meeke, Mary	1801.0	Which is the man?	enk		Mary	f
Sickelmore, Richard	1801.0	Raymond : a novel	enk		Richard	m
Pérez de Hita, Ginés	1801.0	Las guerras civiles; or, The civil wars of Granada, and the history of the factions of the Zegries and Abencerrages, two noble families of that city, to the final conquest by Ferdinand and Isabella;	enk		Gins	unknown
Josse, Auguste-Louis	1801.0	Juvenile biography; or, lives of celebrated children : Inculcating virtue by eminent examples from real life. To which are added moral reflections, addressed to the youth of both sexes	enk		Auguste	m
	1801.0	The moral legacy; or, Simple narratives	enk			unknown
	1801.0	Sketches from nature : intended for the use of young persons	enk			unknown
Lucas, Charles	1802.0	The infernal Quixote. A tale of the day	enk		Charles	m
	1802.0	Welsh legends	enk			unknown
	1802.0	Monkish mysteries; or, The miraculous escape: containing the history and the villanies of the monk Bertrand; the detection of his impious frauds, and subsequent repentance and retribution	enk			unknown
	1802.0	The orphans of Llangloed. A modern tale	enk			unknown
Mercier, Louis-Sébastien	1802.0	Memoirs of the year two thousand five hundred	enk		Louis	m
Cullen, Margaret	1802.0	Home	enk		Margaret	f
Cullen, Margaret	1802.0	Home. A novel	enk		Margaret	f
West	1802.0	The infidel father	enk		West	unknown
Melville, Theodore	1802.0	The white knight, or, The monastery of Morne	enk		Theodore	m
Parnell, William	1802.0	Julietta; or, The triumph of mental acquirements over personal defects	enk		William	m
	1802.0	Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies	stk			unknown
	1802.0	The Arabian nights	enk			unknown
	1802.0	The castle of Caithness. A romance of the thirteenth century	enk			unknown
M'Arthur, Joseph D	1803.0	The Northumbrian chieftain, or, Spectre of the abbey. A legendary tale. <collected from an ancient manuscript.>	enk		Joseph	m
Sterne, Laurence	1803.0	The works of Laurence Sterne ... With a life of the author, written by himself	stk		Laurence	f
	1803.0	Barbara Markham; or, The profligate requited;	enk			unknown
	1803.0	Letters of Miss Riversdale	enk			unknown
Montjoye	1803.0	D'Aveyro;	enk		Montjoye	unknown
Corry, John	1803.0	The history of Henry Thomson, or The reward of filial affection	enk		John	m
Montagu, Mary Wortley, Lady	1803.0	The works of the Right Honourable Lady Mary Wortley Montagu	enk		Mary	f
Karamzin, Nikolaĭ Mikhaĭlovich	1803.0	Russian tales	enk		Nikola	m
Karamzin, Nikolaĭ Mikhaĭlovich	1803.0	Travels from Moscow, through Prussia, Germany, Switzerland, France , and England	enk		Nikola	m
Cuthbertson, Catherine	1803.0	Romance of the Pyrenees	enk		Catherine	f
Walker, George	1803.0	Don Raphael	enk		George	m
Lyttleton, M	1803.0	La belle sauvage, or A progress through the beau-monde	enk		M	unknown
Lyttleton, M	1803.0	Peregrine, or, The fool of fortune	enk		M	unknown
Young, Mary Julia	1803.0	Right and wrong; or, The kinsmen of Naples	enk		Mary	f
	1803.0	Wonderful wives ; describing the loving, the masculine, the rural taste, the cleanly, the fearful, the sentimental, the miseries of affluence, and sentiments on dress	enk			unknown
	1803.0	Amadís de Gaul	enk			unknown
Du Bois, Edward	1803.0	Old Nick; a satirical story	enk		Edward	m
Swift, Jonathan	1803.0	The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick's, Dublin	enk		Jonathan	m
vicomte de, Ségur, Alexandre-Joseph-Pierre	1803.0	Women: their condition and influence in society	enk		Alexandre	m
Hays, Mary	1803.0	Female biography; or, memoirs of illustrious and celebrated women, of all ages and countries	enk		Mary	f
Cervantes Saavedra, Miguel de	1803.0	The adventures of the renowned Don Quixote de la Mancha	stk		Miguel	m
Hunter, Rachel	1803.0	Letters from Mrs. Palmerstone to her daughter; inculcating morality by entertaining narratives	enk		Rachel	f
Kilner, Dorothy	1803.0	The rational brutes, or, Talking animals	enk		Dorothy	f
Pérez de Hita, Ginés	1803.0	The civil wars of Granada;	enk		Gins	unknown
Morgan	1803.0	St. Clair, or, The heiress of Desmond	enk		Morgan	m
Earl of Chatham, Pitt, William	1804.0	Letters written by the late Earl of Chatham to his nephew Thomas Pitt ... (afterwards Lord Camelford)	enk		William	m
	1804.0	The eve of San-Pietro	enk			unknown
Wieland, Christoph Martin	1804.0	Confessions in Elysium, or, The adventures of a Platonic philosopher; taken from the German of C. M. Wieland;	enk		Christoph	m
Gordon, Loudoun Harcourt	1804.0	An apology for the conduct of the Gordons; containing the whole of their correspondence, conversation, &c. with Mrs. Lee: to which is annexed, An accurate account of their examination at Bow street, and their trial at Oxford	enk		Loudoun	unknown
Pitt, William	1804.0	Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq	enk		William	m
	1804.0	The affecting history of Louisa	enk			unknown
Harley, George Davies	1804.0	Circumstances respecting the late Charles Montford, esq	enk		George	m
Whitfield, Henry	1804.0	A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton	enk		Henry	m
Dallas, Robert Charles	1804.0	Aubrey : a novel	enk		Robert	m
Bisset, Robert	1804.0	Modern literature;	enk		Robert	m
Edgeworth, Maria	1804.0	Popular tales	enk		Maria	f
Pigott, Harriet	1804.0	The pride of ancestry: or, Who is she?	enk		Harriet	f
Le Noir, Elizabeth Anne	1804.0	Village anecdotes; or, The journal of a year, from Sophia to Edward	enk		Elizabeth	f
Siddons, Henry	1804.0	Virtuous poverty	enk		Henry	m
Gooch, Elizabeth Sarah Villa-Real	1804.0	Sherwood forest; or, Northern adventures; a novel	enk		Elizabeth	f
Plumptre, Anabella	1804.0	Stories for children, intended to be read or recited to them in early periods of infancy. Being the first part of a series of amusement and instruction adapted to the progressive stages of early life	enk		Anabella	f
	1804.0	The Tame goldfinch,or The unfortunate neglect	enk			unknown
Helme, Elizabeth	1805.0	The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend	enk		Elizabeth	f
Daubenton, Mme (Marguerite)	1805.0	Zelia in the desert; or, The female Crusoe	enk		Marguerite	f
Holcroft, Thomas	1805.0	Memoirs of Bryan Perdue; a novel	enk		Thomas	m
Zschokke, Heinrich	1805.0	The bravo of Venice, a romance:	enk		Heinrich	m
Opie, Amelia Alderson	1805.0	Adeline Mowbray	enk		Amelia	f
Disraeli, Isaac	1805.0	Flim-flams! : or, The life and errors of my uncle, and the amours of my aunt!	enk		Isaac	m
Zschokke, Heinrich	1805.0	The Bravo of Venice;	enk		Heinrich	m
Semple, Robert	1805.0	Walks and sketches at the Cape of Good Hope to which is subjoined  a journey from Cape Town to Blettenberg's Bay	enk		Robert	m
Ellis, George	1805.0	Romances of Oriental origin: The seven wise	enk		George	m
Mme de Grafigny, (Françoise d'Issembourg d'Happoncourt)	1805.0	Peruvian letters, including the letters of Aza	enk		Franoise	unknown
	1805.0	Two pilgrims; a romance	enk			unknown
Gessner, Salomon	1805.0	The works of Solomon Gessner; translated from the German. With notes, critical and explanatory, to which is prefixed, a copious memoir of the life of the author	enk		Salomon	m
Johnson, Samuel	1805.0	Rasselas	enk		Samuel	m
Perry, William	1805.0	A dialogue in the shades : recommended to every purchaser of Dr. Kinglake's dissertation, &c., as an appropriate tailpiece for embellishment and illustration	enk	Dialogues	William	m
Ireland, W. H. (William Henry)	1805.0	Effusions of love from Chatelar to Mary, queen of Scotland	enk		William	m
Melmoth, Sydney	1805.0	Beauties of English prose	enk		Sydney	m
	1805.0	Fables of Aesop and others	enk			unknown
Charlton, Mary	1805.0	The homicide	enk		Mary	f
Edgeworth, Maria	1805.0	The modern Griselda	enk		Maria	f
Porter, Jane	1805.0	Thaddeus of Warsaw	enk		Jane	f
	1805.0	The affecting history of Caroline;	enk			unknown
Surr, T. S	1806.0	A winter in London;	enk		T	unknown
Surr, T. S. (Thomas Skinner)	1806.0	A winter in London; or, Sketches of fashion : a novel	enk		Thomas	m
Opie, Amelia Alderson	1806.0	The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber	enk		Amelia	f
Opie, Amelia Alderson	1806.0	The mother and son.  Love and duty	enk		Amelia	f
Opie, Amelia Alderson	1806.0	The soldier's return.  The brother and sister.  The revenge	enk		Amelia	f
Opie, Amelia Alderson	1806.0	The uncle and nephew.  Murder will out.  The orphan	enk		Amelia	f
Fielding, Henry	1806.0	Miscellaneous: The fathers; or, The good-natured man, a comedy. The life of Jonathan Wild the Great. A journey from this world to the next, &c	enk		Henry	m
Fielding, Henry	1806.0	Joseph Andrews. Preface to David Simple, etc	enk		Henry	m
Fielding, Henry	1806.0	Tom Jones	enk		Henry	m
Fielding, Henry	1806.0	The first Olynthiac of Demosthenes. Remedy of affiction for the loss of our friends. Dialogue between Alexander the Great, and Diogenes the Cynic. Interlude between Jupiter, J	enk		Henry	m
Fielding, Henry	1806.0	The works of Henry Fielding; with an essay on his life and genius	enk		Henry	m
Edgeworth, Maria	1806.0	Leonora	enk		Maria	f
Campe, Joachim Heinrich	1806.0	The history of Robinson Crusoe, abridged, divided into lessons, in order to be read and translated by young beginners; with an explication of words and pharses [1] contained in every lesson	enk		Joachim	m
Semple, Robert	1806.0	Charles Ellis, or, The friends : a novel, comprising the incidents and observations occurring on a voyage to the Brazils and West Indies, actually performed by the writer	enk		Robert	m
Morgan	1806.0	st ed	enk		Morgan	m
Morgan, (Sydney), Lady	1806.0	The novice of Saint Dominick	enk	London|England|Novels	Sydney	m
Morgan	1806.0	The novice of Saint Dominick	enk		Morgan	m
Wheatley, Sarah	1806.0	The Christmas fire-side	enk		Sarah	f
	1806.0	The stranger	enk			unknown
Disraeli, Isaac	1806.0	Flim-flams! : or, The life and errors of my uncle and his friends : a literary romance	enk		Isaac	m
Roberts	1806.0	Delmore	enk		Roberts	m
Siddons, Henry	1806.0	The maid, wife, and widow	enk		Henry	m
Bennett	1806.0	Vicissitudes abroad;	enk		Bennett	m
