docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
nyp.33433006539765,"Stout, Benjamin",1798.0,,,0.9582098616246448,enk,m,116,unknown
yale.39002029844199,"Campbell, Donald",1798.0,,,0.6208700660429602,enk,m,304,Armorial bookplates (Provenance)|CtY-BR
njp.32101068989910,"comtesse de, Genlis, Stéphanie Félicité",1798.0,v.5,5.0,0.2916506617251484,enk,unknown,288,unknown
hvd.hn2ghs,"Helme, Elizabeth",1798.0,v.1,1.0,0.4089300531426997,enk,f,214,unknown
hvd.hn6nfx,"Madame Leprince de Beaumont, (Jeanne-Marie)",1798.0,v.1,1.0,0.8273457929028376,enk,f,364,Fiction
mdp.39015011930800,"Cumberland, Richard",1799.0,v.2,2.0,0.3269800949521576,enk,m,338,unknown
mdp.39015030679487,"Meeke, Mary",1799.0,v.1,1.0,0.0717290699719222,enk,f,268,Fiction
mdp.39015063692787,"Barthélemy, J.-J. (Jean-Jacques)",1799.0,,,0.4728599232502653,enk,m,234,unknown
mdp.39015078572339,"Campe, Joachim Heinrich",1799.0,,,0.4066621808194627,enk,m,134,unknown
nyp.33433074948567,,1799.0,v. 1,1.0,0.142227205274067,enk,unknown,190,unknown
uc2.ark+=13960=t1ng4kw2z,"Lee, Harriet",1799.0,v.1,1.0,0.1825630390579398,enk,f,432,unknown
nyp.33433074911748,"Robinson, Mary Darby",1799.0,v. 1,1.0,0.0345795987053442,enk,f,348,Fiction
nyp.33433074918768,"Walker, George",1799.0,v. 1,1.0,0.39019888516039,enk,m,270,Fiction
njp.32101067635050,,1799.0,,,0.7521547706079901,enk,unknown,212,unknown
njp.32101074630169,"Lafontaine, August Heinrich Julius",1799.0,vol. 1,1.0,0.3072059243528784,enk,m,350,Fiction
njp.32101076970548,"Lantier, Etienne François de",1799.0,v.3,3.0,0.7767125503665178,enk,m,436,Fiction|France|Novels
mdp.39015063947199,,1800.0,,,0.0,enk,unknown,46,Fiction
mdp.39015063931862,,1800.0,,,0.0,enk,unknown,70,Fiction
nyp.33433074910260,"Moore, John",1800.0,v. 1,1.0,0.4071352456774493,enk,m,416,unknown
mdp.39015059375132,"[Burges, Mary Anne]",1800.0,,,0.3053477431821953,enk,f,214,unknown
mdp.39015063977683,"allegorist. Mitchell, John",1800.0,,,0.5269507615424629,enk,m,456,unknown
mdp.39015078555755,"Defoe, Daniel",1800.0,,,0.8425619414511368,enk,m,58,unknown
nyp.33433074911540,"Smith, Charlotte Turner",1800.0,v. 1,1.0,0.0729271226107538,enk,f,326,Fiction
nyp.33433074911557,"Smith, Charlotte Turner",1800.0,v. 2,2.0,0.0,enk,f,332,Fiction
nyp.33433074911565,"Smith, Charlotte Turner",1800.0,v. 3,3.0,0.1641873639080721,enk,f,400,Fiction
nyp.33433074911573,"Smith, Charlotte Turner",1800.0,v. 4,4.0,0.0,enk,f,296,Fiction
nyp.33433074911581,"Smith, Charlotte Turner",1800.0,v. 5,5.0,0.0,enk,f,318,Fiction
uc2.ark+=13960=t7sn02x86,,1800.0,,,0.5234933665924697,enk,unknown,78,unknown
uc2.ark+=13960=t17m05c2d,"Ostlere, May",1800.0,,,0.1242056830345493,enk,f,568,unknown
uc2.ark+=13960=t0vq2tk41,"Wordboise, Emma Jane",1800.0,,,0.0941640045691538,enk,f,576,unknown
uc2.ark+=13960=t80k2b055,"Surtees, Robert Smith",1800.0,,,0.0577965158242794,enk,m,484,Fiction|Novel
uc2.ark+=13960=t6j100k87,"Surtees, Robert Smith",1800.0,,,0.1177188914929233,enk,m,438,unknown
uc2.ark+=13960=t04x5bh1k,"Trollope, Anthony",1800.0,,,,enk,m,342,unknown
uc2.ark+=13960=t6f19705j,,1800.0,,,0.2198190540960908,stk,unknown,228,unknown
nnc1.0061913537,"Musäus, Johann Karl August",1800.0,v.2,2.0,0.2687074842655511,enk,m,304,unknown
nyp.33433074955034,"Lathom, Francis",1800.0,v. 1,1.0,0.1069724621034902,enk,m,366,Fiction
nyp.33433075724090,"Schiller, Friedrich",1800.0,v. 1,1.0,0.3455264249685809,enk,m,244,unknown
nyp.33433075813646,Voltaire,1800.0,,,0.8330118278723223,enk,m,164,Fiction
nyp.33433081584223,"Mackenzie, Anna Maria",1800.0,v.1,1.0,0.0875919605044873,enk,f,268,unknown
nyp.33433074913264,"Hervey, Elizabeth",1800.0,v. 1,1.0,0.0457672055551592,enk,f,318,Fiction
uiuo.ark+=13960=t9572451c,Croffts,1800.0,v.1,1.0,0.1369403002708001,enk,unknown,304,Fiction
uiuo.ark+=13960=t2g74094k,"Lever, Charles James",1800.0,v.1,1.0,0.0901527259246819,enk,m,428,unknown
uiuo.ark+=13960=t7cr6hq4j,"Hamilton, Elizabeth",1800.0,v.1,1.0,0.1397347815069531,enk,f,364,Fiction
uiuo.ark+=13960=t89g6bx9g,Fuller,1800.0,v.1,1.0,0.2015379921127468,enk,unknown,260,unknown
njp.32101068142072,"Linley, W. (William)",1800.0,v.1,1.0,0.0774930640436324,enk,m,302,unknown
wu.89099223356,"Trollope, Frances Milton",1800.0,,,0.0277783621048112,enk,f,432,Fiction
ucm.5320307018,,1800.0,,,0.8259872284425493,enk,unknown,462,Fiction
njp.32101037604772,"Du Bois, Edward",1800.0,,,0.0,enk,m,274,Fiction
hvd.hn2he5,,1800.0,,,0.0,enk,unknown,236,Fiction
hvd.hn2he4,"Smith, Thomas",1800.0,,,0.2173973472279425,enk,m,186,unknown
mdp.39015065769419,"Surr, T. S. (Thomas Skinner)",1801.0,v.1,1.0,0.1881851618803979,enk,m,270,Fiction
mdp.39015078569970,"Doubtful, David, pseud",1801.0,,,0.6474089526577368,enk,m,40,unknown
njp.32101068598901,"Goldsmith, Oliver",1801.0,v.1,1.0,0.7915083369559544,enk,m,420,unknown
mdp.39015078563346,"Swift, Jonathan",1801.0,v.6,6.0,0.905575098655776,enk,m,386,unknown
uc2.ark+=13960=t3st7gf7p,"Price, Uvedale",1801.0,,,0.9970893386246364,enk,unknown,238,unknown
uc2.ark+=13960=t6pz5d01n,,1801.0,,,0.911727372902712,enk,unknown,340,unknown
nnc1.0037962892,"More, Hannah",1801.0,v.4,4.0,0.6514258833583545,enk,f,500,unknown
nyp.33433074967500,"Edgeworth, Maria",1801.0,,,0.1459822146465807,enk,f,244,unknown
nyp.33433074968227,"Disraeli, Isaac",1801.0,,,0.7839941569667896,enk,m,258,unknown
nyp.33433074911300,"Summersett, Henry",1801.0,v. 1,1.0,0.0,enk,m,254,Fiction
nyp.33433075840169,,1801.0,,,0.9830131814533152,enk,unknown,172,unknown
uiuo.ark+=13960=t2k64tq5z,"Damer, Anne Seymour Conway",1801.0,v.1,1.0,0.1976536249759025,enk,f,274,Fiction
uiuo.ark+=13960=t63496n5k,"Moore, George",1801.0,v.1,1.0,0.0,enk,m,276,unknown
uiuo.ark+=13960=t6nz8qp53,"Acton, Eugenia de",1801.0,v.1,1.0,0.5201005742356664,enk,f,288,Fiction
uiuo.ark+=13960=t5h99gq2h,"Du Bois, Edward",1801.0,v.1,1.0,0.0,enk,m,240,Fiction
uiuo.ark+=13960=t44q8kw5h,"Helme, Elizabeth",1801.0,v.1,1.0,0.0670448099326745,enk,f,298,Fiction
njp.32101035651049,"marquise de, Sévigné, Marie de Rabutin-Chantal",1801.0,vol.2,2.0,0.9469807787902168,enk,f,276,unknown
njp.32101068167194,"Dallas, Robert Charles",1801.0,vol.1,1.0,0.1039942885138093,enk,m,346,Fiction
njp.32101074210913,"Williams, Helen Maria",1801.0,v.1,1.0,0.3838773550582113,enk,f,346,Fiction
njp.32101076417573,,1801.0,,,0.7164934835399541,enk,unknown,134,unknown
hvd.hxj9j6,,1801.0,,,0.8617620261216657,enk,unknown,342,unknown
njp.32101065836585,"Meeke, Mary",1801.0,vol.1,1.0,0.0452545617929022,enk,f,290,Fiction
njp.32101064631763,"Sickelmore, Richard",1801.0,v.1,1.0,0.055354724323572,enk,m,286,unknown
hvd.32044018178632,"Pérez de Hita, Ginés",1801.0,,,0.904271009249076,enk,unknown,468,Fiction
hvd.hn2ghj,"Josse, Auguste-Louis",1801.0,,,0.862138560360247,enk,m,466,unknown
hvd.hn1qv9,,1801.0,,,0.3198743654207954,enk,unknown,384,unknown
hvd.hn2heh,,1801.0,,,0.8423417821522806,enk,unknown,150,unknown
mdp.39015027528697,"Lucas, Charles",1802.0,v.4,4.0,0.0,enk,m,392,Fiction
uc2.ark+=13960=t8df6pq05,,1802.0,,,0.3199039988578994,enk,unknown,308,unknown
uc1.b3549806,,1802.0,,,0.0,enk,unknown,50,unknown
nnc1.0037105930,,1802.0,v.1,1.0,0.3486499926979503,enk,unknown,264,Fiction
nyp.33433081958500,"Mercier, Louis-Sébastien",1802.0,,,0.8910852844740396,enk,m,318,Fiction
uiuo.ark+=13960=t22b9bx7f,"Cullen, Margaret",1802.0,v.1,1.0,0.3159336153469546,enk,f,350,Fiction
nyp.33433074954953,"Cullen, Margaret",1802.0,v. 2,2.0,0.0,enk,f,324,Fiction
uiuo.ark+=13960=t2z32gn5j,West,1802.0,v.1,1.0,0.0,enk,unknown,326,Fiction
uiuo.ark+=13960=t6vx10k7w,"Melville, Theodore",1802.0,v.1,1.0,0.0,enk,m,240,unknown
njp.32101063579567,"Parnell, William",1802.0,,,0.0566763485088414,enk,m,226,unknown
njp.32101073253690,,1802.0,v.1,1.0,0.0,stk,unknown,348,unknown
hvd.hwk15s,,1802.0,v.5,5.0,0.5757911005799942,enk,unknown,500,unknown
dul1.ark+=13960=t9f48pv82,,1802.0,v.1,1.0,,enk,unknown,234,Fiction
mdp.39015063939006,"M'Arthur, Joseph D",1803.0,,,0.607275284716954,enk,m,64,Fiction
mdp.39015005633568,"Sterne, Laurence",1803.0,v.2,2.0,0.3634802441745156,stk,f,286,unknown
uc1.$b248234,,1803.0,v.1-2,1.0,0.1275525410723467,enk,unknown,380,Fiction
uc1.$b250118,,1803.0,v.1,1.0,0.1096837949030059,enk,unknown,394,Fiction
uc1.$b278751,Montjoye,1803.0,v.1,1.0,0.3788313205394193,enk,unknown,258,Fiction
uc1.b3553822,"Corry, John",1803.0,,,0.0,enk,m,50,Fiction
uc2.ark+=13960=t2f76p82w,"Montagu, Mary Wortley, Lady",1803.0,v.1,1.0,0.8980261319994608,enk,f,328,unknown
nyp.33433051569915,"Karamzin, Nikolaĭ Mikhaĭlovich",1803.0,,,0.0807815522823972,enk,m,286,Fiction
nyp.33433082477633,"Karamzin, Nikolaĭ Mikhaĭlovich",1803.0,v. 1,1.0,0.9256017946967696,enk,m,294,unknown
nyp.33433074951595,"Cuthbertson, Catherine",1803.0,v. 1,1.0,0.0356488071595892,enk,f,358,Fiction
uiuo.ark+=13960=t5q81zv8g,"Walker, George",1803.0,v.1,1.0,0.0,enk,m,340,Fiction
uiuo.ark+=13960=t97660n1s,"Lyttleton, M",1803.0,v.1,1.0,0.4622597239221242,enk,unknown,294,unknown
uiuo.ark+=13960=t9n30cc0p,"Lyttleton, M",1803.0,v.1,1.0,0.1014289289632143,enk,unknown,280,Fiction
uiuo.ark+=13960=t0bv84w96,"Young, Mary Julia",1803.0,v.1,1.0,0.0802437700546118,enk,f,248,Fiction
njp.32101007962481,,1803.0,,,0.6306416625686933,enk,unknown,62,unknown
njp.32101045231014,,1803.0,vol. 1,1.0,0.1626843361802872,enk,unknown,342,unknown
njp.32101068177086,"Du Bois, Edward",1803.0,vol.1,1.0,0.3274413761585079,enk,m,244,Fiction
njp.32101068588936,"Swift, Jonathan",1803.0,v.21,21.0,0.9281873030523156,enk,m,354,unknown
hvd.rslej1,"vicomte de, Ségur, Alexandre-Joseph-Pierre",1803.0,v.2,2.0,0.8186267129071888,enk,m,358,unknown
hvd.rslysq,"Hays, Mary",1803.0,,,1.0,enk,f,492,unknown
hvd.hn3cxb,"Cervantes Saavedra, Miguel de",1803.0,,,0.8447973296273799,stk,m,332,unknown
hvd.hn2tpv,"Hunter, Rachel",1803.0,v.3,3.0,0.0,enk,f,392,unknown
hvd.hn2hep,"Kilner, Dorothy",1803.0,,,0.2801455832659934,enk,f,180,Fiction
uva.x000468330,"Pérez de Hita, Ginés",1803.0,,,1.0,enk,unknown,460,unknown
dul1.ark+=13960=t7gq7nx79,Morgan,1803.0,,,0.1809895118769406,enk,m,264,unknown
mdp.39015005061430,"Earl of Chatham, Pitt, William",1804.0,,,0.9885445183354398,enk,m,148,unknown
uiuo.ark+=13960=t8nc6b618,,1804.0,v.1,1.0,0.0,enk,unknown,304,Fiction
mdp.39015014653201,"Wieland, Christoph Martin",1804.0,v.1,1.0,0.0,enk,m,236,unknown
mdp.39015020079896,"Gordon, Loudoun Harcourt",1804.0,,,0.9045111154718948,enk,unknown,160,unknown
uc2.ark+=13960=t4nk38459,"Pitt, William",1804.0,,,1.0,enk,m,144,unknown
uc1.$b248232,,1804.0,,,0.0,enk,unknown,56,Fiction
uc2.ark+=13960=t3gx4dk9q,"Harley, George Davies",1804.0,,,0.0,enk,m,294,unknown
uiuo.ark+=13960=t06x01570,"Whitfield, Henry",1804.0,v.1,1.0,0.2190588067694943,enk,m,260,Fiction
nyp.33433074951942,"Dallas, Robert Charles",1804.0,v. 1,1.0,0.0,enk,m,260,unknown
uiuo.ark+=13960=t9q24623t,"Bisset, Robert",1804.0,v.1,1.0,0.5630182016869281,enk,m,356,Fiction
uiuo.ark+=13960=t1pg2cj2j,"Edgeworth, Maria",1804.0,v.1,1.0,0.0,enk,f,402,Fiction
uiuo.ark+=13960=t08w42g96,"Pigott, Harriet",1804.0,v.1,1.0,0.0,enk,f,266,Fiction
uiuo.ark+=13960=t1qf9705s,"Le Noir, Elizabeth Anne",1804.0,v.1,1.0,0.268269578532532,enk,f,276,unknown
uiuo.ark+=13960=t3pv74d80,"Siddons, Henry",1804.0,v.2,2.0,0.1480140156321915,enk,m,296,Fiction
njp.32101066459429,"Gooch, Elizabeth Sarah Villa-Real",1804.0,v.1,1.0,0.1279765817547986,enk,f,254,unknown
hvd.hn6gv5,"Plumptre, Anabella",1804.0,,,0.5820773211661321,enk,f,156,unknown
hvd.hn2her,,1804.0,,,0.0,enk,unknown,50,unknown
mdp.39015016424130,"Helme, Elizabeth",1805.0,v.1,1.0,0.0571912757245129,enk,f,294,Fiction
mdp.39015078547430,"Daubenton, Mme (Marguerite)",1805.0,,,0.8896451887052543,enk,f,42,unknown
uc1.b4107899,"Holcroft, Thomas",1805.0,v.1,1.0,0.3494929462353796,enk,m,306,Fiction
hvd.hwspyj,"Zschokke, Heinrich",1805.0,,,0.0,enk,m,364,Fiction
uiuo.ark+=13960=t6sx6xd8k,"Opie, Amelia Alderson",1805.0,v.2,2.0,0.0702624596277143,enk,f,252,Fiction
nyp.33433074931852,"Disraeli, Isaac",1805.0,v. 3,3.0,0.5736703541706342,enk,m,396,unknown
uc1.$b316136,"Zschokke, Heinrich",1805.0,,,0.1933356997141078,enk,m,318,Fiction
nyp.33433082456462,"Semple, Robert",1805.0,,,0.8965225303165499,enk,m,214,unknown
uc1.b3294822,"Ellis, George",1805.0,v.3,3.0,0.2434258765003351,enk,m,434,unknown
nnc1.0114906937,"Mme de Grafigny, (Françoise d'Issembourg d'Happoncourt)",1805.0,v.1-2,1.0,0.5370626519375473,enk,unknown,420,unknown
nnc1.1002356589,,1805.0,v.1,1.0,0.0,enk,unknown,220,unknown
uva.x001850257,"Gessner, Salomon",1805.0,v.1,1.0,0.5841051899007834,enk,m,320,unknown
nyp.33433000182331,"Johnson, Samuel",1805.0,,,0.5209717858100571,enk,m,226,Fiction
nyp.33433011462466,"Perry, William",1805.0,,,0.9122680261462012,enk,m,160,Dialogues
nyp.33433074869425,"Ireland, W. H. (William Henry)",1805.0,,,1.0,enk,m,176,Fiction
nyp.33433076082514,"Melmoth, Sydney",1805.0,,,1.0,enk,m,368,unknown
nyp.33433088073717,,1805.0,,,0.6824347255077007,enk,unknown,378,Fiction
uiuo.ark+=13960=t9474p035,"Charlton, Mary",1805.0,v.1,1.0,0.4625299788986849,enk,f,310,Fiction
dul1.ark+=13960=t89g6ct7k,"Edgeworth, Maria",1805.0,,,0.0,enk,f,220,Fiction
hvd.hn21hk,"Porter, Jane",1805.0,v.1,1.0,0.1096494902374031,enk,f,292,Fiction
