docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
nyp.33433074911300,"Summersett, Henry",1801.0,v. 1,1.0,0.0,enk,m,254,Fiction
uiuo.ark+=13960=t2k64tq5z,"Damer, Anne Seymour Conway",1801.0,v.1,1.0,0.1976536249759025,enk,f,274,Fiction
uiuo.ark+=13960=t6nz8qp53,"Acton, Eugenia de",1801.0,v.1,1.0,0.5201005742356664,enk,f,288,Fiction
uiuo.ark+=13960=t5h99gq2h,"Du Bois, Edward",1801.0,v.1,1.0,0.0,enk,m,240,Fiction
uiuo.ark+=13960=t44q8kw5h,"Helme, Elizabeth",1801.0,v.1,1.0,0.0670448099326745,enk,f,298,Fiction
njp.32101068167194,"Dallas, Robert Charles",1801.0,vol.1,1.0,0.1039942885138093,enk,m,346,Fiction
njp.32101074210913,"Williams, Helen Maria",1801.0,v.1,1.0,0.3838773550582113,enk,f,346,Fiction
njp.32101065836585,"Meeke, Mary",1801.0,vol.1,1.0,0.0452545617929022,enk,f,290,Fiction
hvd.32044018178632,"Pérez de Hita, Ginés",1801.0,,,0.904271009249076,enk,unknown,468,Fiction
mdp.39015027528697,"Lucas, Charles",1802.0,v.4,4.0,0.0,enk,m,392,Fiction
nnc1.0037105930,,1802.0,v.1,1.0,0.3486499926979503,enk,unknown,264,Fiction
nyp.33433081958500,"Mercier, Louis-Sébastien",1802.0,,,0.8910852844740396,enk,m,318,Fiction
uiuo.ark+=13960=t22b9bx7f,"Cullen, Margaret",1802.0,v.1,1.0,0.3159336153469546,enk,f,350,Fiction
nyp.33433074954953,"Cullen, Margaret",1802.0,v. 2,2.0,0.0,enk,f,324,Fiction
uiuo.ark+=13960=t2z32gn5j,West,1802.0,v.1,1.0,0.0,enk,unknown,326,Fiction
dul1.ark+=13960=t9f48pv82,,1802.0,v.1,1.0,,enk,unknown,234,Fiction
uc1.$b248234,,1803.0,v.1-2,1.0,0.1275525410723467,enk,unknown,380,Fiction
uc1.$b250118,,1803.0,v.1,1.0,0.1096837949030059,enk,unknown,394,Fiction
uc1.$b278751,Montjoye,1803.0,v.1,1.0,0.3788313205394193,enk,unknown,258,Fiction
nyp.33433051569915,"Karamzin, Nikolaĭ Mikhaĭlovich",1803.0,,,0.0807815522823972,enk,m,286,Fiction
nyp.33433074951595,"Cuthbertson, Catherine",1803.0,v. 1,1.0,0.0356488071595892,enk,f,358,Fiction
uiuo.ark+=13960=t5q81zv8g,"Walker, George",1803.0,v.1,1.0,0.0,enk,m,340,Fiction
uiuo.ark+=13960=t9n30cc0p,"Lyttleton, M",1803.0,v.1,1.0,0.1014289289632143,enk,unknown,280,Fiction
uiuo.ark+=13960=t0bv84w96,"Young, Mary Julia",1803.0,v.1,1.0,0.0802437700546118,enk,f,248,Fiction
njp.32101068177086,"Du Bois, Edward",1803.0,vol.1,1.0,0.3274413761585079,enk,m,244,Fiction
hvd.hn2hep,"Kilner, Dorothy",1803.0,,,0.2801455832659934,enk,f,180,Fiction
uiuo.ark+=13960=t8nc6b618,,1804.0,v.1,1.0,0.0,enk,unknown,304,Fiction
uiuo.ark+=13960=t06x01570,"Whitfield, Henry",1804.0,v.1,1.0,0.2190588067694943,enk,m,260,Fiction
uiuo.ark+=13960=t9q24623t,"Bisset, Robert",1804.0,v.1,1.0,0.5630182016869281,enk,m,356,Fiction
uiuo.ark+=13960=t1pg2cj2j,"Edgeworth, Maria",1804.0,v.1,1.0,0.0,enk,f,402,Fiction
uiuo.ark+=13960=t08w42g96,"Pigott, Harriet",1804.0,v.1,1.0,0.0,enk,f,266,Fiction
uiuo.ark+=13960=t3pv74d80,"Siddons, Henry",1804.0,v.2,2.0,0.1480140156321915,enk,m,296,Fiction
mdp.39015016424130,"Helme, Elizabeth",1805.0,v.1,1.0,0.0571912757245129,enk,f,294,Fiction
uc1.b4107899,"Holcroft, Thomas",1805.0,v.1,1.0,0.3494929462353796,enk,m,306,Fiction
hvd.hwspyj,"Zschokke, Heinrich",1805.0,,,0.0,enk,m,364,Fiction
uiuo.ark+=13960=t6sx6xd8k,"Opie, Amelia Alderson",1805.0,v.2,2.0,0.0702624596277143,enk,f,252,Fiction
uc1.$b316136,"Zschokke, Heinrich",1805.0,,,0.1933356997141078,enk,m,318,Fiction
nyp.33433000182331,"Johnson, Samuel",1805.0,,,0.5209717858100571,enk,m,226,Fiction
nyp.33433074869425,"Ireland, W. H. (William Henry)",1805.0,,,1.0,enk,m,176,Fiction
nyp.33433088073717,,1805.0,,,0.6824347255077007,enk,unknown,378,Fiction
uiuo.ark+=13960=t9474p035,"Charlton, Mary",1805.0,v.1,1.0,0.4625299788986849,enk,f,310,Fiction
dul1.ark+=13960=t89g6ct7k,"Edgeworth, Maria",1805.0,,,0.0,enk,f,220,Fiction
hvd.hn21hk,"Porter, Jane",1805.0,v.1,1.0,0.1096494902374031,enk,f,292,Fiction
uiuo.ark+=13960=t16m3wk0n,"Surr, T. S",1806.0,v.1,1.0,0.0,enk,unknown,292,Fiction
mdp.39015047645893,"Surr, T. S. (Thomas Skinner)",1806.0,v.3,3.0,0.0953154113502182,enk,m,278,Fiction
nyp.33433075729792,"Edgeworth, Maria",1806.0,v. 1,1.0,0.3144669778394568,enk,f,300,Fiction
uc1.b3325752,"Semple, Robert",1806.0,v.1,1.0,0.0345116288377716,enk,m,270,Fiction
uc1.$b250210,Morgan,1806.0,v. 1,1.0,0.0271928841706413,enk,m,382,Fiction
nyp.33433074915129,"Morgan, (Sydney), Lady",1806.0,v. 2,2.0,0.037678155867985,enk,m,380,Fiction|London|England|Novels
uc1.$b250213,Morgan,1806.0,v. 4,4.0,0.0916815658986179,enk,m,416,Fiction
uc1.$b255842,,1806.0,,,0.2090610873689303,enk,unknown,156,Fiction
uiuo.ark+=13960=t6d22jj5t,Roberts,1806.0,v.1,1.0,0.0669221739941522,enk,m,254,Fiction
uiuo.ark+=13960=t8bg39w1x,"Siddons, Henry",1806.0,v.1,1.0,0.0,enk,m,294,Fiction
uiuo.ark+=13960=t14m9ft6z,Bennett,1806.0,v.1,1.0,0.0,enk,m,324,Fiction
njp.32101032329045,"Lewis, M. G. (Matthew Gregory)",1806.0,v.1,1.0,0.0,enk,m,326,Fiction
hvd.hw2fxy,"Goldsmith, Oliver",1806.0,v.1,1.0,0.678330552276911,enk,m,346,Fiction|Mixed
hvd.hwg1vy,"Fisher, James",1806.0,,,0.7644823935828196,enk,m,358,Fiction
mdp.39015014117546,"Porter, Anna Maria",1807.0,v.1,1.0,0.076883072286515,enk,f,258,Fiction
nyp.33433087358499,"Hunt, Leigh",1807.0,v. 1,1.0,0.6206978987630621,enk,f,350,Fiction
nyp.33433087358507,"Hunt, Leigh",1807.0,v. 2,2.0,0.8149684275697668,enk,f,344,Fiction
nyp.33433087358515,"Hunt, Leigh",1807.0,v. 3,3.0,0.0,enk,f,344,Fiction
nyp.33433087358523,"Hunt, Leigh",1807.0,v. 4,4.0,0.3485796922068374,enk,f,342,Fiction
nyp.33433087358531,"Hunt, Leigh",1807.0,v. 5,5.0,0.1895623355558051,enk,f,344,Fiction
nyp.33433082238209,"Morais, Francisco de",1807.0,v. 1,1.0,0.114532902089114,enk,m,548,Fiction
uc1.$b156235,"Heron, Robert",1807.0,,,0.6529550332041519,enk,m,252,Fiction
nyp.33433075733430,"Kotzebue, August von",1807.0,v. 1,1.0,0.1334990918696708,enk,m,290,Fiction
nyp.33433075798169,,1807.0,,,0.2101684532303098,enk,unknown,346,Fiction
nyp.33433087270843,"Fénelon, François de Salignac de La Mothe-",1807.0,,,0.5280935931496155,enk,unknown,474,Fiction
uiuo.ark+=13960=t3nw03q42,"Stanhope, Louisa Sidney",1807.0,v.1,1.0,0.0236414278365554,enk,f,276,Fiction
njp.32101064790809,"Stanhope, Louisa Sidney",1807.0,vol. 2,2.0,0.0623627613937271,enk,f,260,Fiction
uiuo.ark+=13960=t0ns1cv4p,"Sedley, Charles",1807.0,v.1,1.0,0.0,enk,m,198,Fiction
uiuo.ark+=13960=t2h711v1w,"Roche, Regina Maria",1807.0,v.1,1.0,0.0760918988397138,enk,f,330,Fiction
uiuo.ark+=13960=t7dr3cg9b,"Mangin, Edward",1807.0,v.1,1.0,0.5574680343538602,enk,m,246,Fiction
uiuo.ark+=13960=t3bz6ss4d,"Reeve, Sophia",1807.0,v.1,1.0,0.1186161790989377,enk,f,278,Fiction
uiuo.ark+=13960=t5z615f3n,"Ormsby, Anne",1807.0,v.1,1.0,0.0189864268922818,enk,f,426,Fiction
uiuo.ark+=13960=t4rj5439g,"Young, Mary Julia",1807.0,v.1,1.0,0.1004002306380232,enk,f,280,Fiction
uiuo.ark+=13960=t6c25jh56,,1807.0,v.1,1.0,0.0,enk,unknown,366,Fiction
hvd.hn2tj4,"Lathom, Francis",1807.0,v.2,2.0,0.0,enk,m,294,Fiction
uva.x000677048,"Rabelais, François",1807.0,V.1,1.0,0.8298594175299819,enk,unknown,358,Fiction
