docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match
mdp.39015013287134,,,,1890.0,1890.0,s,1890,    ,London;W. W. Gibbings;1890.,1890,,,England|Legends,,,6131942.0,enk,1880499,1,1.0,1.0,,,Folk-lore and legends: | English.,,True,Folk-lore and legends: English,0.6247336028475324,0.7722942417179212,,unknown,10.004761904761905,29.29045351473923,26.44811320754717,30.162402100391606,259.0471698113208,3937.827963688145,3.4,['unknown'],['unknown'],folk-lore and legends: | english.  folk-lore and legends: english,False,False,False,False,False,False,True
mdp.39015008594692,"Monteiro, Mariana","Monteiro, Mariana",,1890.0,1890.0,s,1890,    ,London;T.F. Unwin;1890.,1890,,,Folklore|Basques,,,7898010.0,enk,1880585,2,2.0,2.0,,,"Legends and popular tales of the Basque people, | $c: by Mariana Monteiro; with illustrations in photogravure by Harold Copping.",,True,Legends and popular tales of the Basque people,0.1949446984452168,0.4053758874417038,Mariana,f,11.780575539568344,29.056169452926863,25.860714285714284,21.36988520408164,255.9178571428572,3437.761109693877,3.0,['unknown'],['unknown'],"legends and popular tales of the basque people, | $c: by mariana monteiro; with illustrations in photogravure by harold copping.  legends and popular tales of the basque people",False,True,False,False,False,False,True
uc2.ark+=13960=t7pn9107p,,,,1890.0,1890.0,s,1890,    ,London;W. W. Gibbings;1890.,1890,,,Russia|Poland|Legends,,,6134635.0,enk,1880693,1,1.0,1.0,,,Folk-lore and legends,,True,Folk-lore and legends,0.3023081122761867,0.9743131418062976,,unknown,12.756613756613756,19.369334565101763,32.057291666666664,66.64775933159723,261.9427083333333,5525.91859266493,2.1,['unknown'],['unknown'],folk-lore and legends  folk-lore and legends,False,False,False,False,False,False,True
mdp.39015062219715,,,,1890.0,1890.0,s,1890,    ,London;W. W. Gibbings;1890.,1890,,,Scandinavia|Legends,,,6134649.0,enk,1880792,1,1.0,1.0,,,Folk-lore and legends: | Scandinavian.,,True,Folk-lore and legends: Scandinavian,0.1428098058652749,0.9649506801384542,,unknown,12.304347826086955,29.01365259399286,27.197183098591548,58.6653441777425,272.85915492957747,7422.515373933743,1.5,['unknown'],['unknown'],folk-lore and legends: | scandinavian.  folk-lore and legends: scandinavian,False,False,False,False,False,False,True
inu.39000005757880,"Hodgetts, Edith M. S","Hodgetts, Edith M. S",,1890.0,1890.0,s,1890,    ,"London [etc.;Griffith, Farran, Okeden & Welsh;1890.",1890,,,Folklore|Legends|Social life and customs|Tales|Russia,Russia,,5080049.0,enk,6936419,1,2.0,1.0,,,Tales and legends from the land of the tzar; | a collection of Russian stories tr. from the original Russian.,,True,Tales and legends from the land of the tzar; a collection of Russian stories tr. from the original Russian,0.2154755329338929,0.9647771248421444,Edith,f,13.876132930513595,21.53450589169504,29.47761194029851,39.49128981955892,295.23880597014926,5159.178792604143,2.5,['unknown'],['unknown'],tales and legends from the land of the tzar; | a collection of russian stories tr. from the original russian.  tales and legends from the land of the tzar; a collection of russian stories tr. from the original russian,True,True,False,False,False,False,True
mdp.39015029560045,"Sylva, Carmen","Sylva, Carmen",,1896.0,1896.0,s,1896,    ,London;G. Allen;1896.,1896,,,Mountains|Folklore|Romania|Rivers,,,2397525.0,enk,2639474,1,1.0,1.0,,,"Legends from river & mountain; | $c: by Carmen Sylva (H. M. the Queen of Roumania) and Alma Strettel, with illustrations; by T. H. Robinson.",,True,Legends from river & mountain;,0.2526565172707873,0.8620350267119008,Carmen,f,11.791946308724832,45.01711634611055,24.33018867924528,114.66141568767058,280.9685534591195,18696.043036272305,1.4,['unknown'],['unknown'],"legends from river & mountain; | $c: by carmen sylva (h. m. the queen of roumania) and alma strettel, with illustrations; by t. h. robinson.  legends from river & mountain;",False,False,False,False,False,False,True
inu.30000108972971,"Lady, Gurdon, Eveline Camilla","Gurdon, Eveline Camilla, Lady",1858-1894.,1897.0,1894.0,s,1897,    ,"London;New York [etc.;Longmans, Green, & co.;1897.",1897,,,,,,4999657.0,enk,245039,2,2.0,2.0,,,"Suffolk tales & other stories : | fairy legends, poems, miscellaneous articles / | $c: by the late Lady Camilla Gurdon.",,True,"Suffolk tales & other stories : fairy legends, poems, miscellaneous articles",0.2719044764316158,0.1810617253215215,Eveline,f,15.156164383561643,43.69890035653968,30.64,96.39573333333333,350.344,15765.548330666668,1.7,['unknown'],['unknown'],"suffolk tales & other stories : | fairy legends, poems, miscellaneous articles / | $c: by the late lady camilla gurdon.  suffolk tales & other stories : fairy legends, poems, miscellaneous articles",True,True,False,False,False,False,True
inu.30000126593593,"Oakley, G. R. (George Robert)","Oakley, G. R. (George Robert)",b. 1863.,1900.0,1900.0,q,1900,1984,Rochdale|Edwards & Bryning|19--?,"<estimate=""[19--?]"">",,,Rochdale Region (Lancashire)|England|Legends,,,10426851.0,enk,6955369,1,1.0,1.0,,,In olden days : | Lancashire legends : Rochdale and neighbourhood / | $c: by G.R. Oakley.,,True,In olden days : Lancashire legends : Rochdale and neighbourhood,0.114774546928213,0.0294870231082985,George,m,10.441176470588236,16.293598615916952,28.14857142857143,57.64649795918368,249.02857142857144,4941.136326530612,1.9,['unknown'],['unknown'],in olden days : | lancashire legends : rochdale and neighbourhood / | $c: by g.r. oakley.  in olden days : lancashire legends : rochdale and neighbourhood,False,False,False,False,False,False,True
uc2.ark+=13960=t8hd7rc3x,"Tolstoy, Leo","Tolstoy, Leo, graf",,1901.0,1901.0,s,1901,    ,London;Free Age Press;1901.,1901,,,,,,10945196.0,enk,5879269,1,1.0,1.0,,,Popular stories and legends,,True,Popular stories and legends,0.3081759342552374,0.5112110914026622,Leo,m,25.36774193548387,53.12283038501562,46.936708860759495,110.16055119371894,408.5379746835443,11706.248557923407,2.4,['fiction'],['unknown'],popular stories and legends  popular stories and legends,True,False,False,False,False,False,True
uc2.ark+=13960=t1td9nv23,"Tibbits, Charles John","Tibbits, Charles John",,1902.0,1902.0,s,1902,    ,"London;Gibbings and company, limited;1902.",1902,,,,,,6131937.0,enk,7674876,1,1.0,1.0,,,"English fairy tales, folklore and legends",,True,"English fairy tales, folklore and legends",0.6147297504057171,0.7786227040951657,Charles,m,8.924528301886792,15.862228551085794,30.0,90.58447488584476,243.2922374429224,7504.179437459603,2.4,['unknown'],['unknown'],"english fairy tales, folklore and legends  english fairy tales, folklore and legends",False,True,False,False,False,False,True
nyp.33433086946641,,,,1902.0,1902.0,s,1902,    ,London;Gibbings;1902.,1902,,,"Legends, Scottish|Folklore, Scottish|Fairy tales, Scottish",,,9809649.0,enk,8682004,1,1.0,1.0,,,"Scottish fairy tales, folklore, and legends / | $c: illustrated by Geoffrey Strahan.",,True,"Scottish fairy tales, folklore, and legends",0.7688867312195187,0.5456012911459069,,unknown,7.584158415841584,9.549848054112342,23.26991150442478,92.85192654084108,229.0265486725664,10967.503719946744,0.7,['fiction'],['unknown'],"scottish fairy tales, folklore, and legends / | $c: illustrated by geoffrey strahan.  scottish fairy tales, folklore, and legends",False,True,False,False,False,False,True
inu.30000121029825,,,,1905.0,1905.0,s,1905,    ,London;Hutchinson;1905?,1905,,,"Folklore, Oriental|Orient|Fairy tales",,,6411410.0,enk,6953415,1,1.0,1.0,,,Oriental fairy tales : | folklore and legends / | $c: with eight illustrations by R. C. Armour.,,True,Oriental fairy tales : folklore and legends,0.6632026430980453,0.090535720406999,,unknown,10.5,15.098837209302326,25.837078651685392,60.33862517358919,259.3426966292135,8010.764581492234,1.7,['fiction'],['unknown'],oriental fairy tales : | folklore and legends / | $c: with eight illustrations by r. c. armour.  oriental fairy tales : folklore and legends,False,True,False,False,False,False,True
mdp.39015021920510,,,,1906.0,1906.0,s,1906,    ,London;New York;Norr??na Society;1906.,1906,,,"Stories, plots, etc|Wagner, Richard|Sagas|1813-1883|Translations into English",,,32889628.0,enk,3083247,1,1.0,1.0,,,The Volsunga saga / | $c: translated from the Icelandic by Eirikr Magnusson and William M. Morris ; with introduction by H. Halliday Sparling. Supplemented with Legends of the Wagner trilogy / by Jessie L. Weston. And Old Norse sagas kindred to the Volsung and Niblung tale.,,True,The Volsunga saga,0.3201059203919783,0.6919720056713993,,unknown,9.132022471910112,13.496615010730968,29.39130434782609,45.74362003780718,306.7201086956522,7310.266769553402,1.2,['unknown'],['unknown'],the volsunga saga / | $c: translated from the icelandic by eirikr magnusson and william m. morris ; with introduction by h. halliday sparling. supplemented with legends of the wagner trilogy / by jessie l. weston. and old norse sagas kindred to the volsung and niblung tale.  the volsunga saga,False,False,False,False,False,False,True
uc2.ark+=13960=t6m048z3v,"Middleton, Thomas","Middleton, Thomas",,1906.0,1906.0,s,1906,    ,Hyde;Clarendon Press;1906.,1906,,,Folklore|England|Cheshire,,,15056559.0,enk,7701485,1,1.0,1.0,,,Legends of Longdendale;,,True,Legends of Longdendale;,0.3538782494871343,0.0532680881302906,Thomas,m,20.630769230769232,106.37136094674555,81.51492537313433,1044.533359322789,473.1716417910448,41475.64964357318,2.5,['fiction'],['unknown'],legends of longdendale;  legends of longdendale;,False,False,False,False,False,False,True
mdp.39015000567027,,,,1907.0,1907.0,s,1907,    ,London;New York [etc.;Norroena society;1907.,1907,,,,,,3077256.0,enk,1787341,1,1.0,1.0,,,"The Volsunga saga, | $c: tr. from the Icelandic by Eirikr Magnusson and William Morris, with introduction by H. Halliday Sparling, supplemented with Legends of the Wagner trilogy by Jessie L. Weston, and old Norse sagas kindred to the Volsung and Niblung tale. Hon. Rasmus B. Anderson, LL. D., editor in chief. J.W. Buel, Ph.D., managing editor.",,True,The Volsunga saga,0.2913148551754042,0.7107592834027981,,unknown,9.448863636363637,30.417839617768585,29.50985915492958,24.942860543542945,316.02535211267605,4921.044427692917,1.8,['unknown'],['unknown'],"the volsunga saga, | $c: tr. from the icelandic by eirikr magnusson and william morris, with introduction by h. halliday sparling, supplemented with legends of the wagner trilogy by jessie l. weston, and old norse sagas kindred to the volsung and niblung tale. hon. rasmus b. anderson, ll. d., editor in chief. j.w. buel, ph.d., managing editor.  the volsunga saga",False,False,False,False,False,False,True
mdp.39015008691738,"Guerber, H. A. (Hélène Adeline)","Guerber, H. A. (Hélène Adeline)",d. 1929.,1909.0,1909.0,s,1909,    ,London;G.G. Harrap & company;1909,1909,,,"Mythology|Mythology in literature|Literature, Medieval|History and criticism|Legends",,,561030.0,enk,1901251,2,5.0,5.0,,,"Myths & legends of the Middle Ages, | their origin and influence on literature and art, | $c: by H. A. Guerber.",,True,"Myths & legends of the Middle Ages, their origin and influence on literature and art",0.3476691916182086,0.8795802127522246,Hlne,unknown,13.808314087759817,41.78080847409715,36.60770975056689,323.78488387040375,330.9342403628118,14570.247376350388,5.0,['unknown'],['unknown'],"myths & legends of the middle ages, | their origin and influence on literature and art, | $c: by h. a. guerber.  myths & legends of the middle ages, their origin and influence on literature and art",False,False,False,False,False,False,True
uc2.ark+=13960=t0sq8s828,"Mantegazza, Paolo","Mantegazza, Paolo",1831-1910.,1909.0,1909.0,s,1909,    ,Edinburgh;Foulis;1909.,1909,,,,,,14267183.0,stk,7666564,1,1.0,1.0,,,"The legends of flowers: or, ""'Tis love that makes the world go round.""",,True,"The legends of flowers: or, ""'Tis love that makes the world go round.""",0.2039420455913072,0.2299222214517534,Paolo,m,6.089041095890411,5.998920998311128,25.540880503144653,62.02191369012303,130.35849056603774,2426.468968790792,1.8,['unknown'],['unknown'],"the legends of flowers: or, ""'tis love that makes the world go round.""  the legends of flowers: or, ""'tis love that makes the world go round.""",False,False,False,False,False,False,True
mdp.39015088632610,"Shedlock, Marie L","Shedlock, Marie L",1854-1935.,1910.0,1910.0,s,1910,    ,London;George Routledge & sons;1910.,1910,,,Juvenile works|Storytelling|Buddhism,,,228704262.0,enk,9675491,1,2.0,2.0,,,A collection of eastern stories and legends for narration or later reading in schools / | $c: selected and adapted by Marie L. Shedlock ; with a foreword by Prof. T.W. Rhys Davids and a frontispiece by Wolfram Onslow Ford.,,True,A collection of eastern stories and legends for narration or later reading in schools,0.5181286284215221,0.9843422980659826,Marie,f,7.2105263157894735,17.569713758079413,17.92436974789916,76.45646493891674,156.41176470588235,6989.435491843796,1.6,['unknown'],['unknown'],a collection of eastern stories and legends for narration or later reading in schools / | $c: selected and adapted by marie l. shedlock ; with a foreword by prof. t.w. rhys davids and a frontispiece by wolfram onslow ford.  a collection of eastern stories and legends for narration or later reading in schools,True,False,False,False,False,False,True
uc2.ark+=13960=t6d21zr72,"Roby, John","Roby, John",1793-1850.,1911.0,1850.0,s,1911,    ,"London;Constable & Co., Ltd.;1911.",1911,,,,,,15056498.0,enk,5776682,2,2.0,2.0,,,Lancashire legends,,False,Lancashire legends,0.1908206878412628,0.0992722404648272,John,m,15.30625,33.1999609375,38.11976047904192,105.1473340743662,293.34131736526945,8153.063143174727,2.6,['unknown'],['unknown'],lancashire legends  lancashire legends,False,False,False,False,False,False,True
