docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match
uiuo.ark+=13960=t7br98r5d,,,,1810.0,1810.0,s,1810,    ,"London;Printed for the authoress and sold by Sherwood, Neely, and Jones;1810.",1810,,,,,,30364815.0,enk,8717971,1,1.0,1.0,v.1,1.0,"The adulteress ; or, anecdotes of two noble families",,True,"The adulteress ; or, anecdotes of two noble families",0.0,0.0,,unknown,6.929765886287625,9.128846433485084,27.49,18.203233333333337,200.57333333333327,1513.4646222222225,1.5,['unknown'],['unknown'],"the adulteress ; or, anecdotes of two noble families  the adulteress ; or, anecdotes of two noble families",False,False,False,False,False,True
uc1.b3548239,"Disraeli, Isaac","Disraeli, Isaac",1766-1848.,1811.0,1811.0,s,1811,    ,"London;Printed for John Murray and W. Blackwood, Edinburgh;1811.",1811,,,England|Jesuits,,,16921143.0,enk,6672586,2,1.5,1.5,v.2,2.0,"Despotism: or, The fall of the Jesuits. | A political romance, illustrated by historical anecdotes. | $n: 1",,True,"Despotism: or, The fall of the Jesuits. A political romance, illustrated by historical anecdotes. $n: 1",0.5878657899749313,0.1435105425963891,Isaac,m,6.191235059760956,5.461437120045715,19.182879377431902,20.810913109963817,144.44357976653697,1586.8538206483067,2.7,['fiction'],['unknown'],"despotism: or, the fall of the jesuits. | a political romance, illustrated by historical anecdotes. | $n: 1  despotism: or, the fall of the jesuits. a political romance, illustrated by historical anecdotes. $n: 1",False,False,False,False,False,True
njp.32101068162807,"Agg, John","Agg, John",1783-1855.,1813.0,1813.0,s,1813,    ,London;Jones;1813.,1813,,,,,,20609289.0,enk,8968179,1,1.0,1.0,v.1,1.0,"The secret memoirs of an illustrious princess; | or, The royal sufferer. Interspersed with singular anecdotes of those personages connected with the court of Alb...",,True,"The secret memoirs of an illustrious princess; or, The royal sufferer. Interspersed with singular anecdotes of those personages connected with the court of Alb",0.143816987151246,0.0082779959247685,John,m,6.013274336283186,6.924602553058188,22.2114537444934,24.36057365755206,161.05726872246697,1197.507733509286,2.3,['unknown'],['unknown'],"the secret memoirs of an illustrious princess; | or, the royal sufferer. interspersed with singular anecdotes of those personages connected with the court of alb...  the secret memoirs of an illustrious princess; or, the royal sufferer. interspersed with singular anecdotes of those personages connected with the court of alb",False,False,False,False,False,True
nyp.33433075892822,"Corry, John","Corry, John",approximately 1770-,1815.0,1815.0,s,1815,    ,London;Sold by J. Ferguson;1815.,1815,"The 6th ed., enlarged.",,Social life and customs,London (England),,11857298.0,enk,8687459,1,1.0,1.0,,,A satirical view of London: | comprising free strictures on the manners and amusements of the inhabitants of the English metropolis; observations on literature and the fine arts; and amusing anecdotes of public characters ...,,True,A satirical view of London: comprising free strictures on the manners and amusements of the inhabitants of the English metropolis; observations on literature and the fine arts; and amusing anecdotes of public characters,0.6199600077988396,0.7573877151137369,John,m,9.261290322580646,7.496243496357961,30.00638977635783,19.28430421868142,259.0287539936102,2228.168502281333,1.6,['fiction'],['unknown'],a satirical view of london: | comprising free strictures on the manners and amusements of the inhabitants of the english metropolis; observations on literature and the fine arts; and amusing anecdotes of public characters ...  a satirical view of london: comprising free strictures on the manners and amusements of the inhabitants of the english metropolis; observations on literature and the fine arts; and amusing anecdotes of public characters,False,False,False,False,False,True
njp.32101067408169,"Mrs. Delany, (Mary)","Delany, (Mary), Mrs",1700-1788.,1820.0,1788.0,s,1820,    ,"London;Printed for Longman, Hurst, Rees, Orme and Brown;1820.",1820,2d ed.,,Court and courtiers,Great Britain,,6295785.0,enk,8957601,1,1.0,1.0,,,"Letters from Mrs. Delany, widow of Doctor Patrick Delany, to Mrs. Frances Hamilton, from the year 1779 to the year 1788 : | comprising many unpublished and interesting anecdotes of their late Majesties and the royal family.",,False,"Letters from Mrs. Delany, widow of Doctor Patrick Delany, to Mrs. Frances Hamilton, from the year 1779 to the year 1788 : comprising many unpublished and interesting anecdotes of their late Majesties and the royal family",0.987461522606705,0.8121948558940585,Mary,f,7.046511627906977,5.346673877771768,21.63846153846153,33.030828402366865,189.15384615384616,3608.530177514793,1.8,['unknown'],['unknown'],"letters from mrs. delany, widow of doctor patrick delany, to mrs. frances hamilton, from the year 1779 to the year 1788 : | comprising many unpublished and interesting anecdotes of their late majesties and the royal family.  letters from mrs. delany, widow of doctor patrick delany, to mrs. frances hamilton, from the year 1779 to the year 1788 : comprising many unpublished and interesting anecdotes of their late majesties and the royal family",False,False,False,False,False,True
uiuo.ark+=13960=t6057tw2c,,,,1824.0,1824.0,s,1824,    ,"London;Sherwood, Jones;1824.",1824,,,,,,13229939.0,enk,8718574,1,1.0,1.0,v.1,1.0,"Caprice; or, Anecdotes of the Listowel family",,True,"Caprice; or, Anecdotes of the Listowel family",0.0072398231497439,0.0119903137839165,,unknown,8.437931034482759,12.466837098692034,26.688356164383563,21.666576749859267,176.4554794520548,1443.5356891536874,2.5,['fiction'],['unknown'],"caprice; or, anecdotes of the listowel family  caprice; or, anecdotes of the listowel family",False,False,False,False,False,True
nyp.33433082380837,"Piozzi, Hester Lynch","Piozzi, Hester Lynch",1741-1821.,1826.0,1821.0,s,1826,    ,London;T. and J. Allman;1826.,1826,A new ed.,,,,PR3533.P4,9253617.0,enk,8639351,1,1.0,1.0,,,"Anecdotes of Samuel Johnson, LL.D. during the last twenty years of his life. | $c: By Hester Lynch Piozzi.",,True,"Anecdotes of Samuel Johnson, LL.D. during the last twenty years of his life",0.6279792147306446,0.2055998063557188,Hester,f,6.1387755102040815,4.78890462307372,25.225806451612904,17.666753381893862,231.8629032258065,1828.634430280957,1.4,['unknown'],['english literature'],"anecdotes of samuel johnson, ll.d. during the last twenty years of his life. | $c: by hester lynch piozzi.  anecdotes of samuel johnson, ll.d. during the last twenty years of his life",False,False,False,False,False,True
uc1.b3324270,Mr. Deale,Mr. Deale,,1828.0,1828.0,s,1828,    ,"London;C. Chapple, Royal Library;1828.",1828,,,,,,20312659.0,enk,6130870,1,1.0,1.0,v. 1,1.0,"Life in the West; | or, The curtain drawn, a novel. | $c: Dedicated, by permission, to the Right Hon. Robert Peel. Containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. Founded on facts, by a Flat Enlightened.",,True,"Life in the West; or, The curtain drawn, a novel",0.7106808881614979,0.1455974642801723,Mr,unknown,9.173501577287066,39.0519161301237,22.478125,14.012021484375,198.671875,2647.457958984375,2.0,['fiction'],['unknown'],"life in the west; | or, the curtain drawn, a novel. | $c: dedicated, by permission, to the right hon. robert peel. containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. founded on facts, by a flat enlightened.  life in the west; or, the curtain drawn, a novel",False,False,True,False,False,True
hvd.hn5cdm,,,,1831.0,1831.0,s,1831,    ,London;J. Harris;1831.,1831,,,,,,84420122.0,enk,9723980,1,1.0,1.0,,,"Councels at home, interspersed with entertaining tales and interesting anecdotes. | $c: By a father.",,True,"Councels at home, interspersed with entertaining tales and interesting anecdotes",0.5111782371673635,0.1102425734476313,,unknown,9.052884615384617,9.97316475591716,25.225352112676056,20.906962904185683,226.9483568075117,2733.889351760012,1.7,['unknown'],['unknown'],"councels at home, interspersed with entertaining tales and interesting anecdotes. | $c: by a father.  councels at home, interspersed with entertaining tales and interesting anecdotes",False,True,False,False,False,True
nnc1.cu56764111,"Beckford, William","Beckford, William",1760-1844.,1834.0,1834.0,s,1834,    ,London;J. Robson;1834.,1834,New ed.,Humor,Painters|Anecdotes|Art,,,49246497.0,enk,8433451,1,3.0,3.0,,,Biographical memoirs of extraordinary painters: | exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes ...,,True,Biographical memoirs of extraordinary painters: exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes,0.7381139562979956,0.8166331714050591,William,m,5.490322580645161,3.591841831425598,19.57861635220126,17.19979431193386,142.39622641509433,1174.2266524267236,1.5,['fiction'],['unknown'],biographical memoirs of extraordinary painters: | exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes ...  biographical memoirs of extraordinary painters: exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes,False,False,True,False,False,True
nyp.33433081599056,"Knight, Thomas","Knight, Thomas",,1834.0,1834.0,s,1834,    ,London;E. Wilson;1834.,1834,,,"History, Military|19th century",Great Britain,,26044202.0,enk,8644490,1,1.0,1.0,,,"The British Battalion at Oporto; | with adventures, anecdotes, and exploits in Holland, at Waterloo, and in the expedition to Portugal, | $c: by Corporal Knight.",,True,"The British Battalion at Oporto; with adventures, anecdotes, and exploits in Holland, at Waterloo, and in the expedition to Portugal",0.9372719898736211,0.5140937050390754,Thomas,m,7.222222222222222,8.839506172839508,21.84285714285714,29.88959183673469,209.7428571428572,3868.0195918367344,1.6,['unknown'],['unknown'],"the british battalion at oporto; | with adventures, anecdotes, and exploits in holland, at waterloo, and in the expedition to portugal, | $c: by corporal knight.  the british battalion at oporto; with adventures, anecdotes, and exploits in holland, at waterloo, and in the expedition to portugal",False,False,False,False,False,True
hvd.hwcl76,"Angelo, Henry","Angelo, Henry",1756-1835.,1834.0,1834.0,s,1834,    ,London;J. Ebers;1834.,1834,,,Table-talk,,PN6251.A5,1243906.0,enk,9717467,2,2.0,2.0,,,"Angelo's pic nic, or, Table talk : | including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes / | $c: written by himself ; in addition to which are several original literary contributions from the following distinguished authors: Colman ... [et al.]",,True,"Angelo's pic nic, or, Table talk : including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes",0.600536256947922,0.1444806612643091,Henry,m,8.521091811414392,15.113078708692251,23.926470588235293,9.587730680507496,229.8063725490196,1634.9208417435602,8.0,['unknown'],['literature (general)'],"angelo's pic nic, or, table talk : | including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes / | $c: written by himself ; in addition to which are several original literary contributions from the following distinguished authors: colman ... [et al.]  angelo's pic nic, or, table talk : including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes",False,False,True,False,False,True
nyp.33433074890108,,,,1835.0,1835.0,s,1835,    ,London;Printed for Charles Harper & John Williams;1835.,1835,Third edition.,Romans á clef,"1775-1834|Lamb, Charles|1774-1843|Scott, Walter|1788-1824|1771-1832|Byron, George Gordon Byron|Baron|Southey, Robert",,,30046593.0,enk,8618417,1,1.0,1.0,v. 1-3,1.0,"Memoirs and adventures of a man of fashion : | written by himself, including anecdotes of many celebrated persons with whom he had intercourse and connexion ... in three volumes.",,True,"Memoirs and adventures of a man of fashion : written by himself, including anecdotes of many celebrated persons with whom he had intercourse and connexion ... in three volumes",0.1993454546986875,0.0009966933750857,,unknown,5.1197080291970805,8.890779476796846,17.8546511627907,5.627129529475392,137.0639534883721,521.2982355327204,1.9,['urn:uuid:7b464407-49c5-4c6e-a5be-63952adfc609'],['unknown'],"memoirs and adventures of a man of fashion : | written by himself, including anecdotes of many celebrated persons with whom he had intercourse and connexion ... in three volumes.  memoirs and adventures of a man of fashion : written by himself, including anecdotes of many celebrated persons with whom he had intercourse and connexion ... in three volumes",False,False,False,False,False,True
hvd.32044010406171,"Hill, Benson E. (Benson Earle)","Hill, Benson E. (Benson Earle)",1795-1845.,1840.0,1840.0,s,1840,    ,"London;author, sold by W. Sams;1840.",1840,,,Theater|Actors|Humor|Biography,,PN2594.H5,2885442.0,enk,1692585,1,1.0,1.0,vol.1,1.0,"Playing about; | or Theatrical anecdotes and adventures, with scenes of general nature, from the life; in England, Scotland, and Ireland, | $c: by Benson Earle Hill.",,True,"Playing about; or Theatrical anecdotes and adventures, with scenes of general nature, from the life; in England, Scotland, and Ireland",0.0973775312525574,0.2290230849552086,Benson,unknown,12.64353312302839,16.20416164953378,27.33644859813084,21.917954988790868,258.5700934579439,2967.995865723353,2.1,['unknown'],['literature (general)'],"playing about; | or theatrical anecdotes and adventures, with scenes of general nature, from the life; in england, scotland, and ireland, | $c: by benson earle hill.  playing about; or theatrical anecdotes and adventures, with scenes of general nature, from the life; in england, scotland, and ireland",False,False,False,False,False,True
wu.89101410165,,,,1840.0,1840.0,s,1840,    ,"London;Scott, Webster, and Geary;1840.",1840,,,Anecdotes|English wit and humor,,,42651530.0,enk,9392190,1,1.0,1.0,,,"Joe Miller's complete jest book: | being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the English language.",,True,"Joe Miller's complete jest book: being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the English language",0.758999519105657,0.5962172748836312,,unknown,14.58627450980392,15.50922337562476,37.69126213592233,22.737690640022635,404.4970873786408,4218.960671128288,1.4,['unknown'],['unknown'],"joe miller's complete jest book: | being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the english language.  joe miller's complete jest book: being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the english language",False,False,False,False,False,True
nyp.33433067343743,"Jesse, Edward","Jesse, Edward",1780-1868.,1858.0,1858.0,s,1858,    ,London;H. G. Bohn;1858.,1858,,,Legends and stories|Dogs,,,4392029.0,enk,8591494,1,1.0,1.0,,,Anecdotes of dogs / | $c: by Edward Jesse.,,True,Anecdotes of dogs,0.9263560501357898,0.9972086381196936,Edward,m,9.81113320079523,65.92257982917604,28.102564102564106,68.85338593030899,287.8323471400395,5111.098125260164,1.9,['unknown'],['unknown'],anecdotes of dogs / | $c: by edward jesse.  anecdotes of dogs,False,False,False,False,False,True
nyp.33433082531348,"Davenport, Emma","Davenport, Emma",,1862.0,1862.0,s,1862,    ,London;Griffith and Farran;1862.,1862,,,Anecdotes|Animals,,,37032483.0,enk,8661645,1,1.0,1.0,,,"Live toys; or, Anecdotes of our four-legged and other pets, | $c: by Emma Davenport ... With illustrations by Harrison Weir.",,True,"Live toys; or, Anecdotes of our four-legged and other pets",0.4365835688897096,0.9925826619273452,Emma,f,20.5072463768116,474.5687880697332,27.53020134228188,85.5645241205351,306.9463087248322,13743.554164226836,2.6,['unknown'],['unknown'],"live toys; or, anecdotes of our four-legged and other pets, | $c: by emma davenport ... with illustrations by harrison weir.  live toys; or, anecdotes of our four-legged and other pets",False,False,False,False,False,True
nyp.33433081848958,"Berkeley, Grantley F. (Grantley Fitzhardinge)","Berkeley, Grantley F. (Grantley Fitzhardinge)",1800-1881.,1867.0,1867.0,s,1867,    ,London;R. Bentley;1867.,1867,2nd ed.,,Great Britain|Nobility|Legends|Barclay family,,DA110.B52,2370544.0,enk,8589994,1,1.0,1.0,v. 1,1.0,Anecdotes of the upper ten thousand: | their legends and their lives. | $c: By the Hon. Grantley F. Berkeley.,,True,Anecdotes of the upper ten thousand: their legends and their lives,0.2746975300499291,0.2180771981232644,Grantley,unknown,8.257756563245824,12.17699830828031,27.045023696682463,23.34631409896453,255.21563981042647,2814.1596606096,2.6,['unknown'],['great britain'],anecdotes of the upper ten thousand: | their legends and their lives. | $c: by the hon. grantley f. berkeley.  anecdotes of the upper ten thousand: their legends and their lives,False,False,False,False,False,True
nnc1.cu56443846,"Moore, George Washington","Moore, George Washington",b. 1828.,1870.0,1870.0,s,1870,    ,London;C.H. Clarke;1870,1870,,,Minstrel shows,,,23223381.0,enk,8431598,1,1.0,1.0,,,"Bones: his anecdotes and goaks | $c: [by] G.W. Moore, the original Christy minstrel.",,True,Bones: his anecdotes and goaks,1.0,0.0,George,m,18.32,114.27093333333332,29.85625,125.6480859375,321.6125,12585.61234375,1.6,['unknown'],['unknown'],"bones: his anecdotes and goaks | $c: [by] g.w. moore, the original christy minstrel.  bones: his anecdotes and goaks",False,False,False,False,False,True
nyp.33433006524411,"Kirton, John William","Kirton, John William",1831-1892.,1871.0,1871.0,s,1871,    ,London;Smart & Allen;1871.,1871,,,Temperance|Anecdotes,,,38739799.0,enk,8597196,1,2.0,2.0,,,"One thousand temperance anecdotes, | facts, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, recitations ...",,True,"One thousand temperance anecdotes, facts, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, recitations",0.747241350197433,0.1944502845987469,John,m,24.57996146435453,55.78117841855354,46.10384615384616,103.28152366863904,521.675,6503.384759615384,4.0,['unknown'],['unknown'],"one thousand temperance anecdotes, | facts, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, recitations ...  one thousand temperance anecdotes, facts, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, recitations",False,False,False,False,False,True
nnc1.cr60115440,"Itlīdī, Muḥammad Diyāb","Itlīdī, Muḥammad Diyāb",17th cent.,1873.0,1873.0,s,1873,    ,London;Henry S. King;1873.,1873,,,Folklore|Arabs,,,2286700.0,enk,8416137,1,1.0,1.0,,,I'lâmên-nâs : | historical tales and anecdotes of the time of the early Khalifahs. Translated from the Arabic and annotated by Mrs. Godfrey Clerk.,,True,I'lâmên-nâs : historical tales and anecdotes of the time of the early Khalifahs. Translated from the Arabic and annotated by Mrs. Godfrey Clerk,0.7789972417805978,0.0679232505816087,Muammad,unknown,12.664495114006517,23.67571008710968,23.922829581993568,85.22234054652041,251.22829581993568,5481.378749185803,2.2,['unknown'],['unknown'],i'lâmên-nâs : | historical tales and anecdotes of the time of the early khalifahs. translated from the arabic and annotated by mrs. godfrey clerk.  i'lâmên-nâs : historical tales and anecdotes of the time of the early khalifahs. translated from the arabic and annotated by mrs. godfrey clerk,False,True,False,False,False,True
coo.31924013538545,"Raymond, R. J. (Richard John)","Raymond, R. J. (Richard John)",,1876.0,1826.0,r,1876,1826,London;Raymond;1876.,1876,,,,,,41527214.0,enk,11250476,1,1.0,1.0,,,"Richelieu, or The broken heart; | an historical tale. | $c: To which is added ""Sketches from the footlights"", being brief memoirs and amusing anecdotes of celebrated actors and actresses. Edited by R.G.[!] Raymond.",,False,"Richelieu, or The broken heart; an historical tale",0.2799689991719904,0.0345722359893363,Richard,m,14.60126582278481,73.29037814452813,28.98773006134969,62.92009484737852,310.65644171779144,8654.078286725131,2.4,['unknown'],['unknown'],"richelieu, or the broken heart; | an historical tale. | $c: to which is added ""sketches from the footlights"", being brief memoirs and amusing anecdotes of celebrated actors and actresses. edited by r.g.[!] raymond.  richelieu, or the broken heart; an historical tale",False,False,True,False,False,True
nyp.33433006250892,"Kirton, John William","Kirton, John William",1831-1892.,1877.0,1877.0,s,1877,    ,London;Smart & Allen;1877.,1877,,,,,,38739834.0,enk,8597200,1,1.0,1.0,,,"A second thousand of temperance anecdotes, | jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, and recitations ...",,True,"A second thousand of temperance anecdotes, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, and recitations",0.4757177931494981,0.0915218700579152,John,m,27.435153583617748,52.13657992521754,48.22071307300509,79.21783921988002,569.9677419354839,6390.8393668875615,4.3,['unknown'],['unknown'],"a second thousand of temperance anecdotes, | jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, and recitations ...  a second thousand of temperance anecdotes, jokes, riddles, puns, and smart sayings, suitable for speakers, penny readings, and recitations",False,False,False,False,False,True
