docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match
hvd.hn2gt5,,,,1818.0,1818.0,s,1818,    ,London;printed for J. Harris;1818.,1818,7th ed.,,,,,82058707.0,enk,9711379,1,1.0,1.0,,,"A cup of sweets that can never cloy, or Delightful tales for good children. | $c: By the author of Short Stories, Summer Rambles, &c., &c.",,True,"A cup of sweets that can never cloy, or Delightful tales for good children",0.284775984968361,0.999931193957708,,unknown,3.478021978021978,1.952813669846637,19.172043010752688,20.60480980460169,147.04301075268816,1677.116429645046,1.2,['unknown'],['unknown'],"a cup of sweets that can never cloy, or delightful tales for good children. | $c: by the author of short stories, summer rambles, &c., &c.  a cup of sweets that can never cloy, or delightful tales for good children",True,True
njp.32101067172963,"Scott, Walter","Scott, Walter, Sir",1771-1832.,1819.0,1819.0,s,1819,    ,Edinburgh;Printed for Archibald Constable and co.;1819.,1819,"v. 1. Waverley.--v. 2. Waverley, Guy Mannering.--v. 3. Guy Mannering.--v. 4. Antiquary.--v. 5. Antiquary, Rob Roy.--v. 6. Rob Roy.--v. 7. Tales of my landlord.--v. 8. Tales of my landlord.--v. 9. Tales of my landlord. 2d series.--v. 10. Tales of my landlord.--v. 11. Tales of my landlord. 3d series.--v. 12. Tales of my landlord.",,English fiction,,,3086729.0,stk,8956120,1,9.0,1.0,v.1,1.0,Novels and tales of the author of Waverley.,Waverley,True,Waverley,0.0,0.0,Walter,m,7.224952741020794,5.592118381509501,26.53358208955224,35.78618567609713,245.1716417910448,3711.123524170194,1.5,['fiction'],['unknown'],novels and tales of the author of waverley. waverley waverley,False,True
njp.32101067172971,"Scott, Walter","Scott, Walter, Sir",1771-1832.,1819.0,1819.0,s,1819,    ,Edinburgh;Printed for Archibald Constable and co.;1819.,1819,"v. 1. Waverley.--v. 2. Waverley, Guy Mannering.--v. 3. Guy Mannering.--v. 4. Antiquary.--v. 5. Antiquary, Rob Roy.--v. 6. Rob Roy.--v. 7. Tales of my landlord.--v. 8. Tales of my landlord.--v. 9. Tales of my landlord. 2d series.--v. 10. Tales of my landlord.--v. 11. Tales of my landlord. 3d series.--v. 12. Tales of my landlord.",,,,,3086729.0,stk,8956120,1,3.0,2.0,v.2,2.0,Novels and tales of the author of Waverley.,"Waverley, Guy Mannering",True,"Waverley, Guy Mannering",0.066829826352863,0.0087376494591771,Walter,m,8.56547619047619,7.944125566893423,26.564705882352943,33.22620530565167,253.53529411764703,3924.891891580162,1.1,['fiction'],['unknown'],"novels and tales of the author of waverley. waverley, guy mannering waverley, guy mannering",False,True
njp.32101067173003,"Scott, Walter","Scott, Walter, Sir",1771-1832.,1819.0,1819.0,s,1819,    ,Edinburgh;Printed for Archibald Constable and co.;1819.,1819,"v. 1. Waverley.--v. 2. Waverley, Guy Mannering.--v. 3. Guy Mannering.--v. 4. Antiquary.--v. 5. Antiquary, Rob Roy.--v. 6. Rob Roy.--v. 7. Tales of my landlord.--v. 8. Tales of my landlord.--v. 9. Tales of my landlord. 2d series.--v. 10. Tales of my landlord.--v. 11. Tales of my landlord. 3d series.--v. 12. Tales of my landlord.",,,,,3086729.0,stk,8956120,1,1.0,1.0,v.5,5.0,Novels and tales of the author of Waverley.,"Antiquary, Rob Roy",True,"Antiquary, Rob Roy",0.0,0.0,Walter,m,8.101941747572816,6.343976812140636,27.0896,28.42077184,262.7024,3346.57703424,1.1,['fiction'],['unknown'],"novels and tales of the author of waverley. antiquary, rob roy antiquary, rob roy",False,True
njp.32101067173045,"Scott, Walter","Scott, Walter, Sir",1771-1832.,1819.0,1819.0,s,1819,    ,Edinburgh;Printed for Archibald Constable and co.;1819.,1819,"v. 1. Waverley.--v. 2. Waverley, Guy Mannering.--v. 3. Guy Mannering.--v. 4. Antiquary.--v. 5. Antiquary, Rob Roy.--v. 6. Rob Roy.--v. 7. Tales of my landlord.--v. 8. Tales of my landlord.--v. 9. Tales of my landlord. 2d series.--v. 10. Tales of my landlord.--v. 11. Tales of my landlord. 3d series.--v. 12. Tales of my landlord.",,,,,3086729.0,stk,8956120,1,1.0,1.0,v.9,9.0,Novels and tales of the author of Waverley.,d series,True,d series,0.0479386506388525,0.0177974820836074,Walter,m,7.938650306748467,6.687442759105222,27.59716599190284,20.94906079430904,266.3218623481781,2822.716242685505,1.7,['fiction'],['unknown'],novels and tales of the author of waverley. d series d series,False,True
mdp.39015063759248,"Burney, Sarah Harriet","Burney, Sarah Harriet",1772-1844.,1820.0,1820.0,s,1820,    ,London;Printed for H. Colburn & co.;1820.,1820,"2d ed.|I. The shipwreck.--II-III. Country neighbours; or, The secret.",,,,,2567940.0,enk,284012,1,1.0,1.0,v.2,2.0,"Tales of fancy, | $c: by S. H. Burney.",The shipwreck.--II,True,The shipwreck.--II,0.0429583684141058,0.1043173830473013,Sarah,f,6.505720823798627,4.451340269886736,25.40674157303371,15.095235450069437,216.51011235955056,1543.6341674031055,1.1,['fiction'],['unknown'],"tales of fancy, | $c: by s. h. burney. the shipwreck.--ii the shipwreck.--ii",False,True
mdp.39015063759552,"Burney, Sarah Harriet","Burney, Sarah Harriet",1772-1844.,1820.0,1820.0,s,1820,    ,London;Printed for H. Colburn & co.;1820.,1820,"2d ed.|I. The shipwreck.--II-III. Country neighbours; or, The secret.",,,,,2567940.0,enk,284012,1,1.0,1.0,v.3,3.0,"Tales of fancy, | $c: by S. H. Burney.","Country neighbours; or, The secret",True,"Country neighbours; or, The secret",0.0728296641297327,0.0243521844231379,Sarah,f,6.570824524312896,5.335892977664943,25.34439834024896,14.449854513524212,214.61410788381744,1304.826191009108,1.0,['fiction'],['unknown'],"tales of fancy, | $c: by s. h. burney. country neighbours; or, the secret country neighbours; or, the secret",False,True
mdp.39015064544847,"Mrs. Hofland, (Barbara)","Hofland, (Barbara), Mrs",1770-1844.,1820.0,1820.0,s,1820,    ,"London;Longman, Hurst;1820.",1820,,,823H673T,,,6768655.0,enk,437758,1,3.0,3.0,v.1,1.0,Tales of the Priory.,,True,Tales of the Priory,0.1215809316533062,0.0098132274120564,Barbara,f,4.879598662207358,3.998881444279147,22.935064935064936,19.008770450328893,173.65584415584416,1416.4205177938943,0.8,['fiction'],['unknown'],tales of the priory.  tales of the priory,False,True
njp.32101067631786,"Sir, Brydges, Egerton","Brydges, Egerton, Sir",1762-1837.,1820.0,1820.0,s,1820,    ,London;R. Triphook;1820.,1820,v. I. Darcy. Fitz-Owen. Coningsby. -v. 2. Coningsby [cont'd] Lord Brokenhurst.,,,,,29139957.0,enk,1427035,1,1.0,1.0,v.1-2,1.0,Tragic tales / | $c: by Sir Egerton Brydges.,Darcy. Fitz-Owen. Coningsby,True,Darcy. Fitz-Owen. Coningsby,0.0813212543163857,0.0023528130130026,Egerton,unknown,7.543307086614173,7.822927645855291,18.94270833333333,5.038384331597222,148.81510416666666,608.6559176974827,1.7,['unknown'],['unknown'],tragic tales / | $c: by sir egerton brydges. darcy. fitz-owen. coningsby darcy. fitz-owen. coningsby,False,True
uiuo.ark+=13960=t3126g50x,"Opie, Amelia Alderson","Opie, Amelia Alderson",1769-1853.,1820.0,1820.0,s,1820,    ,"London;Longman, Hurst, Rees, Orme, and Brown;1820.",1820,,,,,,4903083.0,enk,8723671,1,1.0,1.0,v.1,1.0,Tales of the heart,,True,Tales of the heart,0.0570276921485469,0.0388562778429915,Amelia,f,7.34180790960452,8.840794471575856,25.819718309859155,11.246371751636582,173.05915492957746,649.0979091450109,1.7,['fiction'],['unknown'],tales of the heart  tales of the heart,False,True
uiuo.ark+=13960=t8v98sx8c,,,,1820.0,1820.0,s,1820,    ,London;Printed for William Fearman (by J. Gillet);1820.,1820,,,"Great Britain|Tales of my landlord|1771-1832|Parodies, imitations, etc|History|Scott, Walter|Civil War, 1642-1649",,PR5324.T3 1820,20439642.0,enk,8723674,1,1.0,1.0,v.1,1.0,Tales of my landlord,,True,Tales of my landlord,0.2504195740266893,0.0041297636129125,,unknown,7.156934306569343,9.33668549203474,25.67148014440433,20.819872538414423,177.07581227436822,1844.1783680225208,2.2,['fiction'],['english literature'],tales of my landlord  tales of my landlord,False,True
njp.32101035850393,"Opie, Amelia","Opie, Amelia",1769-1853.,1820.0,1820.0,s,1820,    ,"London;Longman, Hurst, Rees, Orme, and Brown;1820.",1820,2d ed.,,,,PR5115.O3T34,4903083.0,enk,8888769,1,1.0,1.0,vol. 1,1.0,Tales of the heart / | $c: by Mrs. Opie.,,True,Tales of the heart,0.0541275707787375,0.1145009406009831,Amelia,f,6.988700564971752,7.468798876440357,21.701408450704225,5.443237452886331,171.43380281690142,596.978012299147,1.5,['fiction'],['english literature'],tales of the heart / | $c: by mrs. opie.  tales of the heart,False,True
mdp.39015006945433,"Hogg, James","Hogg, James",1770-1835.,1821.0,1821.0,s,1821,    ,Edinburgh;Oliver & Boyd;1821.,1821,"3d ed., greatly enl. To which is prefixed a memoir of the author's life, written by himself.",,,,,3853499.0,stk,449999,1,1.0,1.0,,,The mountain bard ; | consisisting of legendary ballads and tales.,,True,The mountain bard ; consisisting of legendary ballads and tales,0.7965651251117828,0.29132916639922,James,m,6.297650130548303,7.28999447811356,18.576142131979694,44.086841969646215,178.85279187817258,7955.536705403385,3.5,['fiction'],['unknown'],the mountain bard ; | consisisting of legendary ballads and tales.  the mountain bard ; consisisting of legendary ballads and tales,False,True
mdp.39015006945078,"Hogg, James","Hogg, James",1770-1835.,1821.0,1821.0,s,1821,    ,Edinburgh;Printed for Oliver and Boyd;1821.,1821,Second edition.,,Scottish authors|English fiction,,,39479753.0,stk,450011,1,4.0,2.0,v.1,1.0,"Winter evening tales, | collected among the cottagers in the South of Scotland.",,True,"Winter evening tales, collected among the cottagers in the South of Scotland",0.3498693050466488,0.1051217222583743,James,m,13.944606413994167,21.061071492320377,33.53602305475504,18.6521605527826,418.4956772334294,5128.935860276225,1.5,['fiction'],['unknown'],"winter evening tales, | collected among the cottagers in the south of scotland.  winter evening tales, collected among the cottagers in the south of scotland",False,True
nyp.33433075840482,"Marmontel, Jean François","Marmontel, Jean François",1723-1799.,1821.0,1799.0,s,1821,    ,London;F.C. & J. Rivington;1821.,1821,,,French fiction,,,37571592.0,enk,8674715,1,1.0,1.0,,,Moral tales.,,True,Moral tales,0.5075431540016146,0.0300346698327243,Jean,m,17.678308823529413,31.225558904628027,38.381125226860256,50.31572359774835,405.6842105263158,7920.161620021014,0.6,['fiction'],['unknown'],moral tales.  moral tales,False,True
mdp.39015059420888,"Cunningham, Allan","Cunningham, Allan",1784-1842.,1822.0,1822.0,s,1822,    ,London;Taylor and Hessey;1822.,1822,,,"Scotland|England|Tales|Folklore|Tales, Scottish",,PZ3.C916T,4773663.0,enk,200517,2,6.5,2.5,v.1,1.0,Traditional tales of the English and Scottish peasantry. | $c: By Allan Cunningham.,,True,Traditional tales of the English and Scottish peasantry,0.1861213514862256,0.0621429346107419,Allan,m,5.9736147757255935,4.162892210441308,23.080729166666668,21.35025363498264,185.0234375,2236.6999715169272,1.4,['fiction'],['fiction and juvenile belles lettres'],traditional tales of the english and scottish peasantry. | $c: by allan cunningham.  traditional tales of the english and scottish peasantry,False,True
hvd.32044012935268,"Brown, Charles Brockden","Brown, Charles Brockden",1771-1810.,1822.0,1810.0,s,1822,    ,London;H. Colburn and co.;1822.,1822,v.1. Carwin the biloquist. Stephen Calvert.--v.2. Stephen Calvert.--v.3. Stephen Calvert. Jessica. The scribbler.,,,,,8215135.0,enk,9716790,1,1.0,1.0,vol.2,2.0,"Carwin, the biloquist, | and other American tales and pieces. | $c: By Charles Brockden Brown.",Stephen Calvert,True,Stephen Calvert,0.0754102383342581,0.0023633008162661,Charles,m,9.36551724137931,9.852604042806185,23.174496644295303,17.35881266609612,171.74496644295303,1421.2302598982026,0.6,['fiction'],['unknown'],"carwin, the biloquist, | and other american tales and pieces. | $c: by charles brockden brown. stephen calvert stephen calvert",False,True
hvd.32044009594987,"Brown, Charles Brockden","Brown, Charles Brockden",1771-1810.,1822.0,1810.0,s,1822,    ,London;H. Colburn and co.;1822.,1822,v.1. Carwin the biloquist. Stephen Calvert.--v.2. Stephen Calvert.--v.3. Stephen Calvert. Jessica. The scribbler.,,,,,8215135.0,enk,9716790,1,1.0,1.0,vol.3,3.0,"Carwin, the biloquist, | and other American tales and pieces. | $c: By Charles Brockden Brown.",Stephen Calvert. Jessica. The scribbler,True,Stephen Calvert. Jessica. The scribbler,0.1140641776403719,0.0181763497824268,Charles,m,10.8125,11.54296875,23.03831417624521,10.81845539554616,184.69731800766283,1089.7819468299056,1.7,['fiction'],['unknown'],"carwin, the biloquist, | and other american tales and pieces. | $c: by charles brockden brown. stephen calvert. jessica. the scribbler stephen calvert. jessica. the scribbler",False,True
hvd.hwpx97,"Miss Macauley, (Elizabeth Wright)","Miss Macauley, (Elizabeth Wright)",1785?-1837.,1822.0,1822.0,s,1822,    ,"Chiswick;Printed by C. Whittingham for Sherwood, Neely, and Jones, London;1822.",1822,Duke of Milan.--The inconstant.--The good-natured man.--Introduction to Shakespeare's plays.--King John.--The Quaker.--Edward the Black prince.--The belle's stratagem.--Winter's tale.--George Barnwell.--The conscious lovers.--King Richard II.--The Grecian daughter.--The brothers.--Lady Jane Grey.--The Merchant of Venice.--Coriolanus.--The way to keep him.--The gamester.--The hypocrite.--Julius Cæsar.--Conclusion.,,English drama|Tales from,,PZ1.C129T,586715.0,enk,9720138,2,5.0,5.0,,,"Tales of the drama. | Founded on the tragedies of Shakspeare, Massinger, Shirley, Rowe, Murphy, Lillo, and Moore, and on the comedies of Steele, Farquhar, Cumberland, Bickerstaff, Goldsmith, and Mrs. Cowley. | $c: By Miss Macauley ...",,True,"Tales of the drama. Founded on the tragedies of Shakspeare, Massinger, Shirley, Rowe, Murphy, Lillo, and Moore, and on the comedies of Steele, Farquhar, Cumberland, Bickerstaff, Goldsmith, and Mrs. Cowley",0.096306880675582,0.1264192447971243,Elizabeth,f,9.707943925233645,40.58993689405188,32.15668202764977,92.37637240119771,318.16359447004606,8281.201347448448,1.7,['fiction'],['fiction and juvenile belles lettres'],"tales of the drama. | founded on the tragedies of shakspeare, massinger, shirley, rowe, murphy, lillo, and moore, and on the comedies of steele, farquhar, cumberland, bickerstaff, goldsmith, and mrs. cowley. | $c: by miss macauley ...  tales of the drama. founded on the tragedies of shakspeare, massinger, shirley, rowe, murphy, lillo, and moore, and on the comedies of steele, farquhar, cumberland, bickerstaff, goldsmith, and mrs. cowley",False,True
uc2.ark+=13960=t6445ks3r,,,,1823.0,1823.0,s,1823,    ,London;Printed for W. Simpkin and R. Marshall [etc.;1823.,1823,,,,,PZ1.P819,2867251.0,enk,7691356,1,1.0,1.0,v.1,1.0,Popular tales and romances of the northern nations,,True,Popular tales and romances of the northern nations,0.2725777965423339,0.1905755575691984,,unknown,7.395894428152492,6.145320387681566,26.44186046511628,10.671038399134666,211.69476744186048,1169.682995876149,2.0,['fiction'],['fiction and juvenile belles lettres'],popular tales and romances of the northern nations  popular tales and romances of the northern nations,False,True
njp.32101069166229,"Grattan, Thomas Colley","Grattan, Thomas Colley",1792-1864.,1823.0,1823.0,s,1823,    ,London;Printed for G. and W.B. Whittaker ...;1823.,1823,Second edition.,,English fiction,,,8836423.0,enk,7915321,2,13.0,13.0,vol. 1,1.0,"High-ways and by-ways, or, Tales of the roadside : | picked up in the French provinces / | $c: By a walking gentleman.",,True,"High-ways and by-ways, or, Tales of the roadside : picked up in the French provinces",0.2187482415261638,0.0061444752622321,Thomas,m,7.873517786561265,6.703369838616445,22.245136186770427,23.904888794682734,192.6031128404669,2362.527305485321,1.3,['fiction'],['unknown'],"high-ways and by-ways, or, tales of the roadside : | picked up in the french provinces / | $c: by a walking gentleman.  high-ways and by-ways, or, tales of the roadside : picked up in the french provinces",False,True
hvd.hwjvxb,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1823.0,1823.0,s,1823,    ,"London;printed for R. Hunter, etc.;1823.",1823,"Seventh edition.|Contents: 1. Lame Jervas. The will. Limerick gloves. Out of debt, out of danger.--2. The lottery. Rosanna. Murad the unlucky. The manufacturers.--3. The contrast. The grateful Negro. To-morrow.",,,,,3588128.0,enk,9718955,1,1.0,1.0,v.2,2.0,Popular tales.,The lottery. Rosanna. Murad the unlucky. The manufacturers,True,The lottery. Rosanna. Murad the unlucky. The manufacturers,0.2942751496632443,0.4005648697774029,Maria,f,8.587155963302752,8.126195886990432,25.979041916167663,39.06842303417118,226.3502994011976,2075.31741009,1.5,['fiction'],['unknown'],popular tales. the lottery. rosanna. murad the unlucky. the manufacturers the lottery. rosanna. murad the unlucky. the manufacturers,False,True
hvd.hwjvwl,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1823.0,1823.0,s,1823,    ,"London;printed for R. Hunter, etc.;1823.",1823,"Seventh edition.|Contents: 1. Lame Jervas. The will. Limerick gloves. Out of debt, out of danger.--2. The lottery. Rosanna. Murad the unlucky. The manufacturers.--3. The contrast. The grateful Negro. To-morrow.",,,,,3588128.0,enk,9718955,1,1.0,1.0,v.3,3.0,Popular tales.,The contrast. The grateful Negro. To-morrow,True,The contrast. The grateful Negro. To-morrow,0.3019363798220168,0.7310345116426753,Maria,f,9.93841642228739,12.175093093454649,26.737752161383284,19.547940768547203,235.9481268011528,2257.1961564334897,1.3,['fiction'],['unknown'],popular tales. the contrast. the grateful negro. to-morrow the contrast. the grateful negro. to-morrow,False,True
hvd.32044086802147,,,,1823.0,1823.0,s,1823,    ,London;T. and G. Underwood;1823.,1823,,,,,,11612110.0,enk,9721690,1,1.0,1.0,,,"Tales of my father, and my friends.",,True,"Tales of my father, and my friends",0.0,0.0,,unknown,8.864406779661017,6.060710523795844,27.804469273743017,23.229924159670425,248.37988826815644,2661.699260322712,1.8,['unknown'],['unknown'],"tales of my father, and my friends.  tales of my father, and my friends",False,True
mdp.39015066645402,"Roscoe, Thomas","Roscoe, Thomas",1791-1871.,1824.0,1824.0,r,1824,1824,London;C. Baldwyn;1824.,1824,[2d ed.]|With 16 illustrative drawings by George Cruikshank.,,Italian fiction|Translations into English,,,54198503.0,enk,1803857,1,1.0,1.0,,,"Tales of humour, gallantry, & romance, selected and translated from the Italian.",,True,"Tales of humour, gallantry, & romance, selected and translated from the Italian",0.5926296875002328,0.240609743263112,Thomas,m,6.2965779467680605,8.634474981566887,23.21771217712177,44.06699255184434,234.84870848708488,6964.541686523876,1.9,['unknown'],['unknown'],"tales of humour, gallantry, & romance, selected and translated from the italian.  tales of humour, gallantry, & romance, selected and translated from the italian",False,True
hvd.32044086799103,"Ollier, Charles","Ollier, Charles",1788-1859.,1824.0,1824.0,s,1824,    ,London;Printed for E. Lloyd and Son ...;1824.,1824,,,,,,8302082.0,enk,9720627,1,1.0,1.0,,,"Inesilla, or The tempter : | a romance with other tales / | $c: by Charles Ollier.",,True,"Inesilla, or The tempter : a romance with other tales",0.1096907152152444,0.013984662959936,Charles,m,7.727891156462585,10.953167661622471,18.71103896103896,17.160008011469053,164.80519480519482,2113.637375611401,1.8,['fiction'],['unknown'],"inesilla, or the tempter : | a romance with other tales / | $c: by charles ollier.  inesilla, or the tempter : a romance with other tales",False,True
uc1.b3322552,"Grattan, Thomas Colley","Grattan, Thomas Colley",1792-1864.,1825.0,1825.0,s,1825,    ,London;Printed for Henry Colburn ...;1825.,1825,"v. 1. Caribert, the bear hunter -- v. 2. The priest and the gard-du-corps -- v. 3. The priest and the garde-du-corps (concluded). The vouée au blanc.",,,,,9910099.0,enk,7915322,1,2.0,2.0,v.1,1.0,"High-ways and by-ways, or, Tales of the roadside, : | picked up in the French provinces. / | $c: By A walking gentleman. ; Second series. ; In three volumes.","Caribert, the bear hunter",True,"Caribert, the bear hunter",0.0771524507215308,0.0328099362096611,Thomas,m,7.99322033898305,10.128767595518529,20.85234899328859,13.119138777532545,190.44630872483225,1309.5692648979775,2.2,['fiction'],['unknown'],"high-ways and by-ways, or, tales of the roadside, : | picked up in the french provinces. / | $c: by a walking gentleman. ; second series. ; in three volumes. caribert, the bear hunter caribert, the bear hunter",False,True
uc1.b3322553,"Grattan, Thomas Colley","Grattan, Thomas Colley",1792-1864.,1825.0,1825.0,s,1825,    ,London;Printed for Henry Colburn ...;1825.,1825,"v. 1. Caribert, the bear hunter -- v. 2. The priest and the gard-du-corps -- v. 3. The priest and the garde-du-corps (concluded). The vouée au blanc.",,,,,9910099.0,enk,7915322,1,2.0,2.0,v.2,2.0,"High-ways and by-ways, or, Tales of the roadside, : | picked up in the French provinces. / | $c: By A walking gentleman. ; Second series. ; In three volumes.",The priest and the gard-du-corps,True,The priest and the gard-du-corps,0.1193763501107762,0.0110528456579583,Thomas,m,6.704615384615384,6.885055621301777,21.174311926605505,9.122520551019836,190.75229357798165,994.9875711920996,2.1,['fiction'],['unknown'],"high-ways and by-ways, or, tales of the roadside, : | picked up in the french provinces. / | $c: by a walking gentleman. ; second series. ; in three volumes. the priest and the gard-du-corps the priest and the gard-du-corps",False,True
nyp.33433076092232,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1825.0,1825.0,s,1825,    ,"London;Printed for R. Hunter; Baldwin, Cradock, and Joy [&c., &c.] by T. Davison;1825.",1825,"v. I. Castle Rackrent. Essay on Irish bulls. The modern Griselda. v. II. Belinda, vol. 1.-v. III. Belinda, vol. 2-v. IV. Leonora. Letters on several subjects. An essay on self-justification.-v. V. Popular tales.-v. VI. Popular tales. Dramas.-v. VII. Tales of fashionable life, vol.1-v.VIII.Tales of fashionable life, vol. 2.-v. IX. Tales of fashionable life, vol.3.-v. X. Tales of fashionable life, vol.4.-v. XI. Patronage, vol.1.-v. XII. Patronage, vol.2.-v. XIII. Harrington. Ormond.-v. XIV. Ormon",,English fiction,,,2879507.0,enk,8586372,1,8.0,6.0,v. 1,1.0,"Tales, and miscellaneous pieces / | $c: by Maria Edgeworth.",Castle Rackrent. Essay on Irish bulls. The modern Griselda,True,Castle Rackrent. Essay on Irish bulls. The modern Griselda,0.170274840648439,0.2849057500252324,Maria,f,12.244837758112094,24.816160666892905,32.005665722379604,68.87248914604886,341.2662889518414,11144.926257332938,0.2,['unknown'],['unknown'],"tales, and miscellaneous pieces / | $c: by maria edgeworth. castle rackrent. essay on irish bulls. the modern griselda castle rackrent. essay on irish bulls. the modern griselda",False,True
nyp.33433076091416,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1825.0,1825.0,s,1825,    ,"London;Printed for R. Hunter; Baldwin, Cradock, and Joy [&c., &c.] by T. Davison;1825.",1825,"v. I. Castle Rackrent. Essay on Irish bulls. The modern Griselda. v. II. Belinda, vol. 1.-v. III. Belinda, vol. 2-v. IV. Leonora. Letters on several subjects. An essay on self-justification.-v. V. Popular tales.-v. VI. Popular tales. Dramas.-v. VII. Tales of fashionable life, vol.1-v.VIII.Tales of fashionable life, vol. 2.-v. IX. Tales of fashionable life, vol.3.-v. X. Tales of fashionable life, vol.4.-v. XI. Patronage, vol.1.-v. XII. Patronage, vol.2.-v. XIII. Harrington. Ormond.-v. XIV. Ormon",,,,,2879507.0,enk,8586372,1,1.0,1.0,v. 2,2.0,"Tales, and miscellaneous pieces / | $c: by Maria Edgeworth.",,True,,0.1551994486115137,0.0880249012402894,Maria,f,14.227848101265822,21.84681941996475,33.28086419753087,35.85012764822436,344.6604938271605,5316.631649138851,0.7,['unknown'],['unknown'],"tales, and miscellaneous pieces / | $c: by maria edgeworth.  ",False,True
nyp.33433076091432,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1825.0,1825.0,s,1825,    ,"London;Printed for R. Hunter; Baldwin, Cradock, and Joy [&c., &c.] by T. Davison;1825.",1825,"v. I. Castle Rackrent. Essay on Irish bulls. The modern Griselda. v. II. Belinda, vol. 1.-v. III. Belinda, vol. 2-v. IV. Leonora. Letters on several subjects. An essay on self-justification.-v. V. Popular tales.-v. VI. Popular tales. Dramas.-v. VII. Tales of fashionable life, vol.1-v.VIII.Tales of fashionable life, vol. 2.-v. IX. Tales of fashionable life, vol.3.-v. X. Tales of fashionable life, vol.4.-v. XI. Patronage, vol.1.-v. XII. Patronage, vol.2.-v. XIII. Harrington. Ormond.-v. XIV. Ormon",,,,,2879507.0,enk,8586372,1,1.0,1.0,v. 4,4.0,"Tales, and miscellaneous pieces / | $c: by Maria Edgeworth.",Leonora. Letters on several subjects. An essay on self-justification,True,Leonora. Letters on several subjects. An essay on self-justification,0.5983284654975133,0.0029116664706689,Maria,f,12.78688524590164,15.069336199946251,31.002673796791445,40.767372529955104,304.5053475935829,5659.768687980783,1.6,['unknown'],['unknown'],"tales, and miscellaneous pieces / | $c: by maria edgeworth. leonora. letters on several subjects. an essay on self-justification leonora. letters on several subjects. an essay on self-justification",False,True
nyp.33433076091457,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1825.0,1825.0,s,1825,    ,"London;Printed for R. Hunter; Baldwin, Cradock, and Joy [&c., &c.] by T. Davison;1825.",1825,"v. I. Castle Rackrent. Essay on Irish bulls. The modern Griselda. v. II. Belinda, vol. 1.-v. III. Belinda, vol. 2-v. IV. Leonora. Letters on several subjects. An essay on self-justification.-v. V. Popular tales.-v. VI. Popular tales. Dramas.-v. VII. Tales of fashionable life, vol.1-v.VIII.Tales of fashionable life, vol. 2.-v. IX. Tales of fashionable life, vol.3.-v. X. Tales of fashionable life, vol.4.-v. XI. Patronage, vol.1.-v. XII. Patronage, vol.2.-v. XIII. Harrington. Ormond.-v. XIV. Ormon",,,,,2879507.0,enk,8586372,1,1.0,1.0,v. 6,6.0,"Tales, and miscellaneous pieces / | $c: by Maria Edgeworth.",Popular tales. Dramas,True,Popular tales. Dramas,0.2887286551780625,0.6714006194433922,Maria,f,19.96031746031746,83.06985386747291,33.03896103896104,34.21406645302749,345.76103896103893,5209.226014504976,1.8,['unknown'],['unknown'],"tales, and miscellaneous pieces / | $c: by maria edgeworth. popular tales. dramas popular tales. dramas",False,True
nyp.33433076091606,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1825.0,1825.0,s,1825,    ,"London;Printed for R. Hunter; Baldwin, Cradock, and Joy [&c., &c.] by T. Davison;1825.",1825,"v. I. Castle Rackrent. Essay on Irish bulls. The modern Griselda. v. II. Belinda, vol. 1.-v. III. Belinda, vol. 2-v. IV. Leonora. Letters on several subjects. An essay on self-justification.-v. V. Popular tales.-v. VI. Popular tales. Dramas.-v. VII. Tales of fashionable life, vol.1-v.VIII.Tales of fashionable life, vol. 2.-v. IX. Tales of fashionable life, vol.3.-v. X. Tales of fashionable life, vol.4.-v. XI. Patronage, vol.1.-v. XII. Patronage, vol.2.-v. XIII. Harrington. Ormond.-v. XIV. Ormon",,,,,2879507.0,enk,8586372,1,2.0,1.0,v. 13,13.0,"Tales, and miscellaneous pieces / | $c: by Maria Edgeworth.",Harrington. Ormond,True,Harrington. Ormond,0.1796377167955306,0.3133454872552043,Maria,f,11.960674157303371,13.363622017422042,33.40495867768595,30.406256403251145,345.92837465564736,4178.821316091038,0.8,['unknown'],['unknown'],"tales, and miscellaneous pieces / | $c: by maria edgeworth. harrington. ormond harrington. ormond",False,True
