docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match
uc2.ark+=13960=t3tt4gd01,"Ewing, Juliana Horatia Gatty","Ewing, Juliana Horatia Gatty",1841-1885.,1887.0,1885.0,s,1887,    ,London;Brighton;Society for Promoting Christian Knowledge;New York;E. & J.B. Young & Co.;1887,1887,,,"Conduct of life|Children's stories, English|Juvenile literature",,,29373342.0,enk,7658551,1,1.0,1.0,,,Dandelion clocks and other tales,,True,Dandelion clocks and other tales,0.1749651389039637,0.9935703419020032,Juliana,f,15.555555555555555,65.72839506172839,37.14035087719298,240.43644198214832,288.0701754385965,21285.11788242537,2.5789473684210527,['fiction'],['unknown'],dandelion clocks and other tales  dandelion clocks and other tales,False,True
uiuo.ark+=13960=t0ft9673k,"Robinson, F. W","Robinson, F. W. (Frederick William)",1830-1901.,1887.0,1887.0,s,1887,    ,London;Hurst and Blackett;1887.,1887,,,,,,13340022.0,enk,8720571,1,1.0,1.0,v.1,1.0,"In bad hands, and other tales",,True,"In bad hands, and other tales",0.3185988750572758,0.0119090023405167,Frederick,m,9.042904290429044,18.15327473341393,28.57049180327869,85.31388336468692,206.92786885245903,2628.211190540177,2.4,['fiction'],['unknown'],"in bad hands, and other tales  in bad hands, and other tales",False,True
mdp.39015063024775,"Garnett, Richard","Garnett, Richard",1835-1906.,1888.0,1888.0,s,1888,    ,London;T. Fisher Unwin;1888.,1888,,,,,,3083599.0,enk,118823,3,7.0,4.0,,,"The twilight of the gods, and other tales, | $c: Richard Garnett.",,True,"The twilight of the gods, and other tales",0.2644798137044889,0.0290947478998704,Richard,m,13.549848942598189,127.83663894999133,24.262536873156343,40.84847852002681,222.57227138643069,6129.230027584167,1.3,['fiction'],['unknown'],"the twilight of the gods, and other tales, | $c: richard garnett.  the twilight of the gods, and other tales",False,True
mdp.39015031473732,"Sellers, Charles","Sellers, Charles",,1888.0,1888.0,s,1888,    ,London;Field & Tuer [etc.;1888.,1888,"The ingenious student.--The ugly princess.--The wolf-child.--The magic mirror.--The black slave.--The legend of St. Bartholomew.--The white cat of Ecija.--The church auctioneer and clown of Villar.--The wise king of Leon.--The cobbler of Burgos.--Barbara, the grazier's wife.--The watchful servant.--Silver bells.--King Robin.--The wicked king.--The palace of the enchanted Moors.--The seven pigeons.--Lady Clare.--Good St. James, and the merry barber of Compostella.--Elvira, the sainted princess.-",,,,,3155676.0,enk,1276737,3,3.0,3.0,,,Tales from the lands of nuts and grapes | (Spanish and Portuguese folklore) | $c: By Charles Sellers.,,True,Tales from the lands of nuts and grapes (Spanish and Portuguese folklore),0.1687087316523993,0.0618578060196745,Charles,m,7.666666666666667,34.6940170940171,24.440594059405942,62.49399568669739,214.9702970297029,7513.969414763259,2.3,['unknown'],['unknown'],tales from the lands of nuts and grapes | (spanish and portuguese folklore) | $c: by charles sellers.  tales from the lands of nuts and grapes (spanish and portuguese folklore),False,True
mdp.39015008162862,"Grimm, Jacob","Grimm, Jacob",1785-1863.,1888.0,1863.0,s,1888,    ,London;G. Bell & sons;1888.,1888,,,,,,16388690.0,enk,1782238,1,1.0,1.0,,,"German popular stories and fairy tales, | $c: as told by Grammer Grethel. From the collection of MMM. Grimm. Rev. translation by Edgar Taylor. With illustrations from designs by George Cruikshank and Ludwig Grimm.",,True,German popular stories and fairy tales,0.2923319132950097,0.9866881205142504,Jacob,m,17.191304347826087,390.5836925015753,32.9367816091954,356.3580724005813,356.6465517241379,18152.561855925484,2.1,['unknown'],['unknown'],"german popular stories and fairy tales, | $c: as told by grammer grethel. from the collection of mmm. grimm. rev. translation by edgar taylor. with illustrations from designs by george cruikshank and ludwig grimm.  german popular stories and fairy tales",True,True
nnc1.0038542390,"Thornhill, Mark","Thornhill, Mark",,1888.0,1888.0,s,1888,    ,London;Hatchards;1888,1888,,,,,,6134268.0,enk,7674840,2,2.0,2.0,,,Indian fairy tales. | $c: Collected by Mark Thornhill; illustrated by Edith Scannell.,,True,Indian fairy tales,0.6458560404890009,0.992609186559974,Mark,m,7.326086956521739,7.227000630119723,15.996503496503497,18.70977798425351,144.80769230769232,2554.798682087144,2.1,['unknown'],['unknown'],indian fairy tales. | $c: collected by mark thornhill; illustrated by edith scannell.  indian fairy tales,False,True
njp.32101072858226,,,,1888.0,1888.0,s,1888,    ,London;Edinburgh;W. Paterson;1888,1888,[1] English: The Pythagorean [by A. S. Harrison.--The old man's tale about the queer client [by C. Dickens]--In defence of his right [by Defoe]--Sixteen days of death.--Adventure in a forest [by Smollett]--Cader Idris: the Chair of Idris [by J. Harwood]--A skeleton in the house [by E. Yates]--A night with a madman.--The poisoned mind.--A dire prediction.--The postponed wedding.--Haunted house of Paddington [by C. Ollier-- [2] Scottish: The vision of Campbell of Invarawe [by Sir T. D. Lauder]--T,,"Short stories, Scottish|Short stories, English",,,7524125.0,enk,9009500,1,1.0,1.0,v.2,2.0,"Weird tales: | English, [Scottish, Irish, American, German]",Scottish: The vision of Campbell of Invarawe [by Sir T. D. Lauder]--T,True,Scottish: The vision of Campbell of Invarawe [by Sir T. D. Lauder]--T,0.1461836519474198,0.0472075524820894,,unknown,11.666666666666666,23.04392764857881,30.806083650190114,29.0840694530787,315.5399239543726,3992.1495467622776,2.1,['fiction'],['unknown'],"weird tales: | english, [scottish, irish, american, german] scottish: the vision of campbell of invarawe [by sir t. d. lauder]--t scottish: the vision of campbell of invarawe [by sir t. d. lauder]--t",False,True
njp.32101072858234,,,,1888.0,1888.0,s,1888,    ,London;Edinburgh;W. Paterson;1888,1888,[1] English: The Pythagorean [by A. S. Harrison.--The old man's tale about the queer client [by C. Dickens]--In defence of his right [by Defoe]--Sixteen days of death.--Adventure in a forest [by Smollett]--Cader Idris: the Chair of Idris [by J. Harwood]--A skeleton in the house [by E. Yates]--A night with a madman.--The poisoned mind.--A dire prediction.--The postponed wedding.--Haunted house of Paddington [by C. Ollier-- [2] Scottish: The vision of Campbell of Invarawe [by Sir T. D. Lauder]--T,,"Short stories, Scottish|Short stories, English",,,7524125.0,enk,9009500,1,1.0,1.0,v.3,3.0,"Weird tales: | English, [Scottish, Irish, American, German]",,True,"Weird tales: English, [Scottish, Irish, American, German]",0.1342764640434387,0.0004489433099783,,unknown,11.293436293436294,24.485323713122938,30.91954022988505,23.13145725987582,322.13793103448273,3848.18787158145,2.4,['fiction'],['unknown'],"weird tales: | english, [scottish, irish, american, german]  weird tales: english, [scottish, irish, american, german]",False,True
mdp.39015063543022,,,,1889.0,1889.0,s,1889,    ,"London;Hamilton, Adams & co.; [etc., etc.;1889.",1889,,,English wit and humor,,PN6173.B3 1889,4480602.0,enk,448965,1,1.0,1.0,,,"A banquet of jests and merry tales, | $c: by Archie Armstrong, court jester to King James I. and King Charles I, 1611-1637. In the original quaint spelling.",,True,A banquet of jests and merry tales,0.8942365429192848,0.499862245598728,,unknown,8.246808510638298,9.207170665459484,24.125,75.009375,211.9833333333333,3085.241388888889,1.5,['unknown'],['literature (general)'],"a banquet of jests and merry tales, | $c: by archie armstrong, court jester to king james i. and king charles i, 1611-1637. in the original quaint spelling.  a banquet of jests and merry tales",False,True
uc1.b3327261,"Yonge, Charlotte M. (Charlotte Mary)","Yonge, Charlotte M. (Charlotte Mary)",1823-1901.,1889.0,1889.0,s,1889,    ,London;New York;Macmillan;1889.,1889,"The boy bishop.--One will and three ways.--Kaspar's summer dream.--Buy a broom.--The travels of two kits.--Selma's secret sighs.--Our ghost at Fantford.--Anna's wedding cake.--Autobiography of Patty Applechecks.--A holiday engagement; or, The Campbells are coming.",,,,,2178418.0,enk,1776402,3,3.0,3.0,,,"Bye-words; | a collection of tales, new and old, | $c: by Charlotte M. Yonge ...",,True,"Bye-words; a collection of tales, new and old",0.0667864671319466,0.2703382172558413,Charlotte,f,11.898809523809524,34.18023667800453,24.89644970414201,33.7851353243934,245.57100591715977,5420.523064668604,2.5,['unknown'],['unknown'],"bye-words; | a collection of tales, new and old, | $c: by charlotte m. yonge ...  bye-words; a collection of tales, new and old",False,True
