docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category
uc2.ark+=13960=t6h132s35,"Canton, William","Canton, William",1845-1926.,1911.0,1911.0,s,1911,    ,London;J.M. Dent & Sons;New York;E.P. Dutton;1911.,1911,,,W. V|(Winifred Vida)|1890-1901|Poetry|Children,,,6651101.0,enk,7686449,1,2.0,2.0,,,The invisible playmate,,True,The invisible playmate,0.5878282894035419,0.4350176501114971,William,m,13.33177570093458,44.3618875010918,37.06849315068493,136.7487333458435,278.1232876712329,12283.87064489898,2.4,['unknown'],['unknown']
uc2.ark+=13960=t0gt5kg2k,"Crockett, S. R","Crockett, S. R. (Samuel Rutherford)",1860-1914.,1911.0,1911.0,s,1911,    ,London;New York;Hodder and Stoughton;1911?,1911,,,,,,8843921.0,enk,7687084,1,1.0,1.0,,,The smugglers,,True,The smugglers,0.0992148022246804,0.0745050726325883,Samuel,m,18.63496932515337,34.45877714629832,46.196374622356494,90.47201102582125,374.2598187311178,8671.799563713366,2.1,['fiction'],['unknown']
uc2.ark+=13960=t48p6126r,"Dorrington, Albert","Dorrington, Albert",,1911.0,1911.0,s,1911,    ,London;Mills & Boon;1911,1911,,,,,,13349919.0,enk,7687492,1,1.0,1.0,,,Children of the cloven hoof,,True,Children of the cloven hoof,0.1483507332609119,0.0104769005085745,Albert,m,16.555900621118013,30.73755835037228,36.378461538461536,60.899843786982245,270.80615384615385,4355.934731360948,2.2,['unknown'],['unknown']
uc2.ark+=13960=t54f1sm2t,"Le Queux, William","Le Queux, William",1864-1927.,1911.0,1911.0,s,1911,    ,London;Eveleigh Nash;1911.,1911,,,,,PZ3.L56Hu,9820537.0,enk,7689537,1,1.0,1.0,,,Hushed up!,,True,Hushed up!,0.0403960728023077,0.0225691185041021,William,m,16.833333333333332,40.99691358024691,37.10060975609756,79.84048743307555,269.640243902439,5159.6754535990485,3.0,['fiction'],['fiction and juvenile belles lettres']
uc2.ark+=13960=t15m6714c,"Ransome, Arthur","Ransome, Arthur",1884-1967.,1911.0,1911.0,s,1911,    ,London;M. Secker;1911.,1911,,,,,,6824794.0,enk,7691779,1,1.0,1.0,,,The hoofmarks of the faun,,True,The hoofmarks of the faun,0.1445668389345909,0.5012418234444933,Arthur,m,7.987096774193549,9.406285119667016,23.96273291925466,38.0979900466803,165.42857142857142,2852.008873114463,1.7,['fiction'],['unknown']
uc2.ark+=13960=t1zc8004h,"Marsh, Richard","Marsh, Richard",d. 1915.,1911.0,1911.0,t,1921,1911,London;Chatto & Windus;1921 [c1911,1921,,,,,,364129951.0,enk,7695350,1,1.0,1.0,,,A spoiler of men,,True,A spoiler of men,0.1380258158345487,0.038865797593237,Richard,m,17.237785016286644,28.62424004498721,35.693548387096776,74.28350676378771,302.1774193548387,5504.616909469303,2.4,['unknown'],['unknown']
uc2.ark+=13960=t3qv3r20w,"Caffyn, Kathleen Mannington Hunt","Caffyn, Kathleen Mannington (Hunt)",,1911.0,1911.0,s,1911,    ,London;E. Nash;1911.,1911,,,,,,13299259.0,enk,7697166,1,1.0,1.0,,,The fire-seeker,,True,The fire-seeker,0.0495349122329886,0.0067853502773692,Hunt,unknown,23.63420427553444,57.856692300314265,44.75529411764706,88.43894256055364,367.7670588235294,7770.018679584774,2.7,['unknown'],['unknown']
uc2.ark+=13960=t9183kh9k,"Croker, B. M","Croker, B. M. (Bithia Mary)",d. 1920.,1911.0,1911.0,s,1911,    ,London;F. V. White;1911.,1911,,,,,,8176185.0,enk,7697862,1,2.0,2.0,,,A rolling stone,,True,A rolling stone,0.1942018078191233,0.0034531477240701,Bithia,unknown,16.03514376996805,32.78151251926629,39.446875,62.490927734375006,341.1625,6397.52984375,3.2,['fiction'],['unknown']
uc2.ark+=13960=t8jd53n8m,"Wemyss, Mary C. E","Wemyss, Mary C. E",,1911.0,1911.0, ,1911,    ,London;Constable & Co.;1911.,1911,,,,,,222369806.0,enk,7704849,1,1.0,1.0,,,"""Things we thought of""",,True,"""Things we thought of""",0.3980162385826818,0.9999966226042272,Mary,f,8.688775510204081,6.969465847563516,25.348484848484848,19.338154269972453,165.62121212121212,1122.6292470156106,1.6,['unknown'],['unknown']
uc2.ark+=13960=t1bk1p43x,"Whibley, Charles","Whibley, Charles",,1911.0,1911.0,r,1911,    ,"London;Constable & Company, Ltd.;1911.",1911,,,Criminals|Crime,,,15260965.0,enk,7704880,1,1.0,1.0,,,A book of scoundrels,,True,A book of scoundrels,0.3419678941012974,0.0514480512920971,Charles,m,10.310483870967742,12.310857830385016,28.46484375,70.19407653808594,251.13671875,8387.946151733398,2.0,['fiction'],['unknown']
uc2.ark+=13960=t1vd6ww14,"De Morgan, William","De Morgan, William Frend",1839-1917.,1911.0,1911.0,s,1911,    ,London;William Heinemann;1911.,1911,,,,,,123170844.0,enk,7705999,1,4.0,4.0,,,A likely story,,True,A likely story,0.0845539269086985,0.0018510999014968,William,m,16.297142857142855,43.96884897959184,34.14366197183099,41.08640349137076,303.86478873239435,4245.164816504663,2.1,['unknown'],['unknown']
uc2.ark+=13960=t3dz0fv4h,"Meredith, George","Meredith, George",1828-1909.,1911.0,1909.0,s,1911,    ,London;Constable;1911,1911,,,,,,78052113.0,enk,7707714,1,1.0,1.0,,,Celt and Saxon (unfinished),,True,Celt and Saxon (unfinished),0.096322099992267,0.0117074452417906,George,m,15.909090909090908,41.21307941070786,38.62352941176471,76.3837600922722,319.9686274509804,5996.171564782775,2.5,['fiction'],['unknown']
uc2.ark+=13960=t6n017c11,"Holland, Clive","Holland, Clive",1866-1959.,1911.0,1911.0,s,1911,    ,"London;Hurst & Blackett, Ltd.;1911.",1911,,,,,PR6015.O367B7 1911,43881921.0,enk,7915260,2,2.0,2.0,,,Brown face and white,,True,Brown face and white,0.0,0.0,Clive,m,11.167664670658684,20.89404424683567,37.594674556213015,95.06943909526976,291.6568047337278,4673.1958264766645,4.7,"['fiction', 'urn:uuid:48b16470-087c-441c-a0cf-0da738a986e3']",['english literature']
uc2.ark+=13960=t48p63s8z,"Sinclair, Francis","Sinclair, Francis",,1911.0,1911.0,s,1911,    ,"London;S. Low, Marston and Company, ltd.;1911.",1911,,,Voyages and travels|Australia|Description and travel,,,29023030.0,enk,7922818,2,2.0,2.0,,,Under western skies: life pictures from memory,,True,Under western skies: life pictures from memory,0.5110157456649587,0.0213375554491548,Francis,m,8.240780911062906,7.011438869570535,30.86609071274298,28.509066142959103,240.08207343412528,2594.4079507764645,2.5,['unknown'],['unknown']
uc1.b3327199,"Von Arnim, Elizabeth","Von Arnim, Elizabeth",1866-1941.,1911.0,1911.0,s,1911,    ,London;Macmillan;1911.,1911,,,,,,10579121.0,enk,7923107,2,2.0,2.0,,,The adventures of Elizabeth in Rügen / | $c: by the author of Elizabeth and her German garden.,,True,The adventures of Elizabeth in Rügen,0.166487296873773,0.263723777722839,Elizabeth,f,12.61842105263158,22.42018698060942,30.514657980456025,25.07063204914641,288.92182410423453,3390.9841165423504,2.3,['fiction'],['unknown']
uc1.b3346792,"Gibbon, Perceval","Gibbon, Perceval",1879-1926.,1911.0,1911.0,s,1911,    ,London;Methuen;1911.,1911,2nd ed.,,,,,8933662.0,enk,7926163,1,1.0,1.0,,,Margaret Harding / | $c: by Perceval Gibbon.,,True,Margaret Harding,0.0460661577537187,0.1427977472840338,Perceval,m,40.1045197740113,2825.596420249609,40.79661016949152,383.95298285933166,443.3813559322034,16918.247223020204,3.7,['fiction'],['unknown']
njp.32101067408482,"Meynell, Mrs. Esther Hallam (Moorhouse)","Meynell, Mrs. Esther Hallam (Moorhouse)",,1911.0,1911.0,s,1911,    ,London;Methuen & co.;1911,1911,3d. ed.,,"Nelson, Horatio Nelson|Hamilton, Emma|1758-1805|Lady|1761?-1815|Viscount",,,10319047.0,enk,8223675,3,3.0,3.0,,,"Nelson's Lady Hamilton, | $c: by E. Hallam Moorhouse; with fifty-one portraits.",,True,Nelson's Lady Hamilton,0.9345091806750654,0.0019602840957416,Moorhouse,unknown,22.090069284064665,2612.9456981476246,30.75536480686696,408.7556042660576,272.5772532188841,25298.79768000884,4.2,['unknown'],['unknown']
nyp.33433075876734,"Thurston, E. Temple (Ernest Temple)","Thurston, E. Temple (Ernest Temple)",1879-1933.,1911.0,1911.0,s,1911,    ,London;Williams and Norgate;1911.,1911,,,Great Britain|Canals|England|Description and travel,England,DA630.T65,35246697.0,enk,8644888,1,3.0,3.0,,,"The ""Flower of Gloster,"" | $c: by E. Temple Thurston; illustrated by W.R. Dakin.",,True,"The ""Flower of Gloster,""",0.593796018780379,0.0540837541977888,Ernest,m,12.275193798449612,57.23822186166697,21.904929577464788,121.08603203729416,211.2253521126761,14073.174568537986,2.1,['unknown'],['great britain']
nyp.33433074949797,"Crockett, S. R. (Samuel Rutherford)","Crockett, S. R. (Samuel Rutherford)",1860-1914.,1911.0,1911.0,s,1911,    ,London;E. Nash;1911.,1911,,Novel,English fiction,,,8843932.0,enk,8664721,1,1.0,1.0,,,The lady of the hundred dresses / | $c: by S.R. Crockett.,,True,The lady of the hundred dresses,0.1726032993939677,0.0241374346116539,Samuel,m,15.216828478964402,25.826771818476978,30.57507987220448,25.03669528116037,284.7444089456869,3079.5832355132748,2.4,['unknown'],['unknown']
