gutenberg_id,title,author
53991,"Stories from the Chap-Book: Being a Miscellany of Curious and Interesting Tales, Histories, &c; Newly Composed by Many Celebrated Writers and Very Delightful to Read.",
57402,The Watcher by the Threshold,"Buchan, John"
1552,The Lock and Key Library: The Most Interesting Stories of All Nations: North Europe — Russian — Swedish — Danish — Hungarian,
12161,Night watches [Complete series],"Jacobs, W. W. (William Wymark)"
32346,Keep Your Shape,"Sheckley, Robert"
49595,"When the King Loses His Head, and Other Stories","Andreyev, Leonid"
373,"Lay Morals, and Other Papers","Stevenson, Robert Louis"
35148,Here and Hereafter,"Pain, Barry"
51018,"Three Days in the Village, and Other Sketches.: Written from September 1909 to July 1910.","Tolstoy, Leo, graf"
56797,"The Invaders, and Other Stories","Tolstoy, Leo, graf"
61353,Saline Solution,"Laumer, Keith"
70486,The lurking fear,"Lovecraft, H. P. (Howard Phillips)"
924,To Be Read at Dusk,"Dickens, Charles"
27439,Sundry Accounts,"Cobb, Irvin S. (Irvin Shrewsbury)"
47789,The Doctor's Red Lamp: A Book of Short Stories Concerning the Doctor's Daily Life,
64181,Rocket Summer,"Bradbury, Ray"
75771,"The Faa's revenge, and other tales","Various; Wilson, John Mackay"
13085,A Diversity of Creatures,"Kipling, Rudyard"
43862,In the Morning Glow: Short Stories,"Gilson, Roy Rolfe"
60097,"Horses and Men: Tales, long and short, from our American life","Anderson, Sherwood"
21005,Shorty McCabe on the Job,"Ford, Sewell"
32041,One Man's Poison,"Sheckley, Robert"
40832,"The Veiled Man: Being an Account of the Risks and Adventures of Sidi Ahamadou, Sheikh of the Azjar Maraude","Le Queux, William"
57494,Trolley Folly,"Phillips, Henry Wallace"
41297,Local Color,"Cobb, Irvin S. (Irvin Shrewsbury)"
42963,The Weird Orient: Nine Mystic Tales,"Iliowizi, Henry"
49651,Tedric,"Smith, E. E. (Edward Elmer)"
59011,The Last Crusade,"Smith, George H. (George Henry)"
59121,"E. K. Means: Is This a Title? It Is Not. It Is the Name of a Writer of Negro Stories, Who Has Made Himself So Completely the Writer of Negro Stories That His Book Needs No Title","Means, E. K. (Eldred Kurtz)"
75183,The Eatonville anthology,"Hurston, Zora Neale"
19323,"The Wit and Humor of America, Volume V. (of X.)",
43727,His Majesty Baby and Some Common People,"Maclaren, Ian"
51082,Coming Attraction,"Leiber, Fritz"
66409,Tales of the Unexpected,"Wells, H. G. (Herbert George)"
56722,Home Scenes and Heart Studies,"Aguilar, Grace"
970,Uncle Josh's Punkin Centre Stories,"Stewart, Cal"
9221,"The Old Manse (From ""Mosses from an Old Manse"")","Hawthorne, Nathaniel"
62347,Twenty-Three Stories by Twenty and Three Authors,
6120,Soldiers Three,"Kipling, Rudyard"
23432,Masterpieces of Mystery in Four Volumes: Mystic-Humorous Stories,
