docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob	first_name	estimated_gender
dul1.ark+=13960=t2b861307	Reeve, Clara	Reeve, Clara	1729-1807.	1821.0	1807.0	s	1821	    	London;G. Virtue;1821	1821						123106968.0	enk	10945308	1	2.0	2.0			Fatherless Fanny, or, A young lady's first entrance into life		True	Fatherless Fanny, or, A young lady's first entrance into life	0.1132943146814457	0.0793282184417195	Clara	f
mdp.39015059427354	[Wilkins, George]	[Wilkins, George]	1785-1865.	1822.0	1822.0	m	1822	1823	London;Printed for Longman, Hurst, Rees, Orme, and Brown;1822-1823.	1822-1823						12284979.0	enk	162885	1	1.0	1.0	v.1	1.0	Body and soul.		True	Body and soul	0.3664423648790458	0.0024935655158091	George	m
uiuo.ark+=13960=t60585d8h	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1822.0	1822.0	s	1822	    	London;Longman, Hurst, Rees, Orme, and Brown;1822.	1822					PZ3.P828Ro 3	6976739.0	enk	169211	3	3.0	3.0	v.1	1.0	Roche-blanche;		True	Roche-blanche;	0.0943132360488754	0.3451900168472973	Anna	f
mdp.39015014117751	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1822.0	1822.0	s	1822	    	London;Longman, Hurst, Rees, Orme, and Brown;1822.	1822		Gothic fiction		Pyrenees	PZ3.P828Ro 3	6976739.0	enk	169211	3	3.0	3.0	v.2	2.0	Roche-blanche; | or, The hunters of the Pyrenees. A romance. | $c: By Miss Anna Maria Porter ...		True	Roche-blanche; or, The hunters of the Pyrenees. A romance	0.089561621095253	0.299168495875076	Anna	f
mdp.39015059420888	Cunningham, Allan	Cunningham, Allan	1784-1842.	1822.0	1822.0	s	1822	    	London;Taylor and Hessey;1822.	1822			Scotland|England|Tales|Folklore|Tales, Scottish		PZ3.C916T	4773663.0	enk	200517	2	6.5	2.5	v.1	1.0	Traditional tales of the English and Scottish peasantry. | $c: By Allan Cunningham.		True	Traditional tales of the English and Scottish peasantry	0.1861213514862256	0.0621429346107419	Allan	m
mdp.39015063992492	Misses. Cuthbertson	Misses. Cuthbertson		1822.0	1822.0	s	1822	    	London;Printed for Baldwin, Cradock, & Joy [etc.;1822.	1822	5th ed.					14393767.0	enk	286084	1	1.0	1.0	v.1	1.0	Romance of the Pyrenees. ... | $c: By the author of Santo Sebastiano, or, The young protector.		True	Romance of the Pyrenees	0.0	0.0	Misses	unknown
mdp.39015063869997	Gaspey, Thomas	Gaspey, Thomas	1788-1871.	1822.0	1822.0	s	1822	    	London;Longman, Hurst, Rees, Orme, and Brown;1822.	1822			Lollards		PZ3.G2147Lo 2	13344616.0	enk	326075	2	2.0	2.0	v.1	1.0	The Lollards: | a tale, founded on the persecutions which marked the early part of the fifteenth century. | $c: By the author of The mystery, or Forty years ago; and of Calthorpe, or Fallen fortunes ...		True	The Lollards: a tale, founded on the persecutions which marked the early part of the fifteenth century	0.0	0.0	Thomas	m
mdp.39015063976412	Wilson, John	Wilson, John	1951 Aug. 2-	1822.0	1822.0	s	1822	    	Edinburgh;W. Blackwood; [etc., etc.;1822.	1822	1st ed.		Scottish authors|English fiction		PZ3.W6944L	2718647.0	stk	326331	2	8.0	7.0			Lights and shadows of Scottish life : | a selection from the papers of the late Arthur Austin.		True	Lights and shadows of Scottish life : a selection from the papers of the late Arthur Austin	0.0	0.0	John	m
mdp.39015059377070	Galt, John	Galt, John	1779-1839.	1822.0	1822.0	s	1822	    	Edinburgh;Wm. Balckwood;1822.	1822			English fiction			66288629.0	stk	432612	1	5.0	3.0			The provost.		True	The provost	0.6922910154760461	0.0098841315009874	John	m
uc1.b3578410	Galt, John	Galt, John	1779-1839.	1822.0	1822.0	s	1822	    	Edinburgh;William Blackwood;1822.	1822			Scottish authors|English fiction			19938980.0	stk	432633	2	10.5	4.0	v.1	1.0	Sir Andrew Wylie, of that ilk.		True	Sir Andrew Wylie, of that ilk	0.1402095452089942	0.0236672198361723	John	m
uc1.$b250735	Galt, John	Galt, John	1779-1839.	1822.0	1822.0	s	1822	    	Edinburgh;Wm. Blackwood;1822.	1822						2513066.0	stk	432637	2	3.0	3.0			The steam-boat		True	The steam-boat	0.315698006982163	0.0489842535832879	John	m
mdp.39015063935392	pseud. Philo-Milton	pseud. Philo-Milton		1822.0	1822.0	s	1822	    	London;Printed for F. C. & J. Rivington;1822.	1822			1608-1674|Cain|Byron, George Gordon Byron|Paradise lost|Milton, John|Baron|1788-1824			43371689.0	enk	450072	1	1.0	1.0			"A vindication of the Paradise lost from the charge of exculpating ""Cain"", a mystery. | $c: By Philo-Milton."		True	"A vindication of the Paradise lost from the charge of exculpating ""Cain"", a mystery"	0.7986171953680792	0.0200290843808231	Pseud	unknown
uc1.b4110102	Sir, Davis, John Francis	Davis, John Francis, Sir	1795-1890.	1822.0	1822.0	s	1822	    	London;J. Murray;1822.	1822	Observations on the language and literature of China.--The shadow in the water.--The twin sisters.--The three dedicated chambers.--Chinese proverbs, etc.		Chinese literature|English literature|Translations, Chinese|Translations into English		PL2658.E8D3 (Rare Bk Coll)	2172189.0	enk	1185182	2	2.0	2.0			Chinese novels, | translated from the originals; to which are added proverbs and moral maxims, collected from their classical books and other sources. The whole prefaced by observations on the language and literature of China. | $c: By John Francis Davis, F. R. S.		True	Chinese novels, translated from the originals; to which are added proverbs and moral maxims, collected from their classical books and other sources. The whole prefaced by observations on the language and literature of China	0.7154943797956798	0.0497184131406936	John	m
njp.32101069186110				1822.0	1822.0	s	1822	    	London;Printed for G. and W.B. Whittaker;1822.	1822			Earl of|Somerset, Robert Carr|d. 1645			10839131.0	enk	5734198	1	1.0	1.0	v.2	2.0	Blighted ambition, or, The rise and fall of the Earl of Somerset : | a romance in three volumes ...		True	Blighted ambition, or, The rise and fall of the Earl of Somerset : a romance in three volumes	0.3518031431350513	0.0620461900855828		unknown
inu.30000010353443	Peacock, Thomas Love	Peacock, Thomas Love	1785-1866.	1822.0	1822.0	s	1822	    	London;T. Hookham [etc.;1822.	1822	Third edition.				PZ3.P312H2	7024353.0	enk	6061404	1	2.0	1.0			Headlong Hall ...		True	Headlong Hall	0.8873793181649681	0.3180384127351195	Thomas	m
uc1.b3123827	Hook, James	Hook, James	1772?-1828.	1822.0	1822.0	s	1822	    	Edinburgh;W. Blackwood: [etc., etc.;1822.	1822			823H755P1822A		PZ3.H7635P	3755158.0	stk	6104621	1	1.0	1.0	v.1	1.0	Pen Owen | [a novel] ...		True	Pen Owen [a novel]	0.1747011871292324	0.0245999694397319	James	m
uc1.b3324293	Edridge, Rebecca	Edridge, Rebecca		1822.0	1822.0	s	1822	    	London;G. & W.B. Whittaker;1822.	1822					PZ3.E245S	8932805.0	enk	6130877	1	1.0	1.0	v. 1	1.0	The scrinium, | $c: by Rebecca Edridge.		True	The scrinium	0.2298883781717144	0.2989192848226129	Rebecca	f
uc1.$b261837	Egan, Pierce	Egan, Pierce	1814-1880.	1822.0	1822.0	s	1822	    	London;Sherwood, Neely, and Jones;1822.	1822			Heyward, Samuel Denmore|1797-1821		HV6248.H35E4	4440613.0	enk	6509841	1	1.0	1.0			The life and extraordinary adventures of Samuel Denmore Hayward		True	The life and extraordinary adventures of Samuel Denmore Hayward	0.3769114896203951	0.1283021042241274	Pierce	m
uc1.$b278744	Louvet de Couvray, Jean-Baptiste	Louvet de Couvray, Jean-Baptiste	1760-1797.	1822.0	1797.0	s	1822	    	London;Printed by Benbow;1822.	1822						12118325.0	enk	6520827	1	5.0	1.0	v. 1	1.0	The amours of the chevalier de Faublas		True	The amours of the chevalier de Faublas	0.2572977001634757	0.1143530460208126	Jean	m
nyp.33433076080377	Irving, Washington	Irving, Washington	1783-1859.	1822.0	1822.0	s	1822	    	London;J. Murray;1822.	1822		Illustrated works			PS2057.A1 1822a	276071.0	enk	7661647	2	6.5	3.5	v. 1	1.0	Bracebridge hall; or, The humorists. | $c: By Geoffrey Crayon, gent. [pseud.] ...		True	Bracebridge hall; or, The humorists	0.4206920541167628	0.0217016595187745	Washington	unknown
uc2.ark+=13960=t1qf91q47	Lamb, Caroline	Lamb, Caroline		1822.0	1822.0	s	1822	    	London;Henry Colburn;1822.	1822						2806974.0	enk	7689796	1	1.0	1.0	v.1	1.0	Graham Hamilton		True	Graham Hamilton	0.0	0.0	Caroline	f
nnc1.0021833192	Brown, Charles Brockden	Brown, Charles Brockden	1771-1810.	1822.0	1810.0	s	1822	    	London;Colburn;1822.	1822	A new ed.					29187800.0	enk	8394143	1	1.0	1.0	v.2	2.0	Wieland, an American tale ...		True	Wieland, an American tale	0.0459750366723383	7.88912292092525e-05	Charles	m
nnc1.0035547073	Mikhaĭlov, Vasiliĭ	Mikhaĭlov, Vasiliĭ	ca. 1741-ca.1803.	1822.0	1803.0	s	1822	    	London;Printed for Sir R. Phillips & Co.;1822.	1822			ca. 1741-ca. 1803|Mikhailov, Vasilii|Description and travel	Asia, Central	DK854.M48513	6089326.0	enk	8396127	1	1.0	1.0			Adventures of Michailow, | a Russian captive among the Kalmucs, Kirghiz, and Kiwenses. | $c: Written by himself.		True	Adventures of Michailow, a Russian captive among the Kalmucs, Kirghiz, and Kiwenses	0.6216870322763202	0.275936809491406	Vasili	m
uiuo.ark+=13960=t58d05w0h	Bennett, William 1796-1879	Bennett, William 1796-1879		1822.0	1822.0	s	1822	    	London, Longman, Hurst, Rees, Orme, and Brown;1822.	1822						38656338.0	enk	8567911	1	1.0	1.0	v.1	1.0	Malpas;		True	Malpas;	0.1246816967020795	0.0041490895687932	William	m
inu.30000008561643	Bennett, William 1796-1879	Bennett, William 1796-1879		1822.0	1822.0	s	1822	    	London, Longman, Hurst, Rees, Orme, and Brown;1822.	1822						38656338.0	enk	8567911	1	1.0	1.0			"Malpas : | or, Le poursuivant d'amour ; a romance  / | $c: by the author of ""The cavalier."""		True	Malpas : or, Le poursuivant d'amour ; a romance	0.1416424062410692	0.0034920760817101	William	m
nyp.33433006780559	Nicol, John	Nicol, John	1755-1825.	1822.0	1822.0	s	1822	    	Edinburgh;William Blackwood;1822.	1822			Voyages and travels|Voyages around the world|Biography	Hawaii		16330953.0	stk	8599995	1	1.0	1.0			The life and adventures of John Nicol, mariner.		True	The life and adventures of John Nicol, mariner	0.4213530926694521	0.3818898787393003	John	m
nyp.33433082408489	Rees, Thomas	Rees, Thomas	1790-1820.	1822.0	1820.0	s	1822	    	London;Printed and sold by Harvey and Darton;1822.	1822			Téméraire (Ship)|Voyages and travels			12639072.0	enk	8641341	1	1.0	1.0			A journal of voyages and travels.		True	A journal of voyages and travels	0.9886557168381336	0.9335191413203554	Thomas	m
nyp.33433081651303	Countess of., Guernsey	Countess of., Guernsey		1822.0	1822.0	s	1822	    	London;1822.	1822			Caroline|1768-1821|Queen, consort of George IV, King of Great Britain			7721439.0	enk	8645323	2	3.0	3.0			The death-bed confessions of the late Countess of Guernsey, to Lady Anne Hamilton, | developing a series of mysterious transactions connected with the most illustrious personages in the kingdom. To which are added, the Queen's last letter to the King, written a few days before Her Majesty's death, and other authentic documents, never before published ...		True	The death-bed confessions of the late Countess of Guernsey, to Lady Anne Hamilton, developing a series of mysterious transactions connected with the most illustrious personages in the kingdom. To which are added, the Queen's last letter to the King, written a few days before Her Majesty's death, and other authentic documents, never before published	0.689419718227786	0.0035879061746876	Guernsey	unknown
nyp.33433074955448				1822.0	1822.0	s	1822	    	London;Printed for J.J. Stockdale;1822.	1822	2d ed.		English fiction			13304555.0	enk	8663554	1	1.0	1.0	v. 1	1.0	The Metropolis. | A novel. | $c: By the author of Little Hydrogen; or, The devil on two sticks in London ...		True	The Metropolis. A novel	0.0	0.0		unknown
nyp.33433082533989	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1822.0	1822.0	s	1822	    	London;Printed for R. Hunter;1822.	1822	New ed.|v. 5 The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget.		English fiction			17647761.0	enk	8689139	1	1.0	1.0	v. 5	5.0	The parent's assistant, or, Stories for children / | $c: by Maria Edgeworth.	The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget	True	The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget	0.4720079055605514	0.9992085515457162	Maria	f
uiuo.ark+=13960=t05x2kt82				1822.0	1822.0	s	1822	    	London;Printed for G. and W. B. Whittaker;1822.	1822			Earl of|Somerset, Robert Carr|d. 1645			62416248.0	enk	8718443	1	1.0	1.0	v.1	1.0	Blighted ambition, or, The rise and fall of the Earl of Somerset		True	Blighted ambition, or, The rise and fall of the Earl of Somerset	0.1511812448889575	0.0614609239393057		unknown
uiuo.ark+=13960=t19k4wg1r	Merrywhistle, Marmaduke	Merrywhistle, Marmaduke		1822.0	1822.0	s	1822	    	London;Printed for G. and W.B. Whittaker;1822.	1822					PR5021.M16I8	22569419.0	enk	8720716	1	1.0	1.0	v.1	1.0	Isn't it odd?		True	Isn't it odd?	0.3328766567140853	0.2689696722300948	Marmaduke	unknown
uiuo.ark+=13960=t18k7tc2w				1822.0	1822.0	s	1822	    	London;G. and W.B. Whittaker;1822.	1822						56375561.0	enk	8720980	1	1.0	1.0	v.1	1.0	Lemira of Lorraine		True	Lemira of Lorraine	0.095299041113755	0.018838239293638		unknown
uiuo.ark+=13960=t23b6jq3g	Kelty, Mary Ann	Kelty, Mary Ann	1789-1873.	1822.0	1822.0	s	1822	    	London;Printed for G. and W.B. Whittaker;1822.	1822			Fore-edge painting|823K29O			48716108.0	enk	8722087	1	1.0	1.0	v.1	1.0	Osmond		True	Osmond	0.0139573787117328	0.0113943415968101	Mary	f
uiuo.ark+=13960=t7mp5q06p	White, Joseph Blanco	White, Joseph Blanco		1822.0	1822.0	s	1822	    	London;Baldwin, Cradock, and Joy;1822.	1822						12174789.0	enk	8724072	1	1.0	1.0	v.1	1.0	Vargas		True	Vargas	0.1382251859112795	0.0116732323227032	Joseph	m
uiuo.ark+=13960=t0bv7w31r	Green, Sarah	Green, Sarah	ca. 1763-1808.	1822.0	1808.0	s	1822	    	London;1822.	1822						77327169.0	enk	8724268	1	1.0	1.0	v.1	1.0	Who is the bridegroom?		True	Who is the bridegroom?	0.0	0.0	Sarah	f
njp.32101067176451	Smith, Charlotte Turner	Smith, Charlotte Turner	1749-1806.	1822.0	1806.0	s	1822	    	London;Newman;1822.	1822	3d ed.					42624016.0	enk	8956270	1	2.0	1.0	v.1	1.0	The old manor-house; | a novel ...		True	The old manor-house; a novel	0.0784762554579212	0.1073081182884551	Charlotte	f
njp.32101067708113	[Bennet, William]	[Bennet, William]	1796-1879.	1822.0	1822.0	s	1822	    	London, Longman, Hurst, Rees, Orme, and Brown;1822.	1822						123137850.0	enk	8964934	1	1.0	1.0	vol.1	1.0	"Malpas; | $c: or, Le poursuivant d'amour. A romance, by the author of ""The cavalier."""		True	Malpas;	0.1205920070849804	0.004083330233312	William	m
njp.32101068164100				1822.0	1822.0	s	1822	    	Oxford;Baxter;1822.	1822						41221204.0	enk	8968254	1	1.0	1.0			Passion; | a tale, | $c: by H.T., written during his residence at Eton ...		True	Passion; a tale	0.3390724833650594	0.0530800306951068		unknown
njp.32101068178894	Harding, Anne Raikes	Harding, Anne Raikes	1780-1858.	1822.0	1822.0	s	1822	    	London;Longman, Hurst, Rees, Orme, and Brown;1822.	1822						13308855.0	enk	8969160	1	1.0	1.0	vol.1	1.0	The refugees, an Irish tale. | $c: By the author of Correction, Decision, &c. &c.		True	The refugees, an Irish tale	0.1397712726716749	0.012736329443472	Anne	f
wu.89099922973	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1822.0	1822.0	s	1822	    	London;Printed for Rowland Hunter and Baldwin, Cradock, and Joy;1822.	1822	2d ed.				PR4644.R6 1822	11779474.0	enk	8998560	1	1.0	1.0	v.1	1.0	Rosamond; | a sequel to Early lessons.		True	Rosamond; a sequel to Early lessons	0.1200931710741077	0.9095973128692126	Maria	f
wu.89099782427	Viscount, Dillon, Henry Augustus Dillon-Lee	Viscount, Dillon, Henry Augustus Dillon-Lee	1777-1832.	1822.0	1822.0	s	1822	    	London;G. and W. B. Whittaker;1822.	1822			Aristocracy (Political science)|Natural law|Aristocracy (Social class)			35663915.0	enk	8998583	1	1.0	1.0	v.1	1.0	The life and opinions of Sir Richard Maltravers,: | an English gentleman of the seventeenth century.		True	The life and opinions of Sir Richard Maltravers,: an English gentleman of the seventeenth century	0.8450411126567077	0.0146473691899736	Dillon	m
njp.32101064909045	Mrs. Mainwaring	Mainwaring, Mrs		1822.0	1822.0	s	1822	    	London;Newman;1822.	1822						42055732.0	enk	9409246	1	1.0	1.0	vol.1	1.0	Moscow; or, The grandsire, | an historical tale ...		True	Moscow; or, The grandsire, an historical tale	0.0545257305980572	0.1195193951709153	Mrs	unknown
hvd.hxq9bx	Mackenzie, Henry	Mackenzie, Henry	1745-1831.	1822.0	1822.0	s	1822	    	London;T. Cadell;1822.	1822						9427890.0	enk	9716691	1	1.0	1.0			The works of Henry Mackenzie, | with a sketch of the author's life.		True	The works of Henry Mackenzie, with a sketch of the author's life	0.2750565959751073	0.0067239412354592	Henry	m
hvd.32044012935268	Brown, Charles Brockden	Brown, Charles Brockden	1771-1810.	1822.0	1810.0	s	1822	    	London;H. Colburn and co.;1822.	1822	v.1. Carwin the biloquist. Stephen Calvert.--v.2. Stephen Calvert.--v.3. Stephen Calvert. Jessica. The scribbler.					8215135.0	enk	9716790	1	1.0	1.0	vol.2	2.0	Carwin, the biloquist, | and other American tales and pieces. | $c: By Charles Brockden Brown.	Stephen Calvert	True	Stephen Calvert	0.0754102383342581	0.0023633008162661	Charles	m
hvd.32044009594987	Brown, Charles Brockden	Brown, Charles Brockden	1771-1810.	1822.0	1810.0	s	1822	    	London;H. Colburn and co.;1822.	1822	v.1. Carwin the biloquist. Stephen Calvert.--v.2. Stephen Calvert.--v.3. Stephen Calvert. Jessica. The scribbler.					8215135.0	enk	9716790	1	1.0	1.0	vol.3	3.0	Carwin, the biloquist, | and other American tales and pieces. | $c: By Charles Brockden Brown.	Stephen Calvert. Jessica. The scribbler	True	Stephen Calvert. Jessica. The scribbler	0.1140641776403719	0.0181763497824268	Charles	m
hvd.32044086796158	Anley, Charlotte	Anley, Charlotte	1795 or 6-1893.	1822.0	1822.0	s	1822	    	London;A.J. Valpy, etc.;1822.	1822						236099721.0	enk	9718056	1	1.0	1.0	v.1	1.0	Influence; | a moral tale for young people. | $c: By a lady.		True	Influence; a moral tale for young people	0.0426964315251576	0.7942317024818829	Charlotte	f
hvd.32044020392437	Hatton, Ann Julia	Hatton, Ann Julia	1764-1838.	1822.0	1822.0	s	1822	    	London;A.K. Newman;1822.	1822						21345271.0	enk	9718476	1	1.0	1.0	v.1	1.0	Guilty or not guilty, or, A lesson for husbands : | a tale / | $c: by Ann of Swansea.		True	Guilty or not guilty, or, A lesson for husbands : a tale	0.1141442753231183	0.2481595430720005	Ann	f
hvd.hwpx97	Miss Macauley, (Elizabeth Wright)	Miss Macauley, (Elizabeth Wright)	1785?-1837.	1822.0	1822.0	s	1822	    	Chiswick;Printed by C. Whittingham for Sherwood, Neely, and Jones, London;1822.	1822	Duke of Milan.--The inconstant.--The good-natured man.--Introduction to Shakespeare's plays.--King John.--The Quaker.--Edward the Black prince.--The belle's stratagem.--Winter's tale.--George Barnwell.--The conscious lovers.--King Richard II.--The Grecian daughter.--The brothers.--Lady Jane Grey.--The Merchant of Venice.--Coriolanus.--The way to keep him.--The gamester.--The hypocrite.--Julius Cæsar.--Conclusion.		English drama|Tales from		PZ1.C129T	586715.0	enk	9720138	2	5.0	5.0			Tales of the drama. | Founded on the tragedies of Shakspeare, Massinger, Shirley, Rowe, Murphy, Lillo, and Moore, and on the comedies of Steele, Farquhar, Cumberland, Bickerstaff, Goldsmith, and Mrs. Cowley. | $c: By Miss Macauley ...		True	Tales of the drama. Founded on the tragedies of Shakspeare, Massinger, Shirley, Rowe, Murphy, Lillo, and Moore, and on the comedies of Steele, Farquhar, Cumberland, Bickerstaff, Goldsmith, and Mrs. Cowley	0.096306880675582	0.1264192447971243	Elizabeth	f
hvd.32044019953504	Mant, Alicia Catherine	Mant, Alicia Catherine	d. 1869.	1822.0	1822.0	s	1822	    	London;Printed for Harvey and Darton;1822.	1822						8458466.0	enk	9720243	1	1.0	1.0			The cottage in the chalk-pit / | $c: by Alicia Catherine Mant.		True	The cottage in the chalk-pit	0.0759692708779029	0.717064658395774	Alicia	f
hvd.hn2hc8				1822.0	1822.0	s	1822	    	London;B.J. Holdsworth, etc.;1822.	1822	2d ed.					237185176.0	enk	9724917	1	1.0	1.0			Incidents of childhood.		True	Incidents of childhood	0.6391631663700686	0.9999509887966664		unknown
hvd.hw2fcq				1822.0	1822.0	s	1822	    	London;Henry Fisher;Feb. 1822.	1822	The vicar of Wakefield, a tale; by Dr. Goldsmith.--The old English baron.--The adventures of Sir Launcelot Greaves. By Dr. Smollett.--The history of Rasselas, prince of Abissinia. A tale. By Dr. Langhorne.--Woman.--The dispensations of Providence unsearchable.					82109733.0	enk	9725639	1	1.0	1.0			Mirror of amusement.		True	Mirror of amusement	0.5852318896359244	0.0851243086989444		unknown
uva.x000031314	Cervantes Saavedra, Miguel de	Cervantes Saavedra, Miguel de	1547-1616.	1822.0	1616.0	s	1822	    	London;Printed for T. Cadell [by L. Hansard;1822.	1822	v. 1. The illustrious servant maid. The deceitful marriage. The conversation of two dogs of the Hospital of the Resurrection at Valladolid, called the dogs of Mahudez. The history of Ruis Dias, and Quixaire, the princess of the Moluccas. The jealous Estremaduran.--v. 2. The gipsy girl. The liberal lover. The Spanish English lady. The two maiden ladies. The force of blood.				PQ6329.A6M6 1822	434354.0	enk	9794462	1	1.0	1.0	v.2	2.0	The exemplary novels of Miguel de Cervantes Saavedra ....	The gipsy girl. The liberal lover. The Spanish English lady. The two maiden ladies. The force of blood	False	The gipsy girl. The liberal lover. The Spanish English lady. The two maiden ladies. The force of blood	0.5439093621764398	0.7213997408223161	Miguel	m
nyp.33433075872923	[Proctor, G.]	[Proctor, G.]		1823.0	1823.0	s	1823	    	London;G. and W. B. Whitaker;1823.	1823					PR5193.P2L8	11048569.0	enk	243390	2	2.0	2.0			The lucubrations of Humphrey Ravelin, esq. [pseud.] | Late major in the * * regiment of infantry ...		True	The lucubrations of Humphrey Ravelin, esq. [pseud.] Late major in the * * regiment of infantry	0.2390844004526025	0.0055319709936722	G	unknown
uc2.ark+=13960=t3319xh63	Mason, Catherine George (Ward)	Mason, Catherine George (Ward), Mrs		1823.0	1823.0	s	1823	    	London;Bristol;G. Virtue;1823.	1823						1180901.0	enk	245849	2	2.0	2.0			The cottage on the cliff		True	The cottage on the cliff	0.0607430247089591	0.746907349332452	Ward	m
mdp.39015009220768	advocate. Wilson, James	advocate. Wilson, James		1823.0	1823.0	s	1823	    	Edinburgh;J. Anderson, jun.;London;Simpkin & Marshall;1823.	1823						13357646.0	stk	326329	1	1.0	1.0			The fire-eater ...		True	The fire-eater	0.0555563572211873	0.0031632175185895	James	m
yale.39002005021796				1823.0	1823.0	s	1823	    	London;J. Murray;1823.	1823			Revolution, 1789-1799|History	France	DC137.2.R88	5693591.0	enk	566176	2	2.0	2.0			Royal memoirs on the French revolution: | Containing, I. A narrative of the journey of Louis XVI. and his family to Varennes, by Madame Royale, duchess of Angoulême. II. A narrative of a journey to Bruxelles and Coblentz in 1791, by Monsieur, now Louis XVIII. III. Private memoirs of what passed in the Temple, from the imprisonment of the royal family to the death of the Dauphin, by Madame Royale, duchess of Angoulême. | $c: With historical and biographical illustrations by the translator.		True	Royal memoirs on the French revolution: Containing, I. A narrative of the journey of Louis XVI. and his family to Varennes, by Madame Royale, duchess of Angoulême. II. A narrative of a journey to Bruxelles and Coblentz in 1791, by Monsieur, now Louis XVIII. III. Private memoirs of what passed in the Temple, from the imprisonment of the royal family to the death of the Dauphin, by Madame Royale, duchess of Angoulême	1.0	0.0		unknown
mdp.39015063994225	Galt, John	Galt, John	1779-1839.	1823.0	1823.0	s	1823	    	Edinburgh;Oliver & Boyd; [etc., etc.;1823.	1823			19th century		PZ3.G14Sp	1922613.0	stk	779561	2	2.333333333333333	2.333333333333333	v.1	1.0	"The spaewife; | a tale of the Scottish chronicles. | $c: By the author of ""Annals of the parish"", ""Ringan Gilhaize"", &c. ..."		True	The spaewife; a tale of the Scottish chronicles	0.2486766354432653	0.1271350763688076	John	m
uiuo.ark+=13960=t6f19g60q	Lamb, Caroline	Lamb, Caroline		1823.0	1823.0	s	1823	    	London;J. Murray;1823.	1823					PZ3.M4817A	4364480.0	enk	1024064	1	2.0	2.0	v.1	1.0	Ada Reis		True	Ada Reis	0.1604122249695014	0.0035209828240721	Caroline	f
mdp.39015078550665	Defoe, Daniel	Defoe, Daniel	1661?-1731.	1823.0	1731.0	s	1823	    	London;Printed and published by R. Walwyn;1823.	1823						37262053.0	enk	1369159	1	1.0	1.0			The life and adventures of Robinson Crusoe. | $c: Written by himself.		False	The life and adventures of Robinson Crusoe	0.4150885143522976	0.6618102716290235	Daniel	m
mdp.39015078557843	Swift, Jonathan	Swift, Jonathan	1667-1745.	1823.0	1745.0	s	1823	    	London;Printed for H. Mc' Lean;1823.	1823						2052963.0	enk	1423349	1	1.0	1.0	v.2	2.0	The select works of Jonathan Swift ... | Containing the whole of his poetical works, the Tale of a tub, Battle of the books, Gulliver's travels, Directions to servants, Polite conversation, Art of punning, Miscellaneous pieces in prose, &c. ... Embellished with engravings ...		False	The select works of Jonathan Swift ... Containing the whole of his poetical works, the Tale of a tub, Battle of the books, Gulliver's travels, Directions to servants, Polite conversation, Art of punning, Miscellaneous pieces in prose, &c. ... Embellished with engravings	0.8958846071029348	0.9450496394715808	Jonathan	m
mdp.39015073755483				1823.0	1823.0	s	1823	    	London;Printed for C. and J. Rivington;1823.	1823	v.1-4. Tatler.--v.5-12. Spectator.--v.13-15. Guardian.--v.16-18. Rambler.--v.19-21. Adventurer.--v.22-24. World.--v.25-26. Connoisseur.--v.27. Idler.--v.28-29. Mirror.--v.30-31. Lounger.--v.32-34. Observer.--v.35-37. Looker-on.--v.38. General index.		English essays		PR1365.B86	3099289.0	enk	2619014	1	1.0	1.0	v.1	1.0	The British essayists; | with prefaces, historical and biographical, | $c: by A. Chalmers.	Tatler	True	Tatler	0.9799502101471808	0.0440793191117319		unknown
mdp.39015073748405				1823.0	1823.0	s	1823	    	London;Printed for C. and J. Rivington;1823.	1823	v.1-4. Tatler.--v.5-12. Spectator.--v.13-15. Guardian.--v.16-18. Rambler.--v.19-21. Adventurer.--v.22-24. World.--v.25-26. Connoisseur.--v.27. Idler.--v.28-29. Mirror.--v.30-31. Lounger.--v.32-34. Observer.--v.35-37. Looker-on.--v.38. General index.		English essays		PR1365.B86	3099289.0	enk	2619014	1	1.0	1.0	v.6	6.0	The British essayists; | with prefaces, historical and biographical, | $c: by A. Chalmers.	Spectator	True	Spectator	0.9574401400059556	0.2313000702917126		unknown
mdp.39015073748504				1823.0	1823.0	s	1823	    	London;Printed for C. and J. Rivington;1823.	1823	v.1-4. Tatler.--v.5-12. Spectator.--v.13-15. Guardian.--v.16-18. Rambler.--v.19-21. Adventurer.--v.22-24. World.--v.25-26. Connoisseur.--v.27. Idler.--v.28-29. Mirror.--v.30-31. Lounger.--v.32-34. Observer.--v.35-37. Looker-on.--v.38. General index.		English essays		PR1365.B86	3099289.0	enk	2619014	1	1.0	1.0	v.16	16.0	The British essayists; | with prefaces, historical and biographical, | $c: by A. Chalmers.	Rambler	True	Rambler	0.8425830486515071	0.0664116558321692		unknown
