docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob	first_name	estimated_gender
nyp.33433074872502	Hooley, E. T	Hooley, E. T		1897.0	1897.0	s	1897	    	London;Gay and Bird;1897.	1897						37257296.0	enk	8669114	1	1.0	1.0			Tarragal, or Bush life in Australia.		True	Tarragal, or Bush life in Australia	0.5306020309350997	0.1231943336495312	E	unknown
nyp.33433075766380	Pinsent, Ellen Frances Parker	Pinsent, Ellen Frances Parker	1866-	1897.0	1897.0	s	1897	    	London;E. Arnold;1897.	1897			English fiction			37287041.0	enk	8669741	1	1.0	1.0			Job Hildred, artist and carpenter, | $c: by Dr. Richards; edited by Ellen F. Pinsent ...		True	Job Hildred, artist and carpenter	0.064394959219921	0.0416200427408735	Ellen	f
nyp.33433074915269	Morrison, Arthur	Morrison, Arthur	1863-1945.	1897.0	1897.0	s	1897	    	London;Ward, Lock & Co., Ltd.;1897	1897			English fiction			37287421.0	enk	8669776	1	1.0	1.0			The Dorrington deed-box, | $c: by Arthur Morrison ...		True	The Dorrington deed-box	0.2690086716804457	0.043027614964677	Arthur	m
nyp.33433075861777	Yonge, Charlotte Mary	Yonge, Charlotte M. (Charlotte Mary)	1823-1901.	1897.0	1897.0	s	1897	    	London;Macmillan and Co., Ltd.;1897-	1897			English fiction			37331340.0	enk	8670767	1	1.0	1.0			The pillars of the house; or, Under wode, under rode, | $c: by Charlotte M. Yonge.		True	The pillars of the house; or, Under wode, under rode	0.1556129294950103	0.0346335251766398	Charlotte	f
nyp.33433075807580	Balzac, Honoré de	Balzac, Honoré de	1799-1850.	1897.0	1850.0	s	1897	    	London;Dent;1897.	1897	The unconscious mummers.- A prince of Bohemia.- A man of business.- Gaudissart II.- The firm of Nucingen.- Facino Cane.					1723079.0	enk	8671984	1	3.0	3.0			The unconscious mummers | (Les comédiens sans le savoir) and other short stories, | $c: tr. by Ellen Marriage, with a preface by George Saintsbury.		False	The unconscious mummers (Les comédiens sans le savoir) and other short stories	0.3174115078151712	0.006329729491796	Honor	f
nyp.33433075807622	Balzac, Honoré de	Balzac, Honoré de	1799-1850.	1897.0	1850.0	s	1897	    	London;J.M. Dent;New York;Macmillan;1897.	1897	A woman of thirty.--A forsaken lady.--La Grenadière.--The message.--Gobseck.					13019092.0	enk	8671989	1	1.0	1.0			A woman of thirty | (La femme de trente ans) | $c: by H. de Balzac. Translated by Ellen Marriage, with a preface by George Saintsbury.		False	A woman of thirty (La femme de trente ans)	0.1872286770430293	0.0013419406379509	Honor	f
nyp.33433075849947	Kielland, Alexander Lange	Kielland, Alexander Lange	1849-1906.	1897.0	1897.0	s	1897	    	London;E. Stock;1897.	1897	Cheap edition.		Norwegian fiction			37499435.0	enk	8673302	1	1.0	1.0			Norse tales and sketches. | $c: By Alexander L. Kielland. Translated by R.L. Cassie.		True	Norse tales and sketches	0.1778749115874406	0.130393707967904	Alexander	m
nyp.33433082170634	Archer, Agatha	Archer, Agatha		1897.0	1897.0	s	1897	    	London;Fowler;c1897	1897						37714518.0	enk	8677667	1	1.0	1.0			The king's daughter and the king's son.		True	The king's daughter and the king's son	0.1429888455627342	0.0279335518447426	Agatha	f
nyp.33433081587606	Lang, Cosmo Gordon	Lang, Cosmo Gordon	1864-	1897.0	1897.0	s	1897	    	London;Smith, Elder;1897.	1897			Jacobite Rebellion, 1745-1746			9235144.0	enk	8688746	1	1.0	1.0			The young Clanroy : | a romance of the '45 / | $c: by Cosmo Gordon Lang.		True	The young Clanroy : a romance of the '45	0.0100496061640252	0.0559952617572699	Cosmo	m
nyp.33433074797675	Fleming, George	Fleming, George	1858-1938.	1897.0	1897.0	s	1897	    	London;G. Richards;1897.	1897			American fiction			37128385.0	enk	8690795	1	1.0	1.0			Little stories about women, | $c: by George Fleming [pseud.] ...		True	Little stories about women	0.1651241296623851	0.0007086697406882	George	m
